code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
DeviceId,repo,README.md,13,13,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/README.md,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/sample/src/main/java/com/google/android/fastbootmobile/sample/ui/devicedetails/DeviceDetailsViewModel.kt#L21
FastbootDeviceManager,repo,README.md,9,9,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/README.md,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/sample/src/main/java/com/google/android/fastbootmobile/sample/ui/devicedetails/DeviceDetailsViewModel.kt#L23
FastbootDeviceManager.getAttachedDeviceIds(),repo,README.md,2,2,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/README.md,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/sample/src/main/java/com/google/android/fastbootmobile/sample/data/FastbootDeviceDataSource.kt#L44
List<DeviceId>,repo,README.md,2,2,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/README.md,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/lib/src/main/java/com/google/android/fastbootmobile/FastbootDeviceManager.kt#L113
addFastbootDeviceManagerListener,repo,README.md,3,3,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/README.md,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/sample/src/main/java/com/google/android/fastbootmobile/sample/ui/devicedetails/DeviceDetailsViewModel.kt#L32
deviceContext,repo,README.md,16,16,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/README.md,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/sample/src/main/java/com/google/android/fastbootmobile/sample/ui/devicedetails/DeviceDetailsViewModel.kt#L29
onFastbootDeviceAttached(deviceId: DeviceId),repo,README.md,3,3,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/README.md,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/sample/src/main/java/com/google/android/fastbootmobile/sample/ui/devicedetails/DeviceDetailsViewModel.kt#L41
"onFastbootDeviceConnected(deviceId: DeviceId, deviceContext: FastbootDeviceContext)",repo,README.md,2,2,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/README.md,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/sample/src/main/java/com/google/android/fastbootmobile/sample/ui/devicedetails/DeviceDetailsViewModel.kt#L49
onFastbootDeviceDetached(deviceId: DeviceId),repo,README.md,3,3,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/README.md,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/sample/src/main/java/com/google/android/fastbootmobile/sample/ui/devicedetails/DeviceDetailsViewModel.kt#L43
"sendCommand(FastbootCommand.getVar(""current-slot"")",repo,README.md,1,1,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,06e250dc09a50c8a4557221cb4ef80d10c24a491,1528481295,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/README.md,https://github.com/google/fastboot-mobile/blob/06e250dc09a50c8a4557221cb4ef80d10c24a491/sample/src/main/java/com/google/android/fastbootmobile/sample/data/FastbootDevice.kt#L31
