code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
ACCESS_CHECKER,repo,README.md,7,7,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/java/com/google/fhir/proxy/FhirProxyServer.java#L42
ALLOWED_QUERIES_FILE,repo,README.md,3,3,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/java/com/google/fhir/proxy/FhirProxyServer.java#L47
AccessChecker,repo,README.md,77,77,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/java/com/google/fhir/proxy/interfaces/AccessCheckerFactory.java#L26
AllowedQueriesChecker,repo,README.md,23,23,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/test/java/com/google/fhir/proxy/BearerAuthorizationInterceptorTest.java#L137
FHIR,repo,README.md,73,73,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/test/resources/capability.json#L16
GCP,repo,README.md,8,8,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/java/com/google/fhir/proxy/ProxyConstants.java#L23
GET,repo,README.md,23,23,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/test/java/com/google/fhir/proxy/AllowedQueriesCheckerTest.java#L41
HAPI,repo,README.md,29,29,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/java/com/google/fhir/proxy/interfaces/AccessCheckerFactory.java#L31
ID,repo,README.md,17,17,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/java/com/google/fhir/proxy/interfaces/PatientFinder.java#L24
IDP,repo,README.md,2,2,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,522934ccdf633311130a4412330a55f3919c8560,1655283775,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/resources/README.md#L12
