code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
API,repo,README.md,48,48,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/README.md,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/Source/Tests/GDataXMLSupportTest.m#L66
GTM,repo,README.md,2,2,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/README.md,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/Source/Tools/GenerateTargetNamespaceMacros/GenerateTargetNamespaceMacros.m#L20
HTTP,repo,README.md,9,9,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/README.md,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/Source/Tests/GDataTestHTTPServer.py#L42
OS,repo,README.md,13,13,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/README.md,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/Source/Networking/GDataAuthenticationFetcher.m#L126
XML,repo,README.md,187,187,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/README.md,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/Source/Tests/GDataTestHTTPServer.py#L283
YouTube,repo,README.md,147,147,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/README.md,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/Source/Tests/GDataQueryTest.m#L281
iPhone,repo,README.md,25,25,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/README.md,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/Source/GDataDefines.h#L28
-DDEBUG=1,wiki,BuildingTheLibrary.md,6,6,bc22eeece64330205b97a42ed2702482c03d7081,1454121205,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,926a778f11e20246fa01e2cd3cc88ff3d7e2b0a6,1440014988,https://github.com/google/gdata-objectivec-client/wiki/BuildingTheLibrary/926a778f11e20246fa01e2cd3cc88ff3d7e2b0a6,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/Source/GData.xcodeproj/project.pbxproj#L5080
-lxml2,wiki,BuildingTheLibrary.md,7,7,bc22eeece64330205b97a42ed2702482c03d7081,1454121205,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,926a778f11e20246fa01e2cd3cc88ff3d7e2b0a6,1440014988,https://github.com/google/gdata-objectivec-client/wiki/BuildingTheLibrary/926a778f11e20246fa01e2cd3cc88ff3d7e2b0a6,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/Source/XMLSupport/GDataXMLNode.h#L36
/usr/include/libxml2,wiki,BuildingTheLibrary.md,3,3,bc22eeece64330205b97a42ed2702482c03d7081,1454121205,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,926a778f11e20246fa01e2cd3cc88ff3d7e2b0a6,1440014988,https://github.com/google/gdata-objectivec-client/wiki/BuildingTheLibrary/926a778f11e20246fa01e2cd3cc88ff3d7e2b0a6,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/Source/XMLSupport/GDataXMLNode.h#L32
ARC,wiki,BuildingTheLibrary.md,2,2,bc22eeece64330205b97a42ed2702482c03d7081,1454121205,0840dfce16565ef1c9b192cdf024e193eddaaf62,1536854381,926a778f11e20246fa01e2cd3cc88ff3d7e2b0a6,1440014988,https://github.com/google/gdata-objectivec-client/wiki/BuildingTheLibrary/926a778f11e20246fa01e2cd3cc88ff3d7e2b0a6,https://github.com/google/gdata-objectivec-client/blob/0840dfce16565ef1c9b192cdf024e193eddaaf62/Source/GDataDefines.h#L143
