code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
@angular,repo,README.md,541,548,5483f96b129e86970ff164aa7ddfcd666c2223cf,1636654910,91ccd9def708562239ddb9340e0964ba6563def8,1653317419,5483f96b129e86970ff164aa7ddfcd666c2223cf,1636654910,https://github.com/google/ground-platform/blob/5483f96b129e86970ff164aa7ddfcd666c2223cf/README.md,https://github.com/google/ground-platform/blob/91ccd9def708562239ddb9340e0964ba6563def8/web-ng/src/testing/activated-route-stub.ts#L17
API,repo,README.md,12,12,5483f96b129e86970ff164aa7ddfcd666c2223cf,1636654910,91ccd9def708562239ddb9340e0964ba6563def8,1653317419,5483f96b129e86970ff164aa7ddfcd666c2223cf,1636654910,https://github.com/google/ground-platform/blob/5483f96b129e86970ff164aa7ddfcd666c2223cf/README.md,https://github.com/google/ground-platform/blob/91ccd9def708562239ddb9340e0964ba6563def8/web-ng/pretest.sh#L16
CLA,repo,README.md,3,3,5483f96b129e86970ff164aa7ddfcd666c2223cf,1636654910,91ccd9def708562239ddb9340e0964ba6563def8,1653317419,5483f96b129e86970ff164aa7ddfcd666c2223cf,1636654910,https://github.com/google/ground-platform/blob/5483f96b129e86970ff164aa7ddfcd666c2223cf/README.md,https://github.com/google/ground-platform/blob/91ccd9def708562239ddb9340e0964ba6563def8/CONTRIBUTING.md#L5
CLI,repo,README.md,7,7,5483f96b129e86970ff164aa7ddfcd666c2223cf,1636654910,91ccd9def708562239ddb9340e0964ba6563def8,1653317419,5483f96b129e86970ff164aa7ddfcd666c2223cf,1636654910,https://github.com/google/ground-platform/blob/5483f96b129e86970ff164aa7ddfcd666c2223cf/README.md,https://github.com/google/ground-platform/blob/91ccd9def708562239ddb9340e0964ba6563def8/web-ng/src/polyfills.ts#L74
README,repo,README.md,9,9,5483f96b129e86970ff164aa7ddfcd666c2223cf,1636654910,91ccd9def708562239ddb9340e0964ba6563def8,1653317419,5483f96b129e86970ff164aa7ddfcd666c2223cf,1636654910,https://github.com/google/ground-platform/blob/5483f96b129e86970ff164aa7ddfcd666c2223cf/README.md,https://github.com/google/ground-platform/blob/91ccd9def708562239ddb9340e0964ba6563def8/web-ng/README.md#L7
localhost:4200,repo,README.md,2,2,5483f96b129e86970ff164aa7ddfcd666c2223cf,1636654910,91ccd9def708562239ddb9340e0964ba6563def8,1653317419,5483f96b129e86970ff164aa7ddfcd666c2223cf,1636654910,https://github.com/google/ground-platform/blob/5483f96b129e86970ff164aa7ddfcd666c2223cf/README.md,https://github.com/google/ground-platform/blob/91ccd9def708562239ddb9340e0964ba6563def8/web-ng/e2e/protractor.conf.js#L34
start:local,repo,README.md,1,1,5483f96b129e86970ff164aa7ddfcd666c2223cf,1636654910,91ccd9def708562239ddb9340e0964ba6563def8,1653317419,5483f96b129e86970ff164aa7ddfcd666c2223cf,1636654910,https://github.com/google/ground-platform/blob/5483f96b129e86970ff164aa7ddfcd666c2223cf/README.md,https://github.com/google/ground-platform/blob/91ccd9def708562239ddb9340e0964ba6563def8/web-ng/package.json#L7
/projects/${projectId},wiki,Cloud-Firestore-Representation.md,0,1,cb203b5bd1a3f10045e8581076a76ac75503396c,1597426454,91ccd9def708562239ddb9340e0964ba6563def8,1653317419,de194de2931c12fcb9c856b4f01bef7c505e7114,1597345243,https://github.com/google/ground-platform/wiki/Cloud-Firestore-Representation/de194de2931c12fcb9c856b4f01bef7c505e7114,https://github.com/google/ground-platform/blob/91ccd9def708562239ddb9340e0964ba6563def8/functions/common/datastore.js#L89
<AUDIT_INFO>,wiki,Cloud-Firestore-Representation.md,2,2,cb203b5bd1a3f10045e8581076a76ac75503396c,1597426454,91ccd9def708562239ddb9340e0964ba6563def8,1653317419,de194de2931c12fcb9c856b4f01bef7c505e7114,1597345243,https://github.com/google/ground-platform/wiki/Cloud-Firestore-Representation/de194de2931c12fcb9c856b4f01bef7c505e7114,https://github.com/google/ground-platform/blob/91ccd9def708562239ddb9340e0964ba6563def8/web-ng/src/app/shared/converters/firebase-data-converter.ts#L444
clientTimestamp,wiki,Cloud-Firestore-Representation.md,5,5,cb203b5bd1a3f10045e8581076a76ac75503396c,1597426454,91ccd9def708562239ddb9340e0964ba6563def8,1653317419,de194de2931c12fcb9c856b4f01bef7c505e7114,1597345243,https://github.com/google/ground-platform/wiki/Cloud-Firestore-Representation/de194de2931c12fcb9c856b4f01bef7c505e7114,https://github.com/google/ground-platform/blob/91ccd9def708562239ddb9340e0964ba6563def8/web-ng/src/app/shared/converters/firebase-data-converter.ts#L569
