code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
API,repo,README.md,2,2,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,402ce909be138364b695e67b76dc701360ce1394,1652899829,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,https://github.com/google/gtm-currency-rates-sync/blob/47a6d635aae15f267a966fb2a073c7ddf7509edf/README.md,https://github.com/google/gtm-currency-rates-sync/blob/402ce909be138364b695e67b76dc701360ce1394/code.js#L135
GTM,repo,README.md,5,5,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,402ce909be138364b695e67b76dc701360ce1394,1652899829,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,https://github.com/google/gtm-currency-rates-sync/blob/47a6d635aae15f267a966fb2a073c7ddf7509edf/README.md,https://github.com/google/gtm-currency-rates-sync/blob/402ce909be138364b695e67b76dc701360ce1394/code.js#L20
ID,repo,README.md,2,2,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,402ce909be138364b695e67b76dc701360ce1394,1652899829,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,https://github.com/google/gtm-currency-rates-sync/blob/47a6d635aae15f267a966fb2a073c7ddf7509edf/README.md,https://github.com/google/gtm-currency-rates-sync/blob/402ce909be138364b695e67b76dc701360ce1394/code.js#L134
accountId,repo,README.md,13,13,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,402ce909be138364b695e67b76dc701360ce1394,1652899829,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,https://github.com/google/gtm-currency-rates-sync/blob/47a6d635aae15f267a966fb2a073c7ddf7509edf/README.md,https://github.com/google/gtm-currency-rates-sync/blob/402ce909be138364b695e67b76dc701360ce1394/config.js#L19
buildLookupTable_,repo,README.md,2,2,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,402ce909be138364b695e67b76dc701360ce1394,1652899829,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,https://github.com/google/gtm-currency-rates-sync/blob/47a6d635aae15f267a966fb2a073c7ddf7509edf/README.md,https://github.com/google/gtm-currency-rates-sync/blob/402ce909be138364b695e67b76dc701360ce1394/code.js#L43
containerId,repo,README.md,13,13,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,402ce909be138364b695e67b76dc701360ce1394,1652899829,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,https://github.com/google/gtm-currency-rates-sync/blob/47a6d635aae15f267a966fb2a073c7ddf7509edf/README.md,https://github.com/google/gtm-currency-rates-sync/blob/402ce909be138364b695e67b76dc701360ce1394/config.js#L20
lookupTableVarId,repo,README.md,6,6,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,402ce909be138364b695e67b76dc701360ce1394,1652899829,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,https://github.com/google/gtm-currency-rates-sync/blob/47a6d635aae15f267a966fb2a073c7ddf7509edf/README.md,https://github.com/google/gtm-currency-rates-sync/blob/402ce909be138364b695e67b76dc701360ce1394/config.js#L22
runSync,repo,README.md,2,2,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,402ce909be138364b695e67b76dc701360ce1394,1652899829,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,https://github.com/google/gtm-currency-rates-sync/blob/47a6d635aae15f267a966fb2a073c7ddf7509edf/README.md,https://github.com/google/gtm-currency-rates-sync/blob/402ce909be138364b695e67b76dc701360ce1394/code.js#L21
tableResource,repo,README.md,3,3,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,402ce909be138364b695e67b76dc701360ce1394,1652899829,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,https://github.com/google/gtm-currency-rates-sync/blob/47a6d635aae15f267a966fb2a073c7ddf7509edf/README.md,https://github.com/google/gtm-currency-rates-sync/blob/402ce909be138364b695e67b76dc701360ce1394/code.js#L104
workspaceName,repo,README.md,7,7,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,402ce909be138364b695e67b76dc701360ce1394,1652899829,47a6d635aae15f267a966fb2a073c7ddf7509edf,1535561268,https://github.com/google/gtm-currency-rates-sync/blob/47a6d635aae15f267a966fb2a073c7ddf7509edf/README.md,https://github.com/google/gtm-currency-rates-sync/blob/402ce909be138364b695e67b76dc701360ce1394/config.js#L21
