code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
.eslintrc,repo,README.md,11,11,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/test/kitchen.ts#L61
GitHub,repo,README.md,2,2,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/CONTRIBUTING.md#L21
LICENSE,repo,README.md,10,10,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/test/test-util.ts#L8
TypeScript,repo,README.md,8,8,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/src/util.ts#L73
clean,repo,README.md,29,29,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/test/test-init.ts#L47
compile,repo,README.md,21,25,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/test/test-init.ts#L47
devDependencies,repo,README.md,17,18,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/test/test-init.ts#L55
eslint,repo,README.md,132,285,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/test/test-util.ts#L81
fix,repo,README.md,25,25,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/test/test-init.ts#L47
gts,repo,README.md,152,154,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/test/test-init.ts#L56
lint,repo,README.md,29,29,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/test/test-init.ts#L47
node_modules,repo,README.md,11,494,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/tsconfig-google.json#L18
package.json,repo,README.md,23,23,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/test/test-init.ts#L152
posttest,repo,README.md,4,4,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/test/test-init.ts#L47
prepare,repo,README.md,7,7,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/test/test-init.ts#L47
pretest,repo,README.md,5,5,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/test/test-init.ts#L47
tsconfig.json,repo,README.md,21,21,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,e2803cd07d0afe6507281098546640511bc129f7,1655367913,33d4340a8225a7dbcfb11908027946873690d5f3,1611356162,https://github.com/google/gts/blob/33d4340a8225a7dbcfb11908027946873690d5f3/README.md,https://github.com/google/gts/blob/e2803cd07d0afe6507281098546640511bc129f7/test/test-util.ts#L51
