code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
.to(PipelineA.class),repo,README.md,1,1,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,ba063a95f19505d7660001504f1486a7957f51d7,1519334646,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,https://github.com/google/guice-aqueduct/blob/dc3dddacd6106ecbdfc73593e7065f693dfd97d6/README.md,https://github.com/google/guice-aqueduct/blob/ba063a95f19505d7660001504f1486a7957f51d7/src/main/java/com/github/chajath/guice/aqueduct/PipelineBinder.java#L95
.to(PipelineB.class),repo,README.md,1,1,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,ba063a95f19505d7660001504f1486a7957f51d7,1519334646,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,https://github.com/google/guice-aqueduct/blob/dc3dddacd6106ecbdfc73593e7065f693dfd97d6/README.md,https://github.com/google/guice-aqueduct/blob/ba063a95f19505d7660001504f1486a7957f51d7/src/main/java/com/github/chajath/guice/aqueduct/PipelineBinder.java#L96
@Override,repo,README.md,9,14,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,ba063a95f19505d7660001504f1486a7957f51d7,1519334646,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,https://github.com/google/guice-aqueduct/blob/dc3dddacd6106ecbdfc73593e7065f693dfd97d6/README.md,https://github.com/google/guice-aqueduct/blob/ba063a95f19505d7660001504f1486a7957f51d7/src/test/java/com/github/chajath/guice/aqueduct/PipelineBinderTest.java#L32
AbstractModule,repo,README.md,8,8,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,ba063a95f19505d7660001504f1486a7957f51d7,1519334646,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,https://github.com/google/guice-aqueduct/blob/dc3dddacd6106ecbdfc73593e7065f693dfd97d6/README.md,https://github.com/google/guice-aqueduct/blob/ba063a95f19505d7660001504f1486a7957f51d7/src/test/java/com/github/chajath/guice/aqueduct/PipelineBinderTest.java#L19
AbstractPipeline,repo,README.md,4,4,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,ba063a95f19505d7660001504f1486a7957f51d7,1519334646,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,https://github.com/google/guice-aqueduct/blob/dc3dddacd6106ecbdfc73593e7065f693dfd97d6/README.md,https://github.com/google/guice-aqueduct/blob/ba063a95f19505d7660001504f1486a7957f51d7/src/test/java/com/github/chajath/guice/aqueduct/AbstractPipelineTest.java#L23
Chained,repo,README.md,13,14,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,ba063a95f19505d7660001504f1486a7957f51d7,1519334646,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,https://github.com/google/guice-aqueduct/blob/dc3dddacd6106ecbdfc73593e7065f693dfd97d6/README.md,https://github.com/google/guice-aqueduct/blob/ba063a95f19505d7660001504f1486a7957f51d7/src/test/java/com/github/chajath/guice/aqueduct/PipelineBinderTest.java#L29
Chained<Pipeline>,repo,README.md,1,1,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,ba063a95f19505d7660001504f1486a7957f51d7,1519334646,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,https://github.com/google/guice-aqueduct/blob/dc3dddacd6106ecbdfc73593e7065f693dfd97d6/README.md,https://github.com/google/guice-aqueduct/blob/ba063a95f19505d7660001504f1486a7957f51d7/src/main/java/com/github/chajath/guice/aqueduct/PipelineBinder.java#L50
MyPipelineModule,repo,README.md,1,1,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,ba063a95f19505d7660001504f1486a7957f51d7,1519334646,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,https://github.com/google/guice-aqueduct/blob/dc3dddacd6106ecbdfc73593e7065f693dfd97d6/README.md,https://github.com/google/guice-aqueduct/blob/ba063a95f19505d7660001504f1486a7957f51d7/src/main/java/com/github/chajath/guice/aqueduct/PipelineBinder.java#L90
NoOpPipeline,repo,README.md,2,2,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,ba063a95f19505d7660001504f1486a7957f51d7,1519334646,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,https://github.com/google/guice-aqueduct/blob/dc3dddacd6106ecbdfc73593e7065f693dfd97d6/README.md,https://github.com/google/guice-aqueduct/blob/ba063a95f19505d7660001504f1486a7957f51d7/src/main/java/com/github/chajath/guice/aqueduct/PipelineBinder.java#L79
NoOpPipeline(),repo,README.md,1,1,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,ba063a95f19505d7660001504f1486a7957f51d7,1519334646,dc3dddacd6106ecbdfc73593e7065f693dfd97d6,1518657849,https://github.com/google/guice-aqueduct/blob/dc3dddacd6106ecbdfc73593e7065f693dfd97d6/README.md,https://github.com/google/guice-aqueduct/blob/ba063a95f19505d7660001504f1486a7957f51d7/src/main/java/com/github/chajath/guice/aqueduct/PipelineBinder.java#L94
