code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
*.entries,repo,README.md,1,1,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,1c3c4886fa083a7b6eeff198f943ea875bdc5793,1591717700,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/serve.sh#L24
/opt/kythe,repo,README.md,11,11,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,1c3c4886fa083a7b6eeff198f943ea875bdc5793,1591717700,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/serve.sh#L7
GHC,repo,README.md,127,128,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,1c3c4886fa083a7b6eeff198f943ea875bdc5793,1591717700,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/wrappers/stack/ghc#L5
INDEXER_OUTPUT_DIR,repo,README.md,26,26,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,1c3c4886fa083a7b6eeff198f943ea875bdc5793,1591717700,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/wrappers/stack/ghc#L6
KYTHE_DIR,repo,README.md,10,10,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,1c3c4886fa083a7b6eeff198f943ea875bdc5793,1591717700,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/serve.sh#L7
PATH,repo,README.md,16,16,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,1c3c4886fa083a7b6eeff198f943ea875bdc5793,1591717700,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/stack-example/README.md#L38
README,repo,README.md,10,11,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,1c3c4886fa083a7b6eeff198f943ea875bdc5793,1591717700,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/stack-ghc865.yaml#L24
STACK_YAML,repo,README.md,3,4,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,1c3c4886fa083a7b6eeff198f943ea875bdc5793,1591717700,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/run-ghc-tests.sh#L6
UI,repo,README.md,14,14,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,1c3c4886fa083a7b6eeff198f943ea875bdc5793,1591717700,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,https://github.com/google/haskell-indexer/blob/1c3c4886fa083a7b6eeff198f943ea875bdc5793/kythe-verification/testdata/basic/TypeclassRef.hs#L17
build-stack.sh,repo,README.md,1,1,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,1c3c4886fa083a7b6eeff198f943ea875bdc5793,1591717700,ae9b3c1e77515c5903368e24056202cf1c4c55ae,1589317046,https://github.com/google/haskell-indexer/blob/ae9b3c1e77515c5903368e24056202cf1c4c55ae/README.md,code_element is a file name
