code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
CI,repo,README.md,2,2,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/.github/workflows/stack-ci.yml#L15
DerivingVia,repo,README.md,11,11,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray/test/Main.hs#L17
HughesPJClass,repo,README.md,4,4,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray-pretty/src/Data/Portray/Pretty.hs#L61
MyType,repo,README.md,2,2,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray/src/Data/Portray.hs#L478
Portray,repo,README.md,227,227,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray/test/Main.hs#L35
PrettyPrint,repo,README.md,8,8,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray-pretty/src/Data/Portray/Pretty.hs#L61
WrappedPortray,repo,README.md,10,10,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray-prettyprinter/src/Data/Portray/Prettyprinter.hs#L64
WrappedPortray(..),repo,README.md,2,2,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray-prettyprinter/src/Data/Portray/Prettyprinter.hs#L97
portray,repo,README.md,206,206,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/stack.yaml#L18
portray-pretty,repo,README.md,18,18,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/stack.yaml#L22
pp,repo,README.md,16,16,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray-prettyprinter/src/Data/Portray/Prettyprinter.hs#L25
prettyShow,repo,README.md,1,1,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,ea6e160df92abcfc44a0fbfa9ad3f87429abf131,1642563687,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/README.md,https://github.com/google/hs-portray/blob/ea6e160df92abcfc44a0fbfa9ad3f87429abf131/portray-pretty/src/Data/Portray/Pretty.hs#L61
