code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
04L,repo,README.md,3,3,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,34ece839e73afe0aa6a91994cf8d90f4b40878bb,1594896193,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,https://github.com/google/iot-environment-sensors/blob/c987b8c2d04f1fd1be401a028da69c307c538826/README.md,https://github.com/google/iot-environment-sensors/blob/34ece839e73afe0aa6a91994cf8d90f4b40878bb/firmware/components/sensor-smuart04l/sensor_smuart04l.cc#L35
AP,repo,README.md,3,3,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,34ece839e73afe0aa6a91994cf8d90f4b40878bb,1594896193,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,https://github.com/google/iot-environment-sensors/blob/c987b8c2d04f1fd1be401a028da69c307c538826/README.md,https://github.com/google/iot-environment-sensors/blob/34ece839e73afe0aa6a91994cf8d90f4b40878bb/firmware/components/google-mqtt/Kconfig#L22
BQ_DATASET,repo,README.md,1,1,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,34ece839e73afe0aa6a91994cf8d90f4b40878bb,1594896193,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,https://github.com/google/iot-environment-sensors/blob/c987b8c2d04f1fd1be401a028da69c307c538826/README.md,https://github.com/google/iot-environment-sensors/blob/34ece839e73afe0aa6a91994cf8d90f4b40878bb/cloud_function/function.go#L138
BQ_TABLE,repo,README.md,1,1,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,34ece839e73afe0aa6a91994cf8d90f4b40878bb,1594896193,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,https://github.com/google/iot-environment-sensors/blob/c987b8c2d04f1fd1be401a028da69c307c538826/README.md,https://github.com/google/iot-environment-sensors/blob/34ece839e73afe0aa6a91994cf8d90f4b40878bb/cloud_function/function.go#L138
BigQuery,repo,README.md,2,2,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,34ece839e73afe0aa6a91994cf8d90f4b40878bb,1594896193,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,https://github.com/google/iot-environment-sensors/blob/c987b8c2d04f1fd1be401a028da69c307c538826/README.md,https://github.com/google/iot-environment-sensors/blob/34ece839e73afe0aa6a91994cf8d90f4b40878bb/cloud_function/function.go#L134
ESP32,repo,README.md,1,1,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,34ece839e73afe0aa6a91994cf8d90f4b40878bb,1594896193,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,https://github.com/google/iot-environment-sensors/blob/c987b8c2d04f1fd1be401a028da69c307c538826/README.md,https://github.com/google/iot-environment-sensors/blob/34ece839e73afe0aa6a91994cf8d90f4b40878bb/firmware/partition-table.csv#L1
GasTranslator,repo,README.md,1,1,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,34ece839e73afe0aa6a91994cf8d90f4b40878bb,1594896193,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,https://github.com/google/iot-environment-sensors/blob/c987b8c2d04f1fd1be401a028da69c307c538826/README.md,https://github.com/google/iot-environment-sensors/blob/34ece839e73afe0aa6a91994cf8d90f4b40878bb/cloud_function/function.go#L119
GasTranslatorStackdriver,repo,README.md,1,1,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,34ece839e73afe0aa6a91994cf8d90f4b40878bb,1594896193,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,https://github.com/google/iot-environment-sensors/blob/c987b8c2d04f1fd1be401a028da69c307c538826/README.md,https://github.com/google/iot-environment-sensors/blob/34ece839e73afe0aa6a91994cf8d90f4b40878bb/cloud_function/function.go#L229
MQTT,repo,README.md,19,19,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,34ece839e73afe0aa6a91994cf8d90f4b40878bb,1594896193,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,https://github.com/google/iot-environment-sensors/blob/c987b8c2d04f1fd1be401a028da69c307c538826/README.md,https://github.com/google/iot-environment-sensors/blob/34ece839e73afe0aa6a91994cf8d90f4b40878bb/firmware/components/google-mqtt/google-mqtt.cc#L26
OTA,repo,README.md,3,3,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,34ece839e73afe0aa6a91994cf8d90f4b40878bb,1594896193,c987b8c2d04f1fd1be401a028da69c307c538826,1582897502,https://github.com/google/iot-environment-sensors/blob/c987b8c2d04f1fd1be401a028da69c307c538826/README.md,https://github.com/google/iot-environment-sensors/blob/34ece839e73afe0aa6a91994cf8d90f4b40878bb/firmware/components/google-mqtt/google-mqtt.cc#L83
