code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
CI,repo,README.md,1,1,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,dee0e5a7889aa0331cf1952b95e5f59ef391f0f5,1655598872,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,https://github.com/google/json_serializable.dart/blob/9863978fa9fe427c846bf714879b5c5bb22e61e0/README.md,https://github.com/google/json_serializable.dart/blob/dee0e5a7889aa0331cf1952b95e5f59ef391f0f5/.github/workflows/dart.yml#L2
JSON,repo,README.md,64,81,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,dee0e5a7889aa0331cf1952b95e5f59ef391f0f5,1655598872,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,https://github.com/google/json_serializable.dart/blob/9863978fa9fe427c846bf714879b5c5bb22e61e0/README.md,https://github.com/google/json_serializable.dart/blob/dee0e5a7889aa0331cf1952b95e5f59ef391f0f5/json_serializable/tool/readme/readme_template.md#L3
YAML,repo,README.md,8,9,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,dee0e5a7889aa0331cf1952b95e5f59ef391f0f5,1655598872,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,https://github.com/google/json_serializable.dart/blob/9863978fa9fe427c846bf714879b5c5bb22e61e0/README.md,https://github.com/google/json_serializable.dart/blob/dee0e5a7889aa0331cf1952b95e5f59ef391f0f5/json_serializable/tool/readme/readme_template.md#L56
checked_yaml,repo,README.md,63,63,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,dee0e5a7889aa0331cf1952b95e5f59ef391f0f5,1655598872,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,https://github.com/google/json_serializable.dart/blob/9863978fa9fe427c846bf714879b5c5bb22e61e0/README.md,https://github.com/google/json_serializable.dart/blob/dee0e5a7889aa0331cf1952b95e5f59ef391f0f5/checked_yaml/test/example_test.dart#L5
dependencies:,repo,README.md,5,10,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,dee0e5a7889aa0331cf1952b95e5f59ef391f0f5,1655598872,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,https://github.com/google/json_serializable.dart/blob/9863978fa9fe427c846bf714879b5c5bb22e61e0/README.md,https://github.com/google/json_serializable.dart/blob/dee0e5a7889aa0331cf1952b95e5f59ef391f0f5/shared_test/pubspec.yaml#L6
dev_dependencies:,repo,README.md,7,7,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,dee0e5a7889aa0331cf1952b95e5f59ef391f0f5,1655598872,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,https://github.com/google/json_serializable.dart/blob/9863978fa9fe427c846bf714879b5c5bb22e61e0/README.md,https://github.com/google/json_serializable.dart/blob/dee0e5a7889aa0331cf1952b95e5f59ef391f0f5/json_serializable/pubspec.yaml#L27
json_annotation,repo,README.md,273,264,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,dee0e5a7889aa0331cf1952b95e5f59ef391f0f5,1655598872,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,https://github.com/google/json_serializable.dart/blob/9863978fa9fe427c846bf714879b5c5bb22e61e0/README.md,https://github.com/google/json_serializable.dart/blob/dee0e5a7889aa0331cf1952b95e5f59ef391f0f5/json_serializable/tool/test_type_data.dart#L6
json_serializable,repo,README.md,139,175,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,dee0e5a7889aa0331cf1952b95e5f59ef391f0f5,1655598872,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,https://github.com/google/json_serializable.dart/blob/9863978fa9fe427c846bf714879b5c5bb22e61e0/README.md,https://github.com/google/json_serializable.dart/blob/dee0e5a7889aa0331cf1952b95e5f59ef391f0f5/json_serializable/tool/readme/readme_template.md#L1
package:json_serializable,repo,README.md,28,30,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,dee0e5a7889aa0331cf1952b95e5f59ef391f0f5,1655598872,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,https://github.com/google/json_serializable.dart/blob/9863978fa9fe427c846bf714879b5c5bb22e61e0/README.md,https://github.com/google/json_serializable.dart/blob/dee0e5a7889aa0331cf1952b95e5f59ef391f0f5/json_serializable/test/shared_config.dart#L6
package:yaml,repo,README.md,13,13,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,dee0e5a7889aa0331cf1952b95e5f59ef391f0f5,1655598872,9863978fa9fe427c846bf714879b5c5bb22e61e0,1617495545,https://github.com/google/json_serializable.dart/blob/9863978fa9fe427c846bf714879b5c5bb22e61e0/README.md,https://github.com/google/json_serializable.dart/blob/dee0e5a7889aa0331cf1952b95e5f59ef391f0f5/json_serializable/tool/shared.dart#L8
