code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
BUCKET,repo,README.md,1,1,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,ff7766b58a1ebc6b568ed4835e00092a7636d8d1,1620842668,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,https://github.com/google/kube-node-tracer/blob/8d3385726ce561563fad220c61b69b4f8c182b3e/README.md,https://github.com/google/kube-node-tracer/blob/ff7766b58a1ebc6b568ed4835e00092a7636d8d1/examples/kube-node-tracer-daemonset-example.yaml#L55
CONTRIBUTING.md,repo,README.md,1,1,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,ff7766b58a1ebc6b568ed4835e00092a7636d8d1,1620842668,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,https://github.com/google/kube-node-tracer/blob/8d3385726ce561563fad220c61b69b4f8c182b3e/README.md,code_element is a file name
DaemonSet,repo,README.md,3,3,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,ff7766b58a1ebc6b568ed4835e00092a7636d8d1,1620842668,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,https://github.com/google/kube-node-tracer/blob/8d3385726ce561563fad220c61b69b4f8c182b3e/README.md,https://github.com/google/kube-node-tracer/blob/ff7766b58a1ebc6b568ed4835e00092a7636d8d1/rolling_tcpdump.sh#L28
GCS,repo,README.md,4,4,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,ff7766b58a1ebc6b568ed4835e00092a7636d8d1,1620842668,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,https://github.com/google/kube-node-tracer/blob/8d3385726ce561563fad220c61b69b4f8c182b3e/README.md,https://github.com/google/kube-node-tracer/blob/ff7766b58a1ebc6b568ed4835e00092a7636d8d1/kube_node_tracer.sh#L67
LICENSE,repo,README.md,8,8,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,ff7766b58a1ebc6b568ed4835e00092a7636d8d1,1620842668,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,https://github.com/google/kube-node-tracer/blob/8d3385726ce561563fad220c61b69b4f8c182b3e/README.md,https://github.com/google/kube-node-tracer/blob/ff7766b58a1ebc6b568ed4835e00092a7636d8d1/rolling_tcpdump.sh#L9
MB,repo,README.md,3,3,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,ff7766b58a1ebc6b568ed4835e00092a7636d8d1,1620842668,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,https://github.com/google/kube-node-tracer/blob/8d3385726ce561563fad220c61b69b4f8c182b3e/README.md,https://github.com/google/kube-node-tracer/blob/ff7766b58a1ebc6b568ed4835e00092a7636d8d1/rolling_tcpdump.sh#L83
NAME,repo,README.md,1,1,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,ff7766b58a1ebc6b568ed4835e00092a7636d8d1,1620842668,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,https://github.com/google/kube-node-tracer/blob/8d3385726ce561563fad220c61b69b4f8c182b3e/README.md,https://github.com/google/kube-node-tracer/blob/ff7766b58a1ebc6b568ed4835e00092a7636d8d1/examples/kube-node-tracer-daemonset-example.yaml#L55
NIC,repo,README.md,1,1,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,ff7766b58a1ebc6b568ed4835e00092a7636d8d1,1620842668,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,https://github.com/google/kube-node-tracer/blob/8d3385726ce561563fad220c61b69b4f8c182b3e/README.md,https://github.com/google/kube-node-tracer/blob/ff7766b58a1ebc6b568ed4835e00092a7636d8d1/examples/kube-node-tracer-daemonset-example.yaml#L33
NODE,repo,README.md,0,1,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,ff7766b58a1ebc6b568ed4835e00092a7636d8d1,1620842668,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,https://github.com/google/kube-node-tracer/blob/8d3385726ce561563fad220c61b69b4f8c182b3e/README.md,https://github.com/google/kube-node-tracer/blob/ff7766b58a1ebc6b568ed4835e00092a7636d8d1/examples/kube-node-tracer-daemonset-example.yaml#L38
host,repo,README.md,4,4,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,ff7766b58a1ebc6b568ed4835e00092a7636d8d1,1620842668,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,https://github.com/google/kube-node-tracer/blob/8d3385726ce561563fad220c61b69b4f8c182b3e/README.md,https://github.com/google/kube-node-tracer/blob/ff7766b58a1ebc6b568ed4835e00092a7636d8d1/examples/kube-node-tracer-daemonset-example.yaml#L33
tcpdump,repo,README.md,13,13,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,ff7766b58a1ebc6b568ed4835e00092a7636d8d1,1620842668,8d3385726ce561563fad220c61b69b4f8c182b3e,1620415533,https://github.com/google/kube-node-tracer/blob/8d3385726ce561563fad220c61b69b4f8c182b3e/README.md,https://github.com/google/kube-node-tracer/blob/ff7766b58a1ebc6b568ed4835e00092a7636d8d1/rolling_tcpdump.sh#L17
