code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
API,repo,README.md,12,12,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,e5bc124f752b9e4903ce565faf283456a8fa3cc5,1653683410,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,https://github.com/google/megalista/blob/61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4/README.md,https://github.com/google/megalista/blob/e5bc124f752b9e4903ce565faf283456a8fa3cc5/megalista_dataflow/uploaders/utils.py#L113
BigQuery,repo,README.md,1,1,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,e5bc124f752b9e4903ce565faf283456a8fa3cc5,1653683410,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,https://github.com/google/megalista/blob/61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4/README.md,https://github.com/google/megalista/blob/e5bc124f752b9e4903ce565faf283456a8fa3cc5/cloud_config/scheduler_sample.json#L13
GCP,repo,README.md,6,6,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,e5bc124f752b9e4903ce565faf283456a8fa3cc5,1653683410,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,https://github.com/google/megalista/blob/61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4/README.md,https://github.com/google/megalista/blob/e5bc124f752b9e4903ce565faf283456a8fa3cc5/terraform/variables.tf#L58
JSON,repo,README.md,18,18,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,e5bc124f752b9e4903ce565faf283456a8fa3cc5,1653683410,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,https://github.com/google/megalista/blob/61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4/README.md,https://github.com/google/megalista/blob/e5bc124f752b9e4903ce565faf283456a8fa3cc5/terraform/variables.tf#L42
MCC,repo,README.md,1,1,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,e5bc124f752b9e4903ce565faf283456a8fa3cc5,1653683410,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,https://github.com/google/megalista/blob/61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4/README.md,https://github.com/google/megalista/blob/e5bc124f752b9e4903ce565faf283456a8fa3cc5/megalista_dataflow/models/execution.py#L108
SSD,repo,README.md,3,3,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,e5bc124f752b9e4903ce565faf283456a8fa3cc5,1653683410,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,https://github.com/google/megalista/blob/61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4/README.md,https://github.com/google/megalista/blob/e5bc124f752b9e4903ce565faf283456a8fa3cc5/megalista_dataflow/main.py#L98
URL,repo,README.md,10,10,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,e5bc124f752b9e4903ce565faf283456a8fa3cc5,1653683410,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,https://github.com/google/megalista/blob/61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4/README.md,https://github.com/google/megalista/blob/e5bc124f752b9e4903ce565faf283456a8fa3cc5/terraform/variables.tf#L47
bucket_name,repo,README.md,9,9,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,e5bc124f752b9e4903ce565faf283456a8fa3cc5,1653683410,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,https://github.com/google/megalista/blob/61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4/README.md,https://github.com/google/megalista/blob/e5bc124f752b9e4903ce565faf283456a8fa3cc5/terraform/variables.tf#L5
client_id,repo,README.md,56,56,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,e5bc124f752b9e4903ce565faf283456a8fa3cc5,1653683410,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,https://github.com/google/megalista/blob/61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4/README.md,https://github.com/google/megalista/blob/e5bc124f752b9e4903ce565faf283456a8fa3cc5/terraform/variables.tf#L20
client_secret,repo,README.md,33,33,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,e5bc124f752b9e4903ce565faf283456a8fa3cc5,1653683410,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,https://github.com/google/megalista/blob/61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4/README.md,https://github.com/google/megalista/blob/e5bc124f752b9e4903ce565faf283456a8fa3cc5/terraform/variables.tf#L25
customVariables,repo,README.md,5,5,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,e5bc124f752b9e4903ce565faf283456a8fa3cc5,1653683410,61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4,1653670825,https://github.com/google/megalista/blob/61b6fb6dabdec6a2dc9b036f7eb5a22201b30ab4/README.md,https://github.com/google/megalista/blob/e5bc124f752b9e4903ce565faf283456a8fa3cc5/megalista_dataflow/uploaders/campaign_manager/campaign_manager_conversion_uploader_test.py#L162
