code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
$LAB,repo,README.md,6,6,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/README.md,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/test/test-module-client.js#L85
JS,repo,README.md,6,6,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/README.md,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/module-server.js#L99
JavaScript,repo,README.md,1,1,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/README.md,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/module-compiler/package.json#L4
LAB,repo,README.md,4,4,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/README.md,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/demo-server.js#L73
LABjs,repo,README.md,10,10,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/README.md,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/package.json#L24
ModuleServer('http://127.0.0.1:1337/'),repo,README.md,1,1,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/README.md,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/clients/test/demo.html#L15
app.js,repo,README.md,5,5,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/README.md,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/test/fixtures/sample-module/module-graph.json#L1
entry_module,repo,README.md,2,2,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/README.md,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/module-compiler/bin.js#L31
loadModule,repo,README.md,20,20,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/README.md,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/test/test-module-client.js#L35
module_path,repo,README.md,2,2,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/README.md,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/module-compiler/bin.js#L30
output_path,repo,README.md,2,2,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c,1439193814,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/README.md,https://github.com/google/module-server/blob/68c42d7a8621bee645d2e01e8a57d9ef7e7e6d5c/module-compiler/bin.js#L31
