code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
CLDR,repo,README.md,1,1,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/README.md,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/genconvert/input/my-t-my-s0-zawgyi.txt#L2
CORPUS,repo,README.md,4,4,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/README.md,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/training/src/main/java/com/google/myanmartools/GenerateZawgyiUnicodeModelDAT.java#L34
ICU,repo,README.md,20,20,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/README.md,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/samples/ruby/demo.rb#L1
ID,repo,README.md,6,6,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/README.md,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/clients/python/README.rst#L37
JavaScript,repo,README.md,11,11,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/README.md,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/genconvert/src/main/java/com/google/myanmartools/TransliterateFile.java#L37
PHP,repo,README.md,16,16,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/README.md,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/clients/php/README.md#L1
README,repo,README.md,18,18,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/README.md,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/training/src/main/java/com/google/myanmartools/GenerateCompatibilityTSV.java#L28
clients,repo,README.md,107,107,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/README.md,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/composer.json#L29
compatibility.tsv,repo,README.md,50,50,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/README.md,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/training/src/main/java/com/google/myanmartools/GenerateCompatibilityTSV.java#L40
copy-resources,repo,README.md,2,2,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/README.md,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/Makefile#L56
getZawgyiProbability,repo,README.md,55,55,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/README.md,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/training/src/test/java/com/google/myanmartools/ZawgyiDetectorTestingDataTest.java#L138
test,repo,README.md,138,138,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/README.md,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/training/src/test/java/com/google/myanmartools/ZawgyiDetectorTestingDataTest.java#L48
zawgyiUnicodeModel.dat,repo,README.md,54,54,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,7a9ef502489eb162a4695b1a00d069762e28711d,1637087723,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/README.md,https://github.com/google/myanmar-tools/blob/7a9ef502489eb162a4695b1a00d069762e28711d/training/src/test/java/com/google/myanmartools/ZawgyiDetectorTestingDataTest.java#L52
