code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
API,repo,README.md,238,276,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/util/src/main/java/google/registry/util/JdkLoggerConfig.java#L38
AS,repo,README.md,2299,2844,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/utils.gradle#L10
BIND,repo,README.md,1,1,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/core/src/main/java/google/registry/tools/server/GenerateZoneFilesAction.java#L63
BigQuery,repo,README.md,53,53,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/docs/operational-procedures.md#L95
CZDS,repo,README.md,2,4,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/core/src/test/resources/google/registry/reporting/icann/activity_report_aggregation_test_cloud_sql.sql#L23
DNS,repo,README.md,255,264,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/proxy/terraform/modules/networking/variables.tf#L17
EPP,repo,README.md,573,609,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/util/src/main/java/google/registry/util/ProxyHttpHeaders.java#L40
FOSS,repo,README.md,1,3,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/release/cloudbuild-dev-resource.yaml#L6
GAE,repo,README.md,52,63,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/util/src/main/java/google/registry/util/PlaceholderEnvironment.java#L21
GKE,repo,README.md,22,22,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/proxy/src/main/java/google/registry/proxy/metric/MetricParameters.java#L35
GitHub,repo,README.md,5,7,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/release/cloudbuild-release.yaml#L17
HTTP,repo,README.md,162,185,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/util/src/main/java/google/registry/util/X509Utils.java#L190
HTTPS,repo,README.md,24,24,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/util/src/main/java/google/registry/util/AppEngineServiceUtils.java#L46
ICANN,repo,README.md,230,231,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/proxy/src/main/java/google/registry/proxy/handler/WebWhoisRedirectHandler.java#L52
JSON,repo,README.md,197,193,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/release/cloudbuild-schema-verify.yaml#L28
LICENSE,repo,README.md,1954,2200,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/utils.gradle#L7
RDAP,repo,README.md,364,367,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/python/google/registry/scripts/testdata/datastore-indexes.xml#L44
RDE,repo,README.md,148,196,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/docs/operational-procedures/rde-deposits.md#L1
RFC,repo,README.md,126,175,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,c8786797702533be52c6a67dbf409db6cb4a8e74,1655315308,2995bb03fd6133981fbbbc3c44ba2e2b67629434,1591712756,https://github.com/google/nomulus/blob/2995bb03fd6133981fbbbc3c44ba2e2b67629434/README.md,https://github.com/google/nomulus/blob/c8786797702533be52c6a67dbf409db6cb4a8e74/util/src/main/java/google/registry/util/Idn.java#L40
