code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
849VCWC8,repo,README.md,10,10,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,5621ac8202650f5081383d8c500992857a3a43b0,1556812141,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeTests/OpenLocationCodeSwiftExampleTests.swift#L53
@import,repo,README.md,3,3,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,5621ac8202650f5081383d8c500992857a3a43b0,1556812141,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L27
CI,repo,README.md,1,1,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,5621ac8202650f5081383d8c500992857a3a43b0,1556812141,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/.travis.yml#L1
"NSLog(@""Center is %.6f, %.6f"", coord.latitudeCenter, coord.longitudeCenter)",repo,README.md,3,3,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,5621ac8202650f5081383d8c500992857a3a43b0,1556812141,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L50
"NSLog(@""Open Location Code: %@"", code)",repo,README.md,3,3,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,5621ac8202650f5081383d8c500992857a3a43b0,1556812141,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L40
"NSLog(@""Open Location Code: %@"", code10Digit)",repo,README.md,3,3,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,5621ac8202650f5081383d8c500992857a3a43b0,1556812141,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L46
"NSLog(@""Recovered Full Code: %@"", recoveredCode)",repo,README.md,3,3,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,5621ac8202650f5081383d8c500992857a3a43b0,1556812141,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L62
"NSLog(@""Short Code: %@"", shortCode)",repo,README.md,3,3,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,5621ac8202650f5081383d8c500992857a3a43b0,1556812141,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L56
NSString,repo,README.md,12,12,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,5621ac8202650f5081383d8c500992857a3a43b0,1556812141,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L38
OLCArea,repo,README.md,6,6,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,5621ac8202650f5081383d8c500992857a3a43b0,1556812141,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L49
OLCConverter,repo,README.md,16,16,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,5621ac8202650f5081383d8c500992857a3a43b0,1556812141,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L38
OS,repo,README.md,2,2,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,5621ac8202650f5081383d8c500992857a3a43b0,1556812141,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/.travis.yml#L9
OpenLocationCode,repo,README.md,206,211,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,5621ac8202650f5081383d8c500992857a3a43b0,1556812141,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeTests/OpenLocationCodeSwiftExampleTests.swift#L1
OpenLocationCode_iOS,repo,README.md,1,1,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,5621ac8202650f5081383d8c500992857a3a43b0,1556812141,ae6927f02c1a73012a63541e77942a36d9f53abf,1555704448,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/.travis.yml#L9
