code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
API,repo,README.md,40,42,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,367d977409547d62713d15b59dec50f0bf1228d5,1654472228,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,https://github.com/google/osv/blob/a3543081de387d21f923f6da4d73555e83e3f3b0/README.md,https://github.com/google/osv/blob/367d977409547d62713d15b59dec50f0bf1228d5/vulnfeeds/pypi/README.md#L15
BY,repo,README.md,3,3,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,367d977409547d62713d15b59dec50f0bf1228d5,1654472228,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,https://github.com/google/osv/blob/a3543081de387d21f923f6da4d73555e83e3f3b0/README.md,https://github.com/google/osv/blob/367d977409547d62713d15b59dec50f0bf1228d5/vulnfeeds/pypi/pypi_versions.sql#L17
FAQ,repo,README.md,2,0,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,367d977409547d62713d15b59dec50f0bf1228d5,1654472228,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,https://github.com/google/osv/blob/a3543081de387d21f923f6da4d73555e83e3f3b0/README.md,https://github.com/google/osv/blob/a3543081de387d21f923f6da4d73555e83e3f3b0/gcp/appengine/frontend/src/components/Home.vue#L97
GitHub,repo,README.md,11,8,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,367d977409547d62713d15b59dec50f0bf1228d5,1654472228,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,https://github.com/google/osv/blob/a3543081de387d21f923f6da4d73555e83e3f3b0/README.md,https://github.com/google/osv/blob/367d977409547d62713d15b59dec50f0bf1228d5/vulnfeeds/pypi/pypi.go#L261
HTTP,repo,README.md,1,1,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,367d977409547d62713d15b59dec50f0bf1228d5,1654472228,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,https://github.com/google/osv/blob/a3543081de387d21f923f6da4d73555e83e3f3b0/README.md,https://github.com/google/osv/blob/367d977409547d62713d15b59dec50f0bf1228d5/lib/osv/models.py#L655
LICENSE,repo,README.md,87,80,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,367d977409547d62713d15b59dec50f0bf1228d5,1654472228,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,https://github.com/google/osv/blob/a3543081de387d21f923f6da4d73555e83e3f3b0/README.md,https://github.com/google/osv/blob/367d977409547d62713d15b59dec50f0bf1228d5/vulnfeeds/vulns/vulns.go#L7
NuGet,repo,README.md,18,18,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,367d977409547d62713d15b59dec50f0bf1228d5,1654472228,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,https://github.com/google/osv/blob/a3543081de387d21f923f6da4d73555e83e3f3b0/README.md,https://github.com/google/osv/blob/367d977409547d62713d15b59dec50f0bf1228d5/lib/osv/purl_helpers.py#L21
OSS,repo,README.md,54,46,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,367d977409547d62713d15b59dec50f0bf1228d5,1654472228,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,https://github.com/google/osv/blob/a3543081de387d21f923f6da4d73555e83e3f3b0/README.md,https://github.com/google/osv/blob/367d977409547d62713d15b59dec50f0bf1228d5/lib/osv/vulnerability.proto#L56
OSV,repo,README.md,161,149,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,367d977409547d62713d15b59dec50f0bf1228d5,1654472228,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,https://github.com/google/osv/blob/a3543081de387d21f923f6da4d73555e83e3f3b0/README.md,https://github.com/google/osv/blob/367d977409547d62713d15b59dec50f0bf1228d5/vulnfeeds/README.md#L3
OpenSSF,repo,README.md,5,3,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,367d977409547d62713d15b59dec50f0bf1228d5,1654472228,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,https://github.com/google/osv/blob/a3543081de387d21f923f6da4d73555e83e3f3b0/README.md,https://github.com/google/osv/blob/367d977409547d62713d15b59dec50f0bf1228d5/gcp/appengine/frontend3/src/templates/home.html#L55
POST,repo,README.md,10,12,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,367d977409547d62713d15b59dec50f0bf1228d5,1654472228,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,https://github.com/google/osv/blob/a3543081de387d21f923f6da4d73555e83e3f3b0/README.md,https://github.com/google/osv/blob/367d977409547d62713d15b59dec50f0bf1228d5/gcp/appengine/frontend3/src/templates/home.html#L136
PyPI,repo,README.md,58,57,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,367d977409547d62713d15b59dec50f0bf1228d5,1654472228,a3543081de387d21f923f6da4d73555e83e3f3b0,1645682151,https://github.com/google/osv/blob/a3543081de387d21f923f6da4d73555e83e3f3b0/README.md,https://github.com/google/osv/blob/367d977409547d62713d15b59dec50f0bf1228d5/vulnfeeds/pypi/pypi.go#L43
