code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
--diff,repo,README.md,1,1,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,a189bfb7175b1389dbb98072c7e1a68e99c745f9,1647381842,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,https://github.com/google/python-spanner-orm/blob/2b6a9d829b46a95187c67aa3306a2f5b3bebda51/README.md,https://github.com/google/python-spanner-orm/blob/a189bfb7175b1389dbb98072c7e1a68e99c745f9/.github/workflows/test.yaml#L53
.save(),repo,README.md,12,13,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,a189bfb7175b1389dbb98072c7e1a68e99c745f9,1647381842,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,https://github.com/google/python-spanner-orm/blob/2b6a9d829b46a95187c67aa3306a2f5b3bebda51/README.md,https://github.com/google/python-spanner-orm/blob/a189bfb7175b1389dbb98072c7e1a68e99c745f9/spanner_orm/tests/update_test.py#L205
AddColumn,repo,README.md,4,4,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,a189bfb7175b1389dbb98072c7e1a68e99c745f9,1647381842,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,https://github.com/google/python-spanner-orm/blob/2b6a9d829b46a95187c67aa3306a2f5b3bebda51/README.md,https://github.com/google/python-spanner-orm/blob/a189bfb7175b1389dbb98072c7e1a68e99c745f9/spanner_orm/tests/update_test.py#L52
CreateTable,repo,README.md,23,24,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,a189bfb7175b1389dbb98072c7e1a68e99c745f9,1647381842,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,https://github.com/google/python-spanner-orm/blob/2b6a9d829b46a95187c67aa3306a2f5b3bebda51/README.md,https://github.com/google/python-spanner-orm/blob/a189bfb7175b1389dbb98072c7e1a68e99c745f9/spanner_orm/tests/update_test.py#L84
"Field(spanner_orm.String, primary_key=True)",repo,README.md,0,1,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,a189bfb7175b1389dbb98072c7e1a68e99c745f9,1647381842,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,https://github.com/google/python-spanner-orm/blob/2b6a9d829b46a95187c67aa3306a2f5b3bebda51/README.md,https://github.com/google/python-spanner-orm/blob/a189bfb7175b1389dbb98072c7e1a68e99c745f9/spanner_orm/tests/migrations_for_emulator_test/create_null_filtered_index_model_760ec5fae5da.py#L28
ForeignKeyRelationship,repo,README.md,21,23,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,a189bfb7175b1389dbb98072c7e1a68e99c745f9,1647381842,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,https://github.com/google/python-spanner-orm/blob/2b6a9d829b46a95187c67aa3306a2f5b3bebda51/README.md,https://github.com/google/python-spanner-orm/blob/a189bfb7175b1389dbb98072c7e1a68e99c745f9/spanner_orm/tests/models.py#L82
GoogleCloudPlatform,repo,README.md,2,3,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,a189bfb7175b1389dbb98072c7e1a68e99c745f9,1647381842,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,https://github.com/google/python-spanner-orm/blob/2b6a9d829b46a95187c67aa3306a2f5b3bebda51/README.md,https://github.com/google/python-spanner-orm/blob/a189bfb7175b1389dbb98072c7e1a68e99c745f9/spanner_orm/testlib/spanner_emulator/emulator.py#L100
INSERT,repo,README.md,2,2,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,a189bfb7175b1389dbb98072c7e1a68e99c745f9,1647381842,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,https://github.com/google/python-spanner-orm/blob/2b6a9d829b46a95187c67aa3306a2f5b3bebda51/README.md,https://github.com/google/python-spanner-orm/blob/a189bfb7175b1389dbb98072c7e1a68e99c745f9/spanner_orm/model.py#L534
Index(['value']),repo,README.md,1,1,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,a189bfb7175b1389dbb98072c7e1a68e99c745f9,1647381842,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,https://github.com/google/python-spanner-orm/blob/2b6a9d829b46a95187c67aa3306a2f5b3bebda51/README.md,https://github.com/google/python-spanner-orm/blob/a189bfb7175b1389dbb98072c7e1a68e99c745f9/spanner_orm/tests/models.py#L58
MigrationExecutor,repo,README.md,13,13,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,a189bfb7175b1389dbb98072c7e1a68e99c745f9,1647381842,2b6a9d829b46a95187c67aa3306a2f5b3bebda51,1632761356,https://github.com/google/python-spanner-orm/blob/2b6a9d829b46a95187c67aa3306a2f5b3bebda51/README.md,https://github.com/google/python-spanner-orm/blob/a189bfb7175b1389dbb98072c7e1a68e99c745f9/spanner_orm/tests/migrations_test.py#L126
