code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
$HOME,repo,README.md,4,4,5ff531982e224451d3747fb51ec695239e32798f,1649714443,4cda22487324bec946fb206441abd7d5aad3503c,1650562680,5ff531982e224451d3747fb51ec695239e32798f,1649714443,https://github.com/google/rust_icu/blob/5ff531982e224451d3747fb51ec695239e32798f/README.md,https://github.com/google/rust_icu/blob/4cda22487324bec946fb206441abd7d5aad3503c/rust_icu_sys/build.rs#L176
$PATH,repo,README.md,5,5,5ff531982e224451d3747fb51ec695239e32798f,1649714443,4cda22487324bec946fb206441abd7d5aad3503c,1650562680,5ff531982e224451d3747fb51ec695239e32798f,1649714443,https://github.com/google/rust_icu/blob/5ff531982e224451d3747fb51ec695239e32798f/README.md,https://github.com/google/rust_icu/blob/4cda22487324bec946fb206441abd7d5aad3503c/rust_icu_uloc/build.rs#L79
$RUST_ICU_SOURCE_DIR,repo,README.md,5,5,5ff531982e224451d3747fb51ec695239e32798f,1649714443,4cda22487324bec946fb206441abd7d5aad3503c,1650562680,5ff531982e224451d3747fb51ec695239e32798f,1649714443,https://github.com/google/rust_icu/blob/5ff531982e224451d3747fb51ec695239e32798f/README.md,https://github.com/google/rust_icu/blob/4cda22487324bec946fb206441abd7d5aad3503c/build/entrypoint.sh#L7
API,repo,README.md,58,58,5ff531982e224451d3747fb51ec695239e32798f,1649714443,4cda22487324bec946fb206441abd7d5aad3503c,1650562680,5ff531982e224451d3747fb51ec695239e32798f,1649714443,https://github.com/google/rust_icu/blob/5ff531982e224451d3747fb51ec695239e32798f/README.md,https://github.com/google/rust_icu/blob/4cda22487324bec946fb206441abd7d5aad3503c/rust_icu_utrans/src/lib.rs#L53
BINDGEN_ALLOWLIST_FUNCTIONS,repo,README.md,4,4,5ff531982e224451d3747fb51ec695239e32798f,1649714443,4cda22487324bec946fb206441abd7d5aad3503c,1650562680,5ff531982e224451d3747fb51ec695239e32798f,1649714443,https://github.com/google/rust_icu/blob/5ff531982e224451d3747fb51ec695239e32798f/README.md,https://github.com/google/rust_icu/blob/4cda22487324bec946fb206441abd7d5aad3503c/rust_icu_sys/build.rs#L66
BINDGEN_ALLOWLIST_TYPES,repo,README.md,4,4,5ff531982e224451d3747fb51ec695239e32798f,1649714443,4cda22487324bec946fb206441abd7d5aad3503c,1650562680,5ff531982e224451d3747fb51ec695239e32798f,1649714443,https://github.com/google/rust_icu/blob/5ff531982e224451d3747fb51ec695239e32798f/README.md,https://github.com/google/rust_icu/blob/4cda22487324bec946fb206441abd7d5aad3503c/rust_icu_sys/build.rs#L91
BINDGEN_SOURCE_MODULES,repo,README.md,4,4,5ff531982e224451d3747fb51ec695239e32798f,1649714443,4cda22487324bec946fb206441abd7d5aad3503c,1650562680,5ff531982e224451d3747fb51ec695239e32798f,1649714443,https://github.com/google/rust_icu/blob/5ff531982e224451d3747fb51ec695239e32798f/README.md,https://github.com/google/rust_icu/blob/4cda22487324bec946fb206441abd7d5aad3503c/rust_icu_sys/build.rs#L39
Cargo.toml,repo,README.md,52,52,5ff531982e224451d3747fb51ec695239e32798f,1649714443,4cda22487324bec946fb206441abd7d5aad3503c,1650562680,5ff531982e224451d3747fb51ec695239e32798f,1649714443,https://github.com/google/rust_icu/blob/5ff531982e224451d3747fb51ec695239e32798f/README.md,https://github.com/google/rust_icu/blob/4cda22487324bec946fb206441abd7d5aad3503c/rust_icu_utrans/Cargo.toml#L29
DOCKER_TEST_CARGO_TEST_ARGS,repo,README.md,6,6,5ff531982e224451d3747fb51ec695239e32798f,1649714443,4cda22487324bec946fb206441abd7d5aad3503c,1650562680,5ff531982e224451d3747fb51ec695239e32798f,1649714443,https://github.com/google/rust_icu/blob/5ff531982e224451d3747fb51ec695239e32798f/README.md,https://github.com/google/rust_icu/blob/4cda22487324bec946fb206441abd7d5aad3503c/Makefile#L55
DOCKER_TEST_ENV,repo,README.md,7,7,5ff531982e224451d3747fb51ec695239e32798f,1649714443,4cda22487324bec946fb206441abd7d5aad3503c,1650562680,5ff531982e224451d3747fb51ec695239e32798f,1649714443,https://github.com/google/rust_icu/blob/5ff531982e224451d3747fb51ec695239e32798f/README.md,https://github.com/google/rust_icu/blob/4cda22487324bec946fb206441abd7d5aad3503c/Makefile#L55
ECMA,repo,README.md,45,45,5ff531982e224451d3747fb51ec695239e32798f,1649714443,4cda22487324bec946fb206441abd7d5aad3503c,1650562680,5ff531982e224451d3747fb51ec695239e32798f,1649714443,https://github.com/google/rust_icu/blob/5ff531982e224451d3747fb51ec695239e32798f/README.md,https://github.com/google/rust_icu/blob/4cda22487324bec946fb206441abd7d5aad3503c/rust_icu_intl/src/lib.rs#L15
ICU,repo,README.md,116,116,5ff531982e224451d3747fb51ec695239e32798f,1649714443,4cda22487324bec946fb206441abd7d5aad3503c,1650562680,5ff531982e224451d3747fb51ec695239e32798f,1649714443,https://github.com/google/rust_icu/blob/5ff531982e224451d3747fb51ec695239e32798f/README.md,https://github.com/google/rust_icu/blob/4cda22487324bec946fb206441abd7d5aad3503c/rust_icu_utrans/src/lib.rs#L15
LD_LIBRARY_PATH,repo,README.md,8,8,5ff531982e224451d3747fb51ec695239e32798f,1649714443,4cda22487324bec946fb206441abd7d5aad3503c,1650562680,5ff531982e224451d3747fb51ec695239e32798f,1649714443,https://github.com/google/rust_icu/blob/5ff531982e224451d3747fb51ec695239e32798f/README.md,https://github.com/google/rust_icu/blob/4cda22487324bec946fb206441abd7d5aad3503c/build/entrypoint.sh#L14
