code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
.addIsFamilyFriendly(BooleanEnum.TRUE),repo,README.md,5,5,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L57
.build(),repo,README.md,11,11,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L61
.getValue(),repo,README.md,8,8,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/main/java/com/google/schemaorg/SchemaOrgTypeImpl.java#L121
@base,repo,README.md,16,16,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L69
@context,repo,README.md,26,26,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L66
@id,repo,README.md,32,32,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L75
@reverse,repo,README.md,22,22,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L82
@type,repo,README.md,53,53,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L72
ABC,repo,README.md,17,17,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L56
ACTIVE_ACTION_STATUS,repo,README.md,3,3,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,30ddcbbec9a3068b6507945803db4442126d35f7,1605886298,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/main/java/com/google/schemaorg/core/ActionStatusTypeEnum.java#L30
