code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
HTML,repo,README.md,10,10,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,6cbe2b5a185228add509f9180686ffa1b1e2afbc,1653899772,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,https://github.com/google/security-crawl-maze/blob/6cbe2b5a185228add509f9180686ffa1b1e2afbc/test-cases/html/manifest.html#L5
JS,repo,README.md,2,2,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,6cbe2b5a185228add509f9180686ffa1b1e2afbc,1653899772,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,https://github.com/google/security-crawl-maze/blob/6cbe2b5a185228add509f9180686ffa1b1e2afbc/test-cases/javascript/frameworks/angular/src/polyfills.ts#L56
LICENSE,repo,README.md,14,14,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,6cbe2b5a185228add509f9180686ffa1b1e2afbc,1653899772,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,https://github.com/google/security-crawl-maze/blob/6cbe2b5a185228add509f9180686ffa1b1e2afbc/test-cases/javascript/frameworks/polymer/src/polymer-router.js#L4
NOT,repo,README.md,1,1,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,6cbe2b5a185228add509f9180686ffa1b1e2afbc,1653899772,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,https://github.com/google/security-crawl-maze/blob/6cbe2b5a185228add509f9180686ffa1b1e2afbc/test-cases/javascript/frameworks/angular/src/polyfills.ts#L27
blueprints/utils/resources/expected-results.json,repo,README.md,1,1,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,6cbe2b5a185228add509f9180686ffa1b1e2afbc,1653899772,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,code_element is a file name
href,repo,README.md,51,59,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,6cbe2b5a185228add509f9180686ffa1b1e2afbc,1653899772,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,https://github.com/google/security-crawl-maze/blob/6cbe2b5a185228add509f9180686ffa1b1e2afbc/test-cases/javascript/frameworks/polymer/src/my-app.js#L47
html/body/a,repo,README.md,4,4,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,6cbe2b5a185228add509f9180686ffa1b1e2afbc,1653899772,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,https://github.com/google/security-crawl-maze/blob/6cbe2b5a185228add509f9180686ffa1b1e2afbc/test-cases/html/body/a/ping.html#L5
html/body/a/href.html,repo,README.md,1,1,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,6cbe2b5a185228add509f9180686ffa1b1e2afbc,1653899772,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,code_element is a file name
html/body/form/button,repo,README.md,2,2,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,6cbe2b5a185228add509f9180686ffa1b1e2afbc,1653899772,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,https://github.com/google/security-crawl-maze/blob/6cbe2b5a185228add509f9180686ffa1b1e2afbc/test-cases/html/body/form/button/formaction.html#L6
test-cases/headers/link,repo,README.md,1,1,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,6cbe2b5a185228add509f9180686ffa1b1e2afbc,1653899772,4b54aa7e51d4be6ace57b291b1d6d98562cffef2,1566481562,https://github.com/google/security-crawl-maze/blob/4b54aa7e51d4be6ace57b291b1d6d98562cffef2/README.md,code_element is a file name
