code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
$include,repo,README.md,4,4,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,098052efeb725d923e7f7512eec8db9e7354d3cd,1454106086,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/pubspec.yaml#L16
..addRuleFor(Address),repo,README.md,5,5,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,098052efeb725d923e7f7512eec8db9e7354d3cd,1454106086,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/test/serialization_mirrors_test.dart#L20
..addRuleFor(Person),repo,README.md,4,4,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,098052efeb725d923e7f7512eec8db9e7354d3cd,1454106086,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/test/serialization_mirrors_test.dart#L19
API,repo,README.md,6,7,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,098052efeb725d923e7f7512eec8db9e7354d3cd,1454106086,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/test/transformer/transformer_maps_test.dart#L32
JSON,repo,README.md,28,29,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,098052efeb725d923e7f7512eec8db9e7354d3cd,1454106086,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/test/transformer/transformer_test.dart#L15
LICENSE,repo,README.md,23,24,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,098052efeb725d923e7f7512eec8db9e7354d3cd,1454106086,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/tool/travis.sh#L5
Serialization(),repo,README.md,43,43,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,098052efeb725d923e7f7512eec8db9e7354d3cd,1454106086,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/test/serialization_test_common.dart#L68
SerializationRules,repo,README.md,2,2,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,098052efeb725d923e7f7512eec8db9e7354d3cd,1454106086,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/lib/serialization_mirrors.dart#L87
_serialization_rules,repo,README.md,2,2,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,098052efeb725d923e7f7512eec8db9e7354d3cd,1454106086,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/lib/transformer.dart#L141
bin,repo,README.md,2,2,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,098052efeb725d923e7f7512eec8db9e7354d3cd,1454106086,f76475708439c2f4012bf4763c00f6a853aa41c2,1414780199,https://github.com/google/serialization.dart/blob/f76475708439c2f4012bf4763c00f6a853aa41c2/README.md,https://github.com/google/serialization.dart/blob/098052efeb725d923e7f7512eec8db9e7354d3cd/tool/travis.sh#L1
