code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
100MiB,repo,README.md,3,3,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/README.md,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/slowfs/deviceconfig_test.go#L210
AllocateBytesPerSecond,repo,README.md,35,35,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/README.md,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/slowfs/scheduler/scheduler_constants_test.go#L30
FsyncStrategy,repo,README.md,37,37,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/README.md,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/slowfs/scheduler/scheduler_constants_test.go#L32
MetadataOpTime,repo,README.md,28,28,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/README.md,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/slowfs/scheduler/scheduler_constants_test.go#L34
ReadBytesPerSecond,repo,README.md,37,37,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/README.md,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/slowfs/scheduler/scheduler_constants_test.go#L28
RequestReorderMaxDelay,repo,README.md,30,30,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/README.md,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/slowfs/scheduler/scheduler_constants_test.go#L31
SeekTime,repo,README.md,34,34,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/README.md,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/slowfs/scheduler/writebackcache_test.go#L256
SeekWindow,repo,README.md,28,28,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/README.md,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/slowfs/scheduler/scheduler_constants_test.go#L26
WriteBytesPerSecond,repo,README.md,37,37,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/README.md,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/slowfs/scheduler/writebackcache_test.go#L255
WriteStrategy,repo,README.md,37,37,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,03b21cd4d3c902dcbd5f228887a6df11a34c7849,1452061252,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/README.md,https://github.com/google/slowfs/blob/03b21cd4d3c902dcbd5f228887a6df11a34c7849/slowfs/scheduler/scheduler_constants_test.go#L33
