code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
BottomAdjustment,repo,README.md,4,4,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L92
BottomLeft,repo,README.md,4,4,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L79
BottomLeftAdjustment,repo,README.md,4,4,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L90
BottomRight,repo,README.md,4,4,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L81
BottomRightAdjustment,repo,README.md,4,4,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L94
FineAdjustmentMessage,repo,README.md,16,16,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L38
FocusOnTop,repo,README.md,22,22,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L55
LICENSE,repo,README.md,8,8,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L7
LayoutClass,repo,README.md,3,3,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/SnapLayout.hs#L28
LayoutModifier,repo,README.md,6,6,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,bb8708bbceb923b2b366ab2f92603f6fac311ae1,1653788951,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/README.md,https://github.com/google/snaplayout-for-xmonad/blob/bb8708bbceb923b2b366ab2f92603f6fac311ae1/FocusOnTop.hs#L20
