code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
Eigen::Array3f,repo,README.md,56,64,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a,1607262956,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L96
EvalSH,repo,README.md,28,24,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a,1607262956,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L218
EvalSHSum,repo,README.md,18,26,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a,1607262956,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L135
GDC,repo,README.md,1,1,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a,1607262956,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics.h#L16
GetCoefficientCount,repo,README.md,15,16,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a,1607262956,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L262
GetIndex,repo,README.md,19,20,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a,1607262956,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L218
ImageXToPhi,repo,README.md,9,9,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a,1607262956,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L855
ImageYToTheta,repo,README.md,9,9,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a,1607262956,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L856
ProjectEnvironment,repo,README.md,6,6,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a,1607262956,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L176
ProjectFunction,repo,README.md,14,14,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a,1607262956,032726cd7add22d81fe0f55d07131abf46417dce,1439509911,https://github.com/google/spherical-harmonics/blob/032726cd7add22d81fe0f55d07131abf46417dce/README.md,https://github.com/google/spherical-harmonics/blob/ccb6c7fec875a1cd5ce5eb1315a9fa7603e0919a/sh/spherical_harmonics_test.cc#L127
