code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
Akaros,repo,README.md,19,21,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,8f633d840e3eb6454f036e9da3285bcf27345616,1655471253,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,https://github.com/google/syzkaller/blob/51cfe8e5099c61aa64746eb323891f0ee28b67c9/README.md,https://github.com/google/syzkaller/blob/8f633d840e3eb6454f036e9da3285bcf27345616/sys/targets/targets.go#L120
CI,repo,README.md,61,69,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,8f633d840e3eb6454f036e9da3285bcf27345616,1655471253,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,https://github.com/google/syzkaller/blob/51cfe8e5099c61aa64746eb323891f0ee28b67c9/README.md,https://github.com/google/syzkaller/blob/8f633d840e3eb6454f036e9da3285bcf27345616/vendor/golang.org/x/sys/unix/mkerrors.sh#L473
FreeBSD,repo,README.md,73,73,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,8f633d840e3eb6454f036e9da3285bcf27345616,1655471253,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,https://github.com/google/syzkaller/blob/51cfe8e5099c61aa64746eb323891f0ee28b67c9/README.md,https://github.com/google/syzkaller/blob/8f633d840e3eb6454f036e9da3285bcf27345616/vm/vmimpl/freebsd.go#L12
Fuchsia,repo,README.md,37,39,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,8f633d840e3eb6454f036e9da3285bcf27345616,1655471253,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,https://github.com/google/syzkaller/blob/51cfe8e5099c61aa64746eb323891f0ee28b67c9/README.md,https://github.com/google/syzkaller/blob/8f633d840e3eb6454f036e9da3285bcf27345616/syz-ci/manager.go#L147
GoDoc,repo,README.md,47,49,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,8f633d840e3eb6454f036e9da3285bcf27345616,1655471253,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,https://github.com/google/syzkaller/blob/51cfe8e5099c61aa64746eb323891f0ee28b67c9/README.md,https://github.com/google/syzkaller/blob/8f633d840e3eb6454f036e9da3285bcf27345616/vendor/mvdan.cc/lint/README.md#L3
LICENSE,repo,README.md,2829,3421,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,8f633d840e3eb6454f036e9da3285bcf27345616,1655471253,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,https://github.com/google/syzkaller/blob/51cfe8e5099c61aa64746eb323891f0ee28b67c9/README.md,https://github.com/google/syzkaller/blob/8f633d840e3eb6454f036e9da3285bcf27345616/vm/vmware/vmware.go#L2
Linux,repo,README.md,359,443,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,8f633d840e3eb6454f036e9da3285bcf27345616,1655471253,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,https://github.com/google/syzkaller/blob/51cfe8e5099c61aa64746eb323891f0ee28b67c9/README.md,https://github.com/google/syzkaller/blob/8f633d840e3eb6454f036e9da3285bcf27345616/vm/vmimpl/linux.go#L13
NetBSD,repo,README.md,48,46,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,8f633d840e3eb6454f036e9da3285bcf27345616,1655471253,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,https://github.com/google/syzkaller/blob/51cfe8e5099c61aa64746eb323891f0ee28b67c9/README.md,https://github.com/google/syzkaller/blob/8f633d840e3eb6454f036e9da3285bcf27345616/vendor/golang.org/x/sys/unix/xattr_bsd.go#L44
OS,repo,README.md,357,423,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,8f633d840e3eb6454f036e9da3285bcf27345616,1655471253,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,https://github.com/google/syzkaller/blob/51cfe8e5099c61aa64746eb323891f0ee28b67c9/README.md,https://github.com/google/syzkaller/blob/8f633d840e3eb6454f036e9da3285bcf27345616/vm/vmm/vmm.go#L107
OpenBSD,repo,README.md,65,65,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,8f633d840e3eb6454f036e9da3285bcf27345616,1655471253,51cfe8e5099c61aa64746eb323891f0ee28b67c9,1608887301,https://github.com/google/syzkaller/blob/51cfe8e5099c61aa64746eb323891f0ee28b67c9/README.md,https://github.com/google/syzkaller/blob/8f633d840e3eb6454f036e9da3285bcf27345616/vm/vmm/vmm.go#L4
