code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
25(7),repo,README.md,1,1,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/README.md,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/doc/decoding.md#L174
AJ,repo,README.md,1,1,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/README.md,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/doc/decoding.md#L170
AuditoryAttentionDecoding,repo,README.md,4,4,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/README.md,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/telluride_decoding/setup.py#L26
D.E,repo,README.md,1,1,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/README.md,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/doc/decoding.md#L177
EEG,repo,README.md,101,101,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/README.md,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/test_data/telluride4/README.txt#L1
GitHub,repo,README.md,8,8,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/README.md,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/test_data/telluride4/README.txt#L4
LICENSE,repo,README.md,41,41,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/README.md,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/test/utils_test.py#L7
MATLAB,repo,README.md,2,2,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/README.md,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/telluride_decoding/cca.py#L256
MEG,repo,README.md,12,12,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/README.md,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/test/brain_data_test.py#L584
TFRecords,repo,README.md,15,15,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,dc8cd862bd40ed997a26355cbd22bc33c94e7f56,1600921078,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/README.md,https://github.com/google/telluride_decoding/blob/dc8cd862bd40ed997a26355cbd22bc33c94e7f56/telluride_decoding/regression_data.py#L58
