code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
CPP,repo,README.md,3,3,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,9f30c97cb84b10bbba6978bc9c12c86478024050,1652987787,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,https://github.com/google/tink/blob/f0b06825896547054f6f0b04cbfda6269f57662b/README.md,https://github.com/google/tink/blob/9f30c97cb84b10bbba6978bc9c12c86478024050/examples/cc/WORKSPACE#L17
GOLANG,repo,README.md,8,8,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,9f30c97cb84b10bbba6978bc9c12c86478024050,1652987787,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,https://github.com/google/tink/blob/f0b06825896547054f6f0b04cbfda6269f57662b/README.md,https://github.com/google/tink/blob/9f30c97cb84b10bbba6978bc9c12c86478024050/go/streamingaead/streamingaead_test.go#L55
HOW,repo,README.md,11,11,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,9f30c97cb84b10bbba6978bc9c12c86478024050,1652987787,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,https://github.com/google/tink/blob/f0b06825896547054f6f0b04cbfda6269f57662b/README.md,https://github.com/google/tink/blob/9f30c97cb84b10bbba6978bc9c12c86478024050/python/README.md#L19
HOWTO,repo,README.md,21,21,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,9f30c97cb84b10bbba6978bc9c12c86478024050,1652987787,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,https://github.com/google/tink/blob/f0b06825896547054f6f0b04cbfda6269f57662b/README.md,https://github.com/google/tink/blob/9f30c97cb84b10bbba6978bc9c12c86478024050/python/README.md#L19
ISSUES,repo,README.md,2,2,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,9f30c97cb84b10bbba6978bc9c12c86478024050,1652987787,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,https://github.com/google/tink/blob/f0b06825896547054f6f0b04cbfda6269f57662b/README.md,https://github.com/google/tink/blob/9f30c97cb84b10bbba6978bc9c12c86478024050/java_src/src/test/java/com/google/crypto/tink/subtle/AesGcmJceTest.java#L343
JAVA,repo,README.md,6,6,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,9f30c97cb84b10bbba6978bc9c12c86478024050,1652987787,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,https://github.com/google/tink/blob/f0b06825896547054f6f0b04cbfda6269f57662b/README.md,https://github.com/google/tink/blob/9f30c97cb84b10bbba6978bc9c12c86478024050/examples/java_src/helloworld/src/main/java/com/helloworld/Commands.java#L63
KEY,repo,README.md,174,202,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,9f30c97cb84b10bbba6978bc9c12c86478024050,1652987787,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,https://github.com/google/tink/blob/f0b06825896547054f6f0b04cbfda6269f57662b/README.md,https://github.com/google/tink/blob/9f30c97cb84b10bbba6978bc9c12c86478024050/tools/testdata/credential.json#L5
KNOWN,repo,README.md,2,2,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,9f30c97cb84b10bbba6978bc9c12c86478024050,1652987787,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,https://github.com/google/tink/blob/f0b06825896547054f6f0b04cbfda6269f57662b/README.md,https://github.com/google/tink/blob/9f30c97cb84b10bbba6978bc9c12c86478024050/java_src/src/test/java/com/google/crypto/tink/subtle/AesGcmJceTest.java#L343
MANAGEMENT,repo,README.md,9,9,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,9f30c97cb84b10bbba6978bc9c12c86478024050,1652987787,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,https://github.com/google/tink/blob/f0b06825896547054f6f0b04cbfda6269f57662b/README.md,https://github.com/google/tink/blob/9f30c97cb84b10bbba6978bc9c12c86478024050/docs/PYTHON-HOWTO.md#L179
OBJC,repo,README.md,1,1,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,9f30c97cb84b10bbba6978bc9c12c86478024050,1652987787,f0b06825896547054f6f0b04cbfda6269f57662b,1642632528,https://github.com/google/tink/blob/f0b06825896547054f6f0b04cbfda6269f57662b/README.md,https://github.com/google/tink/blob/9f30c97cb84b10bbba6978bc9c12c86478024050/objc/README.md#L15
