code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,doc_link,source_link
13JdwG63Pv2Dv8dCmDQqkgw,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/fengdu78/deeplearning_ai_books/blob/fd02ad7730a0a1863983754d7d4876f2a5ef7110/README.md,https://github.com/fengdu78/deeplearning_ai_books/blob/7248b7d072fd51e46717005d9f716cf778c5df32/课程作业代码/README.md#L5
13taPOjUUppI8gexqmC2UcQ,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/fengdu78/deeplearning_ai_books/blob/fd02ad7730a0a1863983754d7d4876f2a5ef7110/README.md,https://github.com/fengdu78/deeplearning_ai_books/blob/3c4837de3d43cf4c60392f2b9904b91229656a20/课程作业代码/README.md#L5
1D,repo,README.md,.,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,https://github.com/fengdu78/deeplearning_ai_books/blob/fd02ad7730a0a1863983754d7d4876f2a5ef7110/README.md,"https://github.com/fengdu78/deeplearning_ai_books/blob/0aed57582bb9334f3e8cd40e5a38b821161e33ab/参考论文/files/791/Sermanet 等。 - 2013 - Overfeat Integrated recognition, localization and.pdf#L464"
1HaKe74v6vDRcsmZuxynQqA,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/fengdu78/deeplearning_ai_books/blob/fd02ad7730a0a1863983754d7d4876f2a5ef7110/README.md,https://github.com/fengdu78/deeplearning_ai_books/blob/9621f431c9d8732b0fb8619a8eca4d6a7a82b004/课程作业代码/README.md#L5
1VamLMyvslZ_Fzk062_fo2A,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/fengdu78/deeplearning_ai_books/blob/fd02ad7730a0a1863983754d7d4876f2a5ef7110/README.md,https://github.com/fengdu78/deeplearning_ai_books/blob/b59cef4d384e8a8da1a5a9162a503520a1f65686/课程作业代码/README.md#L5
1o78mQHs,repo,README.md,.,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/fengdu78/deeplearning_ai_books/blob/fd02ad7730a0a1863983754d7d4876f2a5ef7110/README.md,https://github.com/fengdu78/deeplearning_ai_books/blob/99f6af4972c99dd31db19eb94f2d4f3e934bee33/README.html#L222
3D,repo,README.md,.,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,2921,2921,2921,2905,2905,2906,2906,2906,2906,2906,2906,2906,2908,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,2907,https://github.com/fengdu78/deeplearning_ai_books/blob/fd02ad7730a0a1863983754d7d4876f2a5ef7110/README.md,https://github.com/fengdu78/deeplearning_ai_books/blob/0aed57582bb9334f3e8cd40e5a38b821161e33ab/参考论文/深度学习.rdf#L317
AI,repo,README.md,.,78,78,78,78,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,https://github.com/fengdu78/deeplearning_ai_books/blob/fd02ad7730a0a1863983754d7d4876f2a5ef7110/README.md,"https://github.com/fengdu78/deeplearning_ai_books/blob/0aed57582bb9334f3e8cd40e5a38b821161e33ab/参考论文/files/791/Sermanet 等。 - 2013 - Overfeat Integrated recognition, localization and.pdf#L1787"
AndrewNg,repo,README.md,.,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/fengdu78/deeplearning_ai_books/blob/fd02ad7730a0a1863983754d7d4876f2a5ef7110/README.md,https://github.com/fengdu78/deeplearning_ai_books/blob/0aed57582bb9334f3e8cd40e5a38b821161e33ab/markdown/README.md#L39
CNN,repo,README.md,.,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,61,61,61,61,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,https://github.com/fengdu78/deeplearning_ai_books/blob/fd02ad7730a0a1863983754d7d4876f2a5ef7110/README.md,https://github.com/fengdu78/deeplearning_ai_books/blob/0aed57582bb9334f3e8cd40e5a38b821161e33ab/参考论文/深度学习.rdf#L154
