code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
API,repo,README.md,2,2,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README.md,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README-Programmer-Edition.md#L179
GIF,repo,README.md,1,1,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README.md,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README-Programmer-Edition.md#L244
GitHub,repo,README.md,8,8,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README.md,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README-Programmer-Edition.md#L96
IT,repo,README.md,1,1,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README.md,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README-Programmer-Edition.md#L232
JSON,repo,README.md,1,1,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README.md,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README-Programmer-Edition.md#L166
Jezemy(广州),repo,README.md,1,1,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README.md,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README-Programmer-Edition.md#L106
LaTex,repo,README.md,1,1,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README.md,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README-Programmer-Edition.md#L62
Lin(深圳),repo,README.md,1,1,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README.md,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README-Programmer-Edition.md#L137
PC,repo,README.md,1,1,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README.md,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README-Programmer-Edition.md#L151
README,repo,README.md,4,4,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,737ce6389c9343a7d3088bf783deb7d8daf2e3e6,1655465816,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README.md,https://github.com/1c7/chinese-independent-developer/blob/737ce6389c9343a7d3088bf783deb7d8daf2e3e6/README-Programmer-Edition.md#L40
