code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
CodeHub,repo,README.md,893,893,d12e556021639528cd1388f57ceedfe1db3fb8d5,1547836247,7c7df03cdee9f60de64a33b551d0fbc2ac9979d6,1588732158,d12e556021639528cd1388f57ceedfe1db3fb8d5,1547836247,https://github.com/CodeHubApp/CodeHub/blob/d12e556021639528cd1388f57ceedfe1db3fb8d5/README.md,https://github.com/CodeHubApp/CodeHub/blob/7c7df03cdee9f60de64a33b551d0fbc2ac9979d6/PRIVATE-POLICY.md#L5
CodeHubApp,repo,README.md,5,5,d12e556021639528cd1388f57ceedfe1db3fb8d5,1547836247,7c7df03cdee9f60de64a33b551d0fbc2ac9979d6,1588732158,d12e556021639528cd1388f57ceedfe1db3fb8d5,1547836247,https://github.com/CodeHubApp/CodeHub/blob/d12e556021639528cd1388f57ceedfe1db3fb8d5/README.md,https://github.com/CodeHubApp/CodeHub/blob/7c7df03cdee9f60de64a33b551d0fbc2ac9979d6/CodeHub/WebViews/UpgradeDetailsWebView.cshtml#L239
GitHub,repo,README.md,57,57,d12e556021639528cd1388f57ceedfe1db3fb8d5,1547836247,7c7df03cdee9f60de64a33b551d0fbc2ac9979d6,1588732158,d12e556021639528cd1388f57ceedfe1db3fb8d5,1547836247,https://github.com/CodeHubApp/CodeHub/blob/d12e556021639528cd1388f57ceedfe1db3fb8d5/README.md,https://github.com/CodeHubApp/CodeHub/blob/7c7df03cdee9f60de64a33b551d0fbc2ac9979d6/PRIVATE-POLICY.md#L31
MvvmCross,repo,README.md,122,122,d12e556021639528cd1388f57ceedfe1db3fb8d5,1547836247,7c7df03cdee9f60de64a33b551d0fbc2ac9979d6,1588732158,d12e556021639528cd1388f57ceedfe1db3fb8d5,1547836247,https://github.com/CodeHubApp/CodeHub/blob/d12e556021639528cd1388f57ceedfe1db3fb8d5/README.md,https://github.com/CodeHubApp/CodeHub/blob/7c7df03cdee9f60de64a33b551d0fbc2ac9979d6/CodeHub.iOS/packages.config#L17
ReactiveUI,repo,README.md,84,84,d12e556021639528cd1388f57ceedfe1db3fb8d5,1547836247,7c7df03cdee9f60de64a33b551d0fbc2ac9979d6,1588732158,d12e556021639528cd1388f57ceedfe1db3fb8d5,1547836247,https://github.com/CodeHubApp/CodeHub/blob/d12e556021639528cd1388f57ceedfe1db3fb8d5/README.md,https://github.com/CodeHubApp/CodeHub/blob/7c7df03cdee9f60de64a33b551d0fbc2ac9979d6/CodeHub.iOS/Views/PullRequests/PullRequestView.cs#L15
iOS,repo,README.md,475,476,d12e556021639528cd1388f57ceedfe1db3fb8d5,1547836247,7c7df03cdee9f60de64a33b551d0fbc2ac9979d6,1588732158,d12e556021639528cd1388f57ceedfe1db3fb8d5,1547836247,https://github.com/CodeHubApp/CodeHub/blob/d12e556021639528cd1388f57ceedfe1db3fb8d5/README.md,https://github.com/CodeHubApp/CodeHub/blob/7c7df03cdee9f60de64a33b551d0fbc2ac9979d6/PRIVATE-POLICY.md#L21
iPhone,repo,README.md,62,62,d12e556021639528cd1388f57ceedfe1db3fb8d5,1547836247,7c7df03cdee9f60de64a33b551d0fbc2ac9979d6,1588732158,d12e556021639528cd1388f57ceedfe1db3fb8d5,1547836247,https://github.com/CodeHubApp/CodeHub/blob/d12e556021639528cd1388f57ceedfe1db3fb8d5/README.md,https://github.com/CodeHubApp/CodeHub/blob/7c7df03cdee9f60de64a33b551d0fbc2ac9979d6/CodeHub.iOS/CodeHub.iOS.csproj#L29
/gist/create,wiki,CodeHub-x-callback-url-API.md,0,1,34579ff58b85afff16a955a85420e9f471264d82,1395194607,7c7df03cdee9f60de64a33b551d0fbc2ac9979d6,1588732158,5b3228b152ef862b8b54d96ac02a8dcdf6b8c088,1394902465,https://github.com/CodeHubApp/CodeHub/wiki/CodeHub-x-callback-url-API/5b3228b152ef862b8b54d96ac02a8dcdf6b8c088,https://github.com/CodeHubApp/CodeHub/blob/7c7df03cdee9f60de64a33b551d0fbc2ac9979d6/CodeHub.iOS/XCallback/XCallbackProvider.cs#L18
CodeHub,wiki,CodeHub-x-callback-url-API.md,367,893,34579ff58b85afff16a955a85420e9f471264d82,1395194607,7c7df03cdee9f60de64a33b551d0fbc2ac9979d6,1588732158,5b3228b152ef862b8b54d96ac02a8dcdf6b8c088,1394902465,https://github.com/CodeHubApp/CodeHub/wiki/CodeHub-x-callback-url-API/5b3228b152ef862b8b54d96ac02a8dcdf6b8c088,https://github.com/CodeHubApp/CodeHub/blob/7c7df03cdee9f60de64a33b551d0fbc2ac9979d6/PRIVATE-POLICY.md#L5
URL,wiki,CodeHub-x-callback-url-API.md,3,6,34579ff58b85afff16a955a85420e9f471264d82,1395194607,7c7df03cdee9f60de64a33b551d0fbc2ac9979d6,1588732158,5b3228b152ef862b8b54d96ac02a8dcdf6b8c088,1394902465,https://github.com/CodeHubApp/CodeHub/wiki/CodeHub-x-callback-url-API/5b3228b152ef862b8b54d96ac02a8dcdf6b8c088,https://github.com/CodeHubApp/CodeHub/blob/7c7df03cdee9f60de64a33b551d0fbc2ac9979d6/CodeHub.iOS/WebResources/styles/kimbie.light.css#L5
