code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
20Programming,repo,README.md,1,1,7af508c6382ac9fece42a572300506ad6469de87,1651587184,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,7af508c6382ac9fece42a572300506ad6469de87,1651587184,https://github.com/EbookFoundation/free-programming-books/blob/7af508c6382ac9fece42a572300506ad6469de87/README.md,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/books/free-programming-books-pl.md#L62
2F,repo,README.md,3,3,7af508c6382ac9fece42a572300506ad6469de87,1651587184,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,7af508c6382ac9fece42a572300506ad6469de87,1651587184,https://github.com/EbookFoundation/free-programming-books/blob/7af508c6382ac9fece42a572300506ad6469de87/README.md,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/books/free-programming-books-zh.md#L333
BY,repo,README.md,5,5,7af508c6382ac9fece42a572300506ad6469de87,1651587184,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,7af508c6382ac9fece42a572300506ad6469de87,1651587184,https://github.com/EbookFoundation/free-programming-books/blob/7af508c6382ac9fece42a572300506ad6469de87/README.md,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/books/free-programming-books-subjects.md#L1
CC,repo,README.md,1,1,7af508c6382ac9fece42a572300506ad6469de87,1651587184,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,7af508c6382ac9fece42a572300506ad6469de87,1651587184,https://github.com/EbookFoundation/free-programming-books/blob/7af508c6382ac9fece42a572300506ad6469de87/README.md,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/books/free-programming-books-pt_PT.md#L24
CODE_OF_CONDUCT,repo,README.md,32,32,7af508c6382ac9fece42a572300506ad6469de87,1651587184,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,7af508c6382ac9fece42a572300506ad6469de87,1651587184,https://github.com/EbookFoundation/free-programming-books/blob/7af508c6382ac9fece42a572300506ad6469de87/README.md,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/docs/README.md#L27
CONTRIBUTING,repo,README.md,68,68,7af508c6382ac9fece42a572300506ad6469de87,1651587184,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,7af508c6382ac9fece42a572300506ad6469de87,1651587184,https://github.com/EbookFoundation/free-programming-books/blob/7af508c6382ac9fece42a572300506ad6469de87/README.md,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/docs/README.md#L17
EbookFoundation,repo,README.md,89,89,7af508c6382ac9fece42a572300506ad6469de87,1651587184,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,7af508c6382ac9fece42a572300506ad6469de87,1651587184,https://github.com/EbookFoundation/free-programming-books/blob/7af508c6382ac9fece42a572300506ad6469de87/README.md,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/docs/HOWTO.md#L26
GitHub,repo,README.md,230,230,7af508c6382ac9fece42a572300506ad6469de87,1651587184,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,7af508c6382ac9fece42a572300506ad6469de87,1651587184,https://github.com/EbookFoundation/free-programming-books/blob/7af508c6382ac9fece42a572300506ad6469de87/README.md,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/more/problem-sets-competitive-programming.md#L86
HOWTO,repo,README.md,33,33,7af508c6382ac9fece42a572300506ad6469de87,1651587184,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,7af508c6382ac9fece42a572300506ad6469de87,1651587184,https://github.com/EbookFoundation/free-programming-books/blob/7af508c6382ac9fece42a572300506ad6469de87/README.md,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/docs/README.md#L8
LICENSE,repo,README.md,22,22,7af508c6382ac9fece42a572300506ad6469de87,1651587184,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,7af508c6382ac9fece42a572300506ad6469de87,1651587184,https://github.com/EbookFoundation/free-programming-books/blob/7af508c6382ac9fece42a572300506ad6469de87/README.md,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/docs/CONTRIBUTING.md#L6
README,repo,README.md,123,123,7af508c6382ac9fece42a572300506ad6469de87,1651587184,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,7af508c6382ac9fece42a572300506ad6469de87,1651587184,https://github.com/EbookFoundation/free-programming-books/blob/7af508c6382ac9fece42a572300506ad6469de87/README.md,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/more/free-programming-interactive-tutorials-en.md#L107
StackOverflow,repo,README.md,68,69,7af508c6382ac9fece42a572300506ad6469de87,1651587184,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,7af508c6382ac9fece42a572300506ad6469de87,1651587184,https://github.com/EbookFoundation/free-programming-books/blob/7af508c6382ac9fece42a572300506ad6469de87/README.md,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/docs/CONTRIBUTING.md#L175
US,repo,README.md,6,6,7af508c6382ac9fece42a572300506ad6469de87,1651587184,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,7af508c6382ac9fece42a572300506ad6469de87,1651587184,https://github.com/EbookFoundation/free-programming-books/blob/7af508c6382ac9fece42a572300506ad6469de87/README.md,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/courses/free-courses-en.md#L486
CONTRIBUTING,wiki,Contribute-using-git's-Command-Line-User-Interface(CLI).md,2,68,79a98bc3c7d54be10170022478afbc6b0a1b42bd,1540501650,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,1540445933,https://github.com/EbookFoundation/free-programming-books/wiki/Contribute-using-git's-Command-Line-User-Interface(CLI)/8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/docs/README.md#L17
EbookFoundation,wiki,Contribute-using-git's-Command-Line-User-Interface(CLI).md,4,89,79a98bc3c7d54be10170022478afbc6b0a1b42bd,1540501650,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,1540445933,https://github.com/EbookFoundation/free-programming-books/wiki/Contribute-using-git's-Command-Line-User-Interface(CLI)/8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/docs/HOWTO.md#L26
GUI,wiki,Contribute-using-git's-Command-Line-User-Interface(CLI).md,4,10,79a98bc3c7d54be10170022478afbc6b0a1b42bd,1540501650,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,1540445933,https://github.com/EbookFoundation/free-programming-books/wiki/Contribute-using-git's-Command-Line-User-Interface(CLI)/8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/courses/free-courses-pl.md#L70
GitHub,wiki,Contribute-using-git's-Command-Line-User-Interface(CLI).md,11,230,79a98bc3c7d54be10170022478afbc6b0a1b42bd,1540501650,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,1540445933,https://github.com/EbookFoundation/free-programming-books/wiki/Contribute-using-git's-Command-Line-User-Interface(CLI)/8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/more/problem-sets-competitive-programming.md#L86
HEAD,wiki,Contribute-using-git's-Command-Line-User-Interface(CLI).md,0,2,79a98bc3c7d54be10170022478afbc6b0a1b42bd,1540501650,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,1540445933,https://github.com/EbookFoundation/free-programming-books/wiki/Contribute-using-git's-Command-Line-User-Interface(CLI)/8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/books/free-programming-books-th.md#L12
HTTPS,wiki,Contribute-using-git's-Command-Line-User-Interface(CLI).md,0,14,79a98bc3c7d54be10170022478afbc6b0a1b42bd,1540501650,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,1540445933,https://github.com/EbookFoundation/free-programming-books/wiki/Contribute-using-git's-Command-Line-User-Interface(CLI)/8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/docs/CONTRIBUTING.md#L166
SVN,wiki,Contribute-using-git's-Command-Line-User-Interface(CLI).md,1,2,79a98bc3c7d54be10170022478afbc6b0a1b42bd,1540501650,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,1540445933,https://github.com/EbookFoundation/free-programming-books/wiki/Contribute-using-git's-Command-Line-User-Interface(CLI)/8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/books/free-programming-books-pl.md#L38
URL,wiki,Contribute-using-git's-Command-Line-User-Interface(CLI).md,2,67,79a98bc3c7d54be10170022478afbc6b0a1b42bd,1540501650,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,1540445933,https://github.com/EbookFoundation/free-programming-books/wiki/Contribute-using-git's-Command-Line-User-Interface(CLI)/8a798b3e19509ec61b3678d5b7a9ceb17aa51a0d,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/docs/CONTRIBUTING.md#L45
PR,wiki,Creating-good-Pull-Requests.md,0,168,fb2cd2592e3cd44c9394c94950b9ae7ec81203d9,1396639017,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,25b1468b54ab9a65a91e9106438b52593bceb1c8,1396638103,https://github.com/EbookFoundation/free-programming-books/wiki/Creating-good-Pull-Requests/25b1468b54ab9a65a91e9106438b52593bceb1c8,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/docs/HOWTO.md#L11
CONTRIBUTING,wiki,Home.md,60,68,8c6ea701c134166479665163e24defdad4301480,1633045230,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,3c5d80ff8e3c7074f598ea075e3a927937343653,1633029820,https://github.com/EbookFoundation/free-programming-books/wiki/Home/3c5d80ff8e3c7074f598ea075e3a927937343653,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/docs/README.md#L17
EPUB,wiki,Home.md,67,125,8c6ea701c134166479665163e24defdad4301480,1633045230,a7558f56b8ffcd27571a8ff3fa4d6d11538a0755,1655569878,3c5d80ff8e3c7074f598ea075e3a927937343653,1633029820,https://github.com/EbookFoundation/free-programming-books/wiki/Home/3c5d80ff8e3c7074f598ea075e3a927937343653,https://github.com/EbookFoundation/free-programming-books/blob/a7558f56b8ffcd27571a8ff3fa4d6d11538a0755/docs/CONTRIBUTING.md#L122
