code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
.nvmrc,repo,README.md,9,9,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,https://github.com/Kong/insomnia/blob/3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e/README.md,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/scripts/check-version.js#L13
@insomnia,repo,README.md,3,3,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,https://github.com/Kong/insomnia/blob/3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e/README.md,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/CONTRIBUTING.md#L11
API,repo,README.md,184,185,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,https://github.com/Kong/insomnia/blob/3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e/README.md,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/plugins/insomnia-plugin-kong-portal/src/deploy-to-portal.tsx#L324
CLI,repo,README.md,48,48,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,https://github.com/Kong/insomnia/blob/3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e/README.md,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/packages/openapi-2-kong/src/kubernetes/fixtures/cloud-api.yaml#L232
CONTRIBUTING,repo,README.md,2,2,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,https://github.com/Kong/insomnia/blob/3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e/README.md,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/.github/config.yml#L8
ESLint,repo,README.md,1,1,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,https://github.com/Kong/insomnia/blob/3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e/README.md,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/packages/insomnia/bin/yarn-standalone.js#L95005
GitHub,repo,README.md,18,18,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,https://github.com/Kong/insomnia/blob/3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e/README.md,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/packages/insomnia/src/ui/redux/modules/global.tsx#L289
GraphQL,repo,README.md,24,31,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,https://github.com/Kong/insomnia/blob/3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e/README.md,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/packages/insomnia/src/ui/hooks/create-request.ts#L53
JSX,repo,README.md,11,11,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,https://github.com/Kong/insomnia/blob/3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e/README.md,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/plugins/insomnia-plugin-kong-portal/src/deploy-to-portal.tsx#L292
LICENSE,repo,README.md,40,40,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,https://github.com/Kong/insomnia/blob/3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e/README.md,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/scripts/changelog-image/fonts/LICENSE.txt#L10
MIT,repo,README.md,119,119,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,https://github.com/Kong/insomnia/blob/3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e/README.md,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/plugins/insomnia-plugin-uuid/package.json#L7
REST,repo,README.md,6,6,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,https://github.com/Kong/insomnia/blob/3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e/README.md,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/packages/insomnia/src/plugins/context/__tests__/data.test.ts#L220
gRPC,repo,README.md,29,35,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,https://github.com/Kong/insomnia/blob/3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e/README.md,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/packages/insomnia/src/ui/redux/sidebar-selectors.ts#L122
mailto:support,repo,README.md,3,3,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,https://github.com/Kong/insomnia/blob/3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e/README.md,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/CONTRIBUTING.md#L11
package.json,repo,README.md,130,130,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e,1653050188,https://github.com/Kong/insomnia/blob/3a8561f8d1b5a7ba24fa03a56b4d7972c327bd5e/README.md,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/scripts/check-version.js#L1
GitHub,wiki,Home.md,9,18,cdeb4debc6f6d3c9ba33dd61492ff5acd9c324e7,1644424534,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,874e8724e701e6759977fddeb49c601352afe1d9,1644411320,https://github.com/Kong/insomnia/wiki/Home/874e8724e701e6759977fddeb49c601352afe1d9,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/packages/insomnia/src/ui/redux/modules/global.tsx#L289
B-bug,wiki,Issue-Labeling.md,1,1,81e16a1c975dbb8111532631dce158950ebe1300,1617994609,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,712ad779bd0d44338e4cb7214026124c62a5d529,1617920668,https://github.com/Kong/insomnia/wiki/Issue-Labeling/712ad779bd0d44338e4cb7214026124c62a5d529,https://github.com/Kong/insomnia/blob/97e3e0c2d84b9c332bf772008513fe5353120ecd/.github/ISSUE_TEMPLATE/bug_report.yml#L3
C-feature-request,wiki,Issue-Labeling.md,1,0,81e16a1c975dbb8111532631dce158950ebe1300,1617994609,97e3e0c2d84b9c332bf772008513fe5353120ecd,1655545806,712ad779bd0d44338e4cb7214026124c62a5d529,1617920668,https://github.com/Kong/insomnia/wiki/Issue-Labeling/712ad779bd0d44338e4cb7214026124c62a5d529,https://github.com/Kong/insomnia/blob/81e16a1c975dbb8111532631dce158950ebe1300/.github/ISSUE_TEMPLATE/feature_request.md#L4
