code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
AWS,repo,README.md,5,5,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6,1650052876,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,https://github.com/LeCoupa/awesome-cheatsheets/blob/8dac93f94791c8c74f5c64b7f047781b62522c8a/README.md,https://github.com/LeCoupa/awesome-cheatsheets/blob/2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6/tools/aws.sh#L2
AngularJS,repo,README.md,23,23,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6,1650052876,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,https://github.com/LeCoupa/awesome-cheatsheets/blob/8dac93f94791c8c74f5c64b7f047781b62522c8a/README.md,https://github.com/LeCoupa/awesome-cheatsheets/blob/2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6/frontend/angularjs.js#L17
CLI,repo,README.md,23,23,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6,1650052876,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,https://github.com/LeCoupa/awesome-cheatsheets/blob/8dac93f94791c8c74f5c64b7f047781b62522c8a/README.md,https://github.com/LeCoupa/awesome-cheatsheets/blob/2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6/tools/nanobox_cli.sh#L2
DIRECTORY,repo,README.md,2,2,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6,1650052876,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,https://github.com/LeCoupa/awesome-cheatsheets/blob/8dac93f94791c8c74f5c64b7f047781b62522c8a/README.md,https://github.com/LeCoupa/awesome-cheatsheets/blob/2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6/tools/vim.txt#L395
JavaScript,repo,README.md,30,30,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6,1650052876,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,https://github.com/LeCoupa/awesome-cheatsheets/blob/8dac93f94791c8c74f5c64b7f047781b62522c8a/README.md,https://github.com/LeCoupa/awesome-cheatsheets/blob/2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6/tools/vscode.md#L51
LICENSE,repo,README.md,1,1,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6,1650052876,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,https://github.com/LeCoupa/awesome-cheatsheets/blob/8dac93f94791c8c74f5c64b7f047781b62522c8a/README.md,code_element is a file name
MIT,repo,README.md,1,1,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6,1650052876,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,https://github.com/LeCoupa/awesome-cheatsheets/blob/8dac93f94791c8c74f5c64b7f047781b62522c8a/README.md,https://github.com/LeCoupa/awesome-cheatsheets/blob/2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6/LICENSE#L1
MySQL,repo,README.md,13,13,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6,1650052876,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,https://github.com/LeCoupa/awesome-cheatsheets/blob/8dac93f94791c8c74f5c64b7f047781b62522c8a/README.md,https://github.com/LeCoupa/awesome-cheatsheets/blob/2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6/backend/laravel.php#L272
PHP,repo,README.md,22,22,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6,1650052876,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,https://github.com/LeCoupa/awesome-cheatsheets/blob/8dac93f94791c8c74f5c64b7f047781b62522c8a/README.md,https://github.com/LeCoupa/awesome-cheatsheets/blob/2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6/tools/vscode.md#L65
SQL,repo,README.md,14,14,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6,1650052876,8dac93f94791c8c74f5c64b7f047781b62522c8a,1645628932,https://github.com/LeCoupa/awesome-cheatsheets/blob/8dac93f94791c8c74f5c64b7f047781b62522c8a/README.md,https://github.com/LeCoupa/awesome-cheatsheets/blob/2137ac0559c2703a6b952fa1a0ff5cd55d32ccc6/tools/drush.sh#L28
