code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
$PATH,repo,README.md,9,8,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/py/selenium/webdriver/wpewebkit/webdriver.py#L41
--//common:pin_browsers,repo,README.md,2,2,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/scripts/dev-image/Dockerfile#L39
--test_size_filters,repo,README.md,2,2,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/CONTRIBUTING.md#L245
.bazelrc.local,repo,README.md,9,9,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/scripts/travis/install.sh#L30
.bazelversion,repo,README.md,1,1,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,code_element is a file name
@maven,repo,README.md,6,6,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/java/src/org/openqa/selenium/grid/BUILD.bazel#L170
API,repo,README.md,851,819,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/npapi/bindings/npruntime.h#L94
BUILD,repo,README.md,13,13,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/closure/goog/module/loader.js#L180
BUILD.bazel,repo,README.md,257,255,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/rb/lib/selenium/devtools/README.md#L3
CI,repo,README.md,49,49,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/dotnet/nunit-console-3.12.0/CHANGES.txt#L26
CONTRIBUTING,repo,README.md,3,3,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/CONTRIBUTING.md#L86
DISPLAY,repo,README.md,15,15,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/deploys/docker/selenium.sh#L15
HTML,repo,README.md,1156,1131,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/js/wgxpath/parser.js#L161
IDEA,repo,README.md,1,1,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/py/CHANGES#L420
IE,repo,README.md,2450,2451,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/js/wgxpath/userAgent.js#L41
IJ,repo,README.md,4,4,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/closure/goog/i18n/datetimesymbolsext.js#L2313
InternetExplorerDriver,repo,README.md,87,83,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/rb/lib/selenium/webdriver/ie/service.rb#L29
JDK,repo,README.md,8,8,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/closure/goog/i18n/datetimeparse.js#L38
JRE,repo,README.md,4,4,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/py/docs/source/index.rst#L129
JavaScript,repo,README.md,1403,1331,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/npapi/bindings/npruntime.h#L53
LICENSE,repo,README.md,4166,4108,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/webkit/glue/plugins/nphostapi.h#L3
MacOS,repo,README.md,55,54,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/cpp/civetweb/civetweb.c#L14241
NET,repo,README.md,552,552,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/dotnet/stylecop/StyleCop.Analyzers.1.0.2/tools/uninstall.ps1#L20
NPM,repo,README.md,6,6,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/closure/bin/README.md#L12
NodeJS,repo,README.md,1,1,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/closure/bin/README.md#L494
OpenJDK,repo,README.md,1,1,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/jruby/VERSION#L1
PATH,repo,README.md,105,105,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/cpp/civetweb/civetweb.c#L10782
SELENIUM_BROWSER,repo,README.md,34,34,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/javascript/node/selenium-webdriver/testing/index.js#L88
SeleniumHQ,repo,README.md,123,121,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/scripts/dev-image/Dockerfile#L38
UI,repo,README.md,249,245,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,9de853d91adeca219d8230fe73ca7e579f769999,1655634626,c50df5241d5a3c14d45f941fe6ceba134d503dd3,1653401750,https://github.com/SeleniumHQ/selenium/blob/c50df5241d5a3c14d45f941fe6ceba134d503dd3/README.md,https://github.com/SeleniumHQ/selenium/blob/9de853d91adeca219d8230fe73ca7e579f769999/third_party/js/mozmill/shared-modules/toolbars.js#L194
