code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
--tolerance,repo,README.md,12,12,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1,1654852338,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,https://github.com/ageitgey/face_recognition/blob/87a8449a359fbc0598e95b820e920ce285b8a9d9/README.md,https://github.com/ageitgey/face_recognition/blob/2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1/tests/test_face_recognition.py#L283
@ageitgey,repo,README.md,16,16,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1,1654852338,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,https://github.com/ageitgey/face_recognition/blob/87a8449a359fbc0598e95b820e920ce285b8a9d9/README.md,https://github.com/ageitgey/face_recognition/blob/2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1/README_Simplified_Chinese.md#L113
@masoudr,repo,README.md,4,4,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1,1654852338,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,https://github.com/ageitgey/face_recognition/blob/87a8449a359fbc0598e95b820e920ce285b8a9d9/README.md,https://github.com/ageitgey/face_recognition/blob/2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1/README_Simplified_Chinese.md#L132
@nulhom,repo,README.md,5,5,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1,1654852338,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,https://github.com/ageitgey/face_recognition/blob/87a8449a359fbc0598e95b820e920ce285b8a9d9/README.md,https://github.com/ageitgey/face_recognition/blob/2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1/README_Simplified_Chinese.md#L375
API,repo,README.md,7,7,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1,1654852338,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,https://github.com/ageitgey/face_recognition/blob/87a8449a359fbc0598e95b820e920ce285b8a9d9/README.md,https://github.com/ageitgey/face_recognition/blob/2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1/docs/usage.rst#L11
AWS,repo,README.md,8,8,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1,1654852338,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,https://github.com/ageitgey/face_recognition/blob/87a8449a359fbc0598e95b820e920ce285b8a9d9/README.md,https://github.com/ageitgey/face_recognition/blob/2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1/README_Simplified_Chinese.md#L363
CI,repo,README.md,1,1,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1,1654852338,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,https://github.com/ageitgey/face_recognition/blob/87a8449a359fbc0598e95b820e920ce285b8a9d9/README.md,https://github.com/ageitgey/face_recognition/blob/2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1/.github/workflows/main.yml#L1
CPU,repo,README.md,18,18,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1,1654852338,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,https://github.com/ageitgey/face_recognition/blob/87a8449a359fbc0598e95b820e920ce285b8a9d9/README.md,https://github.com/ageitgey/face_recognition/blob/2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1/face_recognition/face_recognition_cli.py#L98
CUDA,repo,README.md,13,13,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1,1654852338,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,https://github.com/ageitgey/face_recognition/blob/87a8449a359fbc0598e95b820e920ce285b8a9d9/README.md,https://github.com/ageitgey/face_recognition/blob/2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1/face_recognition/api.py#L99
GPU,repo,README.md,37,37,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1,1654852338,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,https://github.com/ageitgey/face_recognition/blob/87a8449a359fbc0598e95b820e920ce285b8a9d9/README.md,https://github.com/ageitgey/face_recognition/blob/2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1/face_recognition/api.py#L99
HTTP,repo,README.md,4,4,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1,1654852338,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,https://github.com/ageitgey/face_recognition/blob/87a8449a359fbc0598e95b820e920ce285b8a9d9/README.md,https://github.com/ageitgey/face_recognition/blob/2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1/README_Simplified_Chinese.md#L338
NVIDIA,repo,README.md,3,3,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1,1654852338,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,https://github.com/ageitgey/face_recognition/blob/87a8449a359fbc0598e95b820e920ce285b8a9d9/README.md,https://github.com/ageitgey/face_recognition/blob/2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1/README_Korean.md#L342
OpenCV,repo,README.md,40,40,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1,1654852338,87a8449a359fbc0598e95b820e920ce285b8a9d9,1623665440,https://github.com/ageitgey/face_recognition/blob/87a8449a359fbc0598e95b820e920ce285b8a9d9/README.md,https://github.com/ageitgey/face_recognition/blob/2e2dccea9dd0ce730c8d464d0f67c6eebb40c9d1/examples/ipynb_examples/track_faces_on_video_realtime.ipynb#L9
