code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
.zip,repo,README.md,2,2,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/README.md,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/script/vsts/upload-artifacts.js#L41
20Branches,repo,README.md,2,2,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/README.md,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/docs/build-instructions/build-status.md#L7
20Production,repo,README.md,2,2,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/README.md,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/docs/build-instructions/build-status.md#L7
API,repo,README.md,62,62,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/README.md,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/vendor/jasmine.js#L1077
CODE_OF_CONDUCT,repo,README.md,1,1,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/README.md,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/CONTRIBUTING.md#L35
GitHub,repo,README.md,73,73,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/README.md,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/src/crash-reporter-start.js#L12
LICENSE,repo,README.md,17,17,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/README.md,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/src/workspace.js#L1304
MIT,repo,README.md,56,56,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/README.md,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/static/normalize.less#L1
atom,repo,README.md,6783,6783,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/README.md,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/stylelint.config.js#L5
atom-amd64.tar.gz,repo,README.md,1,1,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/README.md,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/script/vsts/platforms/linux.yml#L32
branchName,repo,README.md,2,2,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/README.md,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/docs/build-instructions/build-status.md#L8
definitionId,repo,README.md,3,3,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/README.md,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/script/vsts/README.md#L16
macOS,repo,README.md,56,56,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,cf5e379eb974c399457fda436d2aef7d39268d51,1654700545,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/README.md,https://github.com/atom/atom/blob/cf5e379eb974c399457fda436d2aef7d39268d51/src/workspace.js#L739
