code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
@daniel,repo,README.md,1,1,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/README.md,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/training/web-dev/README.md#L136
API,repo,README.md,3,3,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/README.md,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/training/front-end/06-front-end-development-practices.md#L73
CAP,repo,README.md,1,1,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/README.md,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/training/web-dev/README.md#L216
CS,repo,README.md,1,1,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/README.md,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/training/web-dev/README.md#L280
CSS,repo,README.md,14,14,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/README.md,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/training/front-end/README.md#L30
DDD,repo,README.md,1,1,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/README.md,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/training/web-dev/README.md#L145
DON,repo,README.md,19,19,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/README.md,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/training/web-dev/README.md#L2
DRY,repo,README.md,1,1,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/README.md,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/antipatterns/code-antipatterns.md#L158
EDIT,repo,README.md,19,19,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/README.md,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/training/web-dev/README.md#L2
END,repo,README.md,19,19,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,a37cfa5b602d91c90cd8fe5e2e1c09f842300394,1654366372,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/README.md,https://github.com/charlax/professional-programming/blob/a37cfa5b602d91c90cd8fe5e2e1c09f842300394/training/web-dev/README.md#L25
