code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
ASP.NET,repo,README.md,8,8,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/nginx-aspnet-mysql/README.md#L2
Angular,repo,README.md,21,21,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/angular/angular/src/test.ts#L17
CONTRIBUTING,repo,README.md,1,1,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/aspnet-mssql/app/aspnetapp/wwwroot/lib/bootstrap/.bower.json#L26
Django,repo,README.md,6,6,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/django/app/requirements.txt#L1
Flask,repo,README.md,25,25,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/nginx-wsgi-flask/flask/requirements.txt#L1
MS,repo,README.md,11,11,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/react-rust-postgres/frontend/package-lock.json#L3319
MariaDB,repo,README.md,8,8,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/wordpress-mysql/README.md#L33
MongoDB,repo,README.md,7,7,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/react-express-mongodb/backend/db/index.js#L15
MySQL,repo,README.md,39,39,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/wordpress-mysql/compose.yaml#L5
NGINX,repo,README.md,12,12,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/nginx-wsgi-flask/nginx/nginx.conf#L32
PHP,repo,README.md,1,1,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/apache-php/README.md#L2
Plex,repo,README.md,2,2,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/plex/README.md#L1
Portainer,repo,README.md,2,2,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/portainer/README.md#L1
PostgreSQL,repo,README.md,4,4,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/postgresql-pgadmin/README.md#L1
README.md,repo,README.md,77,77,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/wordpress-mysql/README.md#L9
SQL,repo,README.md,8,8,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/nginx-aspnet-mysql/backend/.gitignore#L254
Spark,repo,README.md,4,4,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/sparkjava/sparkjava/src/main/java/App.java#L1
Traefik,repo,README.md,2,2,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/traefik-golang/compose.yaml#L9
VueJS,repo,README.md,1,1,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,ecef5caea709bc4783c7334131132f6e00607526,1652732341,667bd9facba316a64c0697dc55fa097f973c07b0,1652176765,https://github.com/docker/awesome-compose/blob/667bd9facba316a64c0697dc55fa097f973c07b0/README.md,https://github.com/docker/awesome-compose/blob/ecef5caea709bc4783c7334131132f6e00607526/vuejs/README.md#L2
