code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
20I,repo,README.md,1,1,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,5b3c00d462c6e9200315afe46d0093948621eb95,1549882305,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,https://github.com/donnemartin/data-science-ipython-notebooks/blob/fdd2cf59ec589f952718e63ff96c04effffb3144/README.md,https://github.com/donnemartin/data-science-ipython-notebooks/blob/5b3c00d462c6e9200315afe46d0093948621eb95/deep-learning/tensor-flow-examples/notebooks/5_ui/graph_visualization.ipynb#L165
2D,repo,README.md,9,9,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,5b3c00d462c6e9200315afe46d0093948621eb95,1549882305,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,https://github.com/donnemartin/data-science-ipython-notebooks/blob/fdd2cf59ec589f952718e63ff96c04effffb3144/README.md,https://github.com/donnemartin/data-science-ipython-notebooks/blob/5b3c00d462c6e9200315afe46d0093948621eb95/scikit-learn/scikit-learn-svm.ipynb#L137
ANN,repo,README.md,19,19,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,5b3c00d462c6e9200315afe46d0093948621eb95,1549882305,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,https://github.com/donnemartin/data-science-ipython-notebooks/blob/fdd2cf59ec589f952718e63ff96c04effffb3144/README.md,https://github.com/donnemartin/data-science-ipython-notebooks/blob/5b3c00d462c6e9200315afe46d0093948621eb95/deep-learning/keras-tutorial/solutions/sol_112.py#L1
ANY,repo,README.md,13,13,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,5b3c00d462c6e9200315afe46d0093948621eb95,1549882305,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,https://github.com/donnemartin/data-science-ipython-notebooks/blob/fdd2cf59ec589f952718e63ff96c04effffb3144/README.md,https://github.com/donnemartin/data-science-ipython-notebooks/blob/5b3c00d462c6e9200315afe46d0093948621eb95/scipy/2002FemPreg.dct#L54
AS,repo,README.md,7,7,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,5b3c00d462c6e9200315afe46d0093948621eb95,1549882305,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,https://github.com/donnemartin/data-science-ipython-notebooks/blob/fdd2cf59ec589f952718e63ff96c04effffb3144/README.md,https://github.com/donnemartin/data-science-ipython-notebooks/blob/5b3c00d462c6e9200315afe46d0093948621eb95/pandas/03.11-Working-with-Time-Series.ipynb#L900
AWS,repo,README.md,12,12,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,5b3c00d462c6e9200315afe46d0093948621eb95,1549882305,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,https://github.com/donnemartin/data-science-ipython-notebooks/blob/fdd2cf59ec589f952718e63ff96c04effffb3144/README.md,https://github.com/donnemartin/data-science-ipython-notebooks/blob/5b3c00d462c6e9200315afe46d0093948621eb95/mapreduce/mapreduce-python.ipynb#L14
AlexNet,repo,README.md,2,2,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,5b3c00d462c6e9200315afe46d0093948621eb95,1549882305,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,https://github.com/donnemartin/data-science-ipython-notebooks/blob/fdd2cf59ec589f952718e63ff96c04effffb3144/README.md,https://github.com/donnemartin/data-science-ipython-notebooks/blob/5b3c00d462c6e9200315afe46d0093948621eb95/deep-learning/tensor-flow-examples/notebooks/3_neural_networks/alexnet.ipynb#L7
AllenDowney,repo,README.md,3,3,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,5b3c00d462c6e9200315afe46d0093948621eb95,1549882305,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,https://github.com/donnemartin/data-science-ipython-notebooks/blob/fdd2cf59ec589f952718e63ff96c04effffb3144/README.md,https://github.com/donnemartin/data-science-ipython-notebooks/blob/5b3c00d462c6e9200315afe46d0093948621eb95/scipy/sampling.ipynb#L10
BASIS,repo,README.md,1,1,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,5b3c00d462c6e9200315afe46d0093948621eb95,1549882305,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,https://github.com/donnemartin/data-science-ipython-notebooks/blob/fdd2cf59ec589f952718e63ff96c04effffb3144/README.md,https://github.com/donnemartin/data-science-ipython-notebooks/blob/5b3c00d462c6e9200315afe46d0093948621eb95/LICENSE#L20
BRFSS,repo,README.md,3,3,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,5b3c00d462c6e9200315afe46d0093948621eb95,1549882305,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,https://github.com/donnemartin/data-science-ipython-notebooks/blob/fdd2cf59ec589f952718e63ff96c04effffb3144/README.md,https://github.com/donnemartin/data-science-ipython-notebooks/blob/5b3c00d462c6e9200315afe46d0093948621eb95/scipy/sampling.ipynb#L59
CLI,repo,README.md,2,2,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,5b3c00d462c6e9200315afe46d0093948621eb95,1549882305,fdd2cf59ec589f952718e63ff96c04effffb3144,1521936397,https://github.com/donnemartin/data-science-ipython-notebooks/blob/fdd2cf59ec589f952718e63ff96c04effffb3144/README.md,https://github.com/donnemartin/data-science-ipython-notebooks/blob/5b3c00d462c6e9200315afe46d0093948621eb95/commands/misc.ipynb#L409
