code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
5Bsecurity,repo,README.md,2,2,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,1dab8314aa2822b864e44e44fc85c6b39c33666e,1655673308,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,https://github.com/elixir-lang/elixir/blob/25b2811d9d00e19cf3770d83424ea9b5defd9cdd/README.md,https://github.com/elixir-lang/elixir/blob/1dab8314aa2822b864e44e44fc85c6b39c33666e/lib/elixir/pages/compatibility-and-deprecations.md#L18
5D,repo,README.md,5,5,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,1dab8314aa2822b864e44e44fc85c6b39c33666e,1655673308,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,https://github.com/elixir-lang/elixir/blob/25b2811d9d00e19cf3770d83424ea9b5defd9cdd/README.md,https://github.com/elixir-lang/elixir/blob/1dab8314aa2822b864e44e44fc85c6b39c33666e/lib/elixir/test/elixir/uri_test.exs#L30
7Csort:date,repo,README.md,2,2,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,1dab8314aa2822b864e44e44fc85c6b39c33666e,1655673308,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,https://github.com/elixir-lang/elixir/blob/25b2811d9d00e19cf3770d83424ea9b5defd9cdd/README.md,https://github.com/elixir-lang/elixir/blob/1dab8314aa2822b864e44e44fc85c6b39c33666e/lib/elixir/pages/compatibility-and-deprecations.md#L18
APPLICATION,repo,README.md,3,3,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,1dab8314aa2822b864e44e44fc85c6b39c33666e,1655673308,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,https://github.com/elixir-lang/elixir/blob/25b2811d9d00e19cf3770d83424ea9b5defd9cdd/README.md,https://github.com/elixir-lang/elixir/blob/1dab8314aa2822b864e44e44fc85c6b39c33666e/lib/elixir/unicode/UnicodeData.txt#L160
CHANGELOG,repo,README.md,23,23,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,1dab8314aa2822b864e44e44fc85c6b39c33666e,1655673308,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,https://github.com/elixir-lang/elixir/blob/25b2811d9d00e19cf3770d83424ea9b5defd9cdd/README.md,https://github.com/elixir-lang/elixir/blob/1dab8314aa2822b864e44e44fc85c6b39c33666e/lib/elixir/pages/compatibility-and-deprecations.md#L70
CI,repo,README.md,22,22,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,1dab8314aa2822b864e44e44fc85c6b39c33666e,1655673308,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,https://github.com/elixir-lang/elixir/blob/25b2811d9d00e19cf3770d83424ea9b5defd9cdd/README.md,https://github.com/elixir-lang/elixir/blob/1dab8314aa2822b864e44e44fc85c6b39c33666e/lib/mix/lib/mix/tasks/release.ex#L330
DOCS_FORMAT,repo,README.md,2,2,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,1dab8314aa2822b864e44e44fc85c6b39c33666e,1655673308,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,https://github.com/elixir-lang/elixir/blob/25b2811d9d00e19cf3770d83424ea9b5defd9cdd/README.md,https://github.com/elixir-lang/elixir/blob/1dab8314aa2822b864e44e44fc85c6b39c33666e/Makefile#L7
EPUB,repo,README.md,1,1,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,1dab8314aa2822b864e44e44fc85c6b39c33666e,1655673308,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,https://github.com/elixir-lang/elixir/blob/25b2811d9d00e19cf3770d83424ea9b5defd9cdd/README.md,https://github.com/elixir-lang/elixir/blob/1dab8314aa2822b864e44e44fc85c6b39c33666e/lib/elixir/pages/library-guidelines.md#L33
ExDoc,repo,README.md,12,12,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,1dab8314aa2822b864e44e44fc85c6b39c33666e,1655673308,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,https://github.com/elixir-lang/elixir/blob/25b2811d9d00e19cf3770d83424ea9b5defd9cdd/README.md,https://github.com/elixir-lang/elixir/blob/1dab8314aa2822b864e44e44fc85c6b39c33666e/lib/mix/lib/mix/tasks/new.ex#L277
ExUnit,repo,README.md,1251,1274,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,1dab8314aa2822b864e44e44fc85c6b39c33666e,1655673308,25b2811d9d00e19cf3770d83424ea9b5defd9cdd,1652373794,https://github.com/elixir-lang/elixir/blob/25b2811d9d00e19cf3770d83424ea9b5defd9cdd/README.md,https://github.com/elixir-lang/elixir/blob/1dab8314aa2822b864e44e44fc85c6b39c33666e/lib/mix/test/test_helper.exs#L12
