code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
API,repo,README.md,21,21,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,e240208ae91fa4a724130e7f06e19c08b5d81218,1654234408,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,https://github.com/facebook/flux/blob/f0c41931a4e206ea74cd706a9223a3e37fbb05bb/README.md,https://github.com/facebook/flux/blob/e240208ae91fa4a724130e7f06e19c08b5d81218/examples/flux-todomvc/README.md#L215
BSD,repo,README.md,87,87,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,e240208ae91fa4a724130e7f06e19c08b5d81218,1654234408,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,https://github.com/facebook/flux/blob/f0c41931a4e206ea74cd706a9223a3e37fbb05bb/README.md,https://github.com/facebook/flux/blob/e240208ae91fa4a724130e7f06e19c08b5d81218/utils.js#L5
CONTRIBUTING,repo,README.md,2,2,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,e240208ae91fa4a724130e7f06e19c08b5d81218,1654234408,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,https://github.com/facebook/flux/blob/f0c41931a4e206ea74cd706a9223a3e37fbb05bb/README.md,https://github.com/facebook/flux/blob/e240208ae91fa4a724130e7f06e19c08b5d81218/bower.json#L35
CounterStore,repo,README.md,5,5,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,e240208ae91fa4a724130e7f06e19c08b5d81218,1654234408,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,https://github.com/facebook/flux/blob/f0c41931a4e206ea74cd706a9223a3e37fbb05bb/README.md,https://github.com/facebook/flux/blob/e240208ae91fa4a724130e7f06e19c08b5d81218/src/stores/FluxReduceStore.js#L25
Dispatcher,repo,README.md,106,106,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,e240208ae91fa4a724130e7f06e19c08b5d81218,1654234408,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,https://github.com/facebook/flux/blob/f0c41931a4e206ea74cd706a9223a3e37fbb05bb/README.md,https://github.com/facebook/flux/blob/e240208ae91fa4a724130e7f06e19c08b5d81218/src/stores/__tests__/FluxStore-test.js#L14
EventEmitter,repo,README.md,15,15,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,e240208ae91fa4a724130e7f06e19c08b5d81218,1654234408,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,https://github.com/facebook/flux/blob/f0c41931a4e206ea74cd706a9223a3e37fbb05bb/README.md,https://github.com/facebook/flux/blob/e240208ae91fa4a724130e7f06e19c08b5d81218/src/stores/__tests__/FluxStore-test.js#L15
LICENSE,repo,README.md,107,109,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,e240208ae91fa4a724130e7f06e19c08b5d81218,1654234408,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,https://github.com/facebook/flux/blob/f0c41931a4e206ea74cd706a9223a3e37fbb05bb/README.md,https://github.com/facebook/flux/blob/e240208ae91fa4a724130e7f06e19c08b5d81218/website/src/pages/support.js#L5
ReduceStore,repo,README.md,34,34,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,e240208ae91fa4a724130e7f06e19c08b5d81218,1654234408,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,https://github.com/facebook/flux/blob/f0c41931a4e206ea74cd706a9223a3e37fbb05bb/README.md,https://github.com/facebook/flux/blob/e240208ae91fa4a724130e7f06e19c08b5d81218/utils.js#L12
Stores,repo,README.md,12,12,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,e240208ae91fa4a724130e7f06e19c08b5d81218,1654234408,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,https://github.com/facebook/flux/blob/f0c41931a4e206ea74cd706a9223a3e37fbb05bb/README.md,https://github.com/facebook/flux/blob/e240208ae91fa4a724130e7f06e19c08b5d81218/examples/flux-concepts/README.md#L28
Views,repo,README.md,10,10,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,e240208ae91fa4a724130e7f06e19c08b5d81218,1654234408,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,https://github.com/facebook/flux/blob/f0c41931a4e206ea74cd706a9223a3e37fbb05bb/README.md,https://github.com/facebook/flux/blob/e240208ae91fa4a724130e7f06e19c08b5d81218/examples/flux-concepts/README.md#L53
flux,repo,README.md,148,148,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,e240208ae91fa4a724130e7f06e19c08b5d81218,1654234408,f0c41931a4e206ea74cd706a9223a3e37fbb05bb,1654233201,https://github.com/facebook/flux/blob/f0c41931a4e206ea74cd706a9223a3e37fbb05bb/README.md,https://github.com/facebook/flux/blob/e240208ae91fa4a724130e7f06e19c08b5d81218/website/yarn.lock#L4233
