code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
.data(),repo,README.md,3,3,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,a26e174b367a60a51f0be83a81d6d066330cdd8f,1655594641,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,https://github.com/gabime/spdlog/blob/3f49f0f247067830d744b82381ddc41dac9711a1/README.md,https://github.com/gabime/spdlog/blob/a26e174b367a60a51f0be83a81d6d066330cdd8f/tests/test_pattern_formatter.cpp#L346
.size(),repo,README.md,16,16,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,a26e174b367a60a51f0be83a81d6d066330cdd8f,1655594641,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,https://github.com/gabime/spdlog/blob/3f49f0f247067830d744b82381ddc41dac9711a1/README.md,https://github.com/gabime/spdlog/blob/a26e174b367a60a51f0be83a81d6d066330cdd8f/tests/test_pattern_formatter.cpp#L346
AIX,repo,README.md,1,1,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,a26e174b367a60a51f0be83a81d6d066330cdd8f,1655594641,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,https://github.com/gabime/spdlog/blob/3f49f0f247067830d744b82381ddc41dac9711a1/README.md,https://github.com/gabime/spdlog/blob/a26e174b367a60a51f0be83a81d6d066330cdd8f/include/spdlog/details/os-inl.h#L233
ASCII,repo,README.md,4,5,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,a26e174b367a60a51f0be83a81d6d066330cdd8f,1655594641,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,https://github.com/gabime/spdlog/blob/3f49f0f247067830d744b82381ddc41dac9711a1/README.md,https://github.com/gabime/spdlog/blob/a26e174b367a60a51f0be83a81d6d066330cdd8f/tests/catch.hpp#L15535
CMakeLists,repo,README.md,2,2,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,a26e174b367a60a51f0be83a81d6d066330cdd8f,1655594641,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,https://github.com/gabime/spdlog/blob/3f49f0f247067830d744b82381ddc41dac9711a1/README.md,https://github.com/gabime/spdlog/blob/a26e174b367a60a51f0be83a81d6d066330cdd8f/scripts/format.sh#L12
FILE,repo,README.md,53,53,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,a26e174b367a60a51f0be83a81d6d066330cdd8f,1655594641,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,https://github.com/gabime/spdlog/blob/3f49f0f247067830d744b82381ddc41dac9711a1/README.md,https://github.com/gabime/spdlog/blob/a26e174b367a60a51f0be83a81d6d066330cdd8f/tests/test_file_helper.cpp#L122
KB,repo,README.md,1,1,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,a26e174b367a60a51f0be83a81d6d066330cdd8f,1655594641,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,https://github.com/gabime/spdlog/blob/3f49f0f247067830d744b82381ddc41dac9711a1/README.md,https://github.com/gabime/spdlog/blob/a26e174b367a60a51f0be83a81d6d066330cdd8f/bench/async_bench.cpp#L111
OpenBSD,repo,README.md,1,1,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,a26e174b367a60a51f0be83a81d6d066330cdd8f,1655594641,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,https://github.com/gabime/spdlog/blob/3f49f0f247067830d744b82381ddc41dac9711a1/README.md,https://github.com/gabime/spdlog/blob/a26e174b367a60a51f0be83a81d6d066330cdd8f/include/spdlog/details/os-inl.h#L233
SPDLOG_ACTIVE_LEVEL,repo,README.md,14,14,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,a26e174b367a60a51f0be83a81d6d066330cdd8f,1655594641,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,https://github.com/gabime/spdlog/blob/3f49f0f247067830d744b82381ddc41dac9711a1/README.md,https://github.com/gabime/spdlog/blob/a26e174b367a60a51f0be83a81d6d066330cdd8f/tests/test_macros.cpp#L7
SPDLOG_LEVEL,repo,README.md,26,26,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,a26e174b367a60a51f0be83a81d6d066330cdd8f,1655594641,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,https://github.com/gabime/spdlog/blob/3f49f0f247067830d744b82381ddc41dac9711a1/README.md,https://github.com/gabime/spdlog/blob/a26e174b367a60a51f0be83a81d6d066330cdd8f/tests/test_cfg.cpp#L17
add_flag,repo,README.md,9,10,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,a26e174b367a60a51f0be83a81d6d066330cdd8f,1655594641,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,https://github.com/gabime/spdlog/blob/3f49f0f247067830d744b82381ddc41dac9711a1/README.md,https://github.com/gabime/spdlog/blob/a26e174b367a60a51f0be83a81d6d066330cdd8f/tests/test_pattern_formatter.cpp#L364
android_example(),repo,README.md,1,1,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,a26e174b367a60a51f0be83a81d6d066330cdd8f,1655594641,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,https://github.com/gabime/spdlog/blob/3f49f0f247067830d744b82381ddc41dac9711a1/README.md,https://github.com/gabime/spdlog/blob/a26e174b367a60a51f0be83a81d6d066330cdd8f/example/example.cpp#L309
android_logger,repo,README.md,2,2,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,a26e174b367a60a51f0be83a81d6d066330cdd8f,1655594641,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,https://github.com/gabime/spdlog/blob/3f49f0f247067830d744b82381ddc41dac9711a1/README.md,https://github.com/gabime/spdlog/blob/a26e174b367a60a51f0be83a81d6d066330cdd8f/example/example.cpp#L312
"android_logger_mt(""android"", tag)",repo,README.md,1,1,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,a26e174b367a60a51f0be83a81d6d066330cdd8f,1655594641,3f49f0f247067830d744b82381ddc41dac9711a1,1639296094,https://github.com/gabime/spdlog/blob/3f49f0f247067830d744b82381ddc41dac9711a1/README.md,https://github.com/gabime/spdlog/blob/a26e174b367a60a51f0be83a81d6d066330cdd8f/example/example.cpp#L312
