code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
API,repo,README.md,79,79,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/tests/handlers/test_users.py#L525
AWS,repo,README.md,15,15,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/settings/__init__.py#L177
BSD,repo,README.md,3,3,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/viz-lib/package.json#L27
BigQuery,repo,README.md,31,31,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/settings/__init__.py#L493
CSV,repo,README.md,17,17,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/utils/__init__.py#L140
ClickHouse,repo,README.md,6,6,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/query_runner/clickhouse.py#L13
CockroachDB,repo,README.md,4,4,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/query_runner/pg.py#L547
DynamoDB,repo,README.md,7,7,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/query_runner/dynamodb_sql.py#L62
GCE,repo,README.md,2,2,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/query_runner/big_query_gce.py#L27
IBM,repo,README.md,2,2,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/CHANGELOG.md#L519
InfluxDB,repo,README.md,4,4,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/query_runner/influx_db.py#L50
JIRA,repo,README.md,6,6,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/query_runner/jql.py#L152
JSON,repo,README.md,55,56,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/viz-lib/src/visualizations/table/utils.tsx#L71
MemSQL,repo,README.md,3,3,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/query_runner/memsql_ds.py#L40
MongoDB,repo,README.md,25,25,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/tests/query_runner/test_mongodb.py#L9
MySQL,repo,README.md,17,17,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/query_runner/mysql.py#L98
PGP,repo,README.md,2,2,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/SECURITY.md#L5
PostgreSQL,repo,README.md,34,34,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/tests/tasks/test_queries.py#L12
SQL,repo,README.md,45,45,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/query_runner/mssql_odbc.py#L66
SQLite,repo,README.md,1,1,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/CHANGELOG.md#L1210
ScyllaDB,repo,README.md,3,3,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/query_runner/cass.py#L192
TreasureData,repo,README.md,10,10,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/query_runner/treasuredata.py#L37
UI,repo,README.md,30,31,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/viz-lib/src/visualizations/variables.less#L14
URL,repo,README.md,68,69,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,3d032b69e59bc449e4f6da43b380f329072cc897,1637161137,https://github.com/getredash/redash/blob/3d032b69e59bc449e4f6da43b380f329072cc897/README.md,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/viz-lib/src/visualizations/table/columns/link.tsx#L26
-c,wiki,Celery.md,0,16,b0cc646b5e50594d23156eec3e2fa116335736b1,1400410782,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,925a3cd7cda0bebb435821f9f4559c3ae075cc78,1400398196,https://github.com/getredash/redash/wiki/Celery/925a3cd7cda0bebb435821f9f4559c3ae075cc78,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/docker-compose.yml#L60
CLI,wiki,Celery.md,2,13,b0cc646b5e50594d23156eec3e2fa116335736b1,1400410782,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,925a3cd7cda0bebb435821f9f4559c3ae075cc78,1400398196,https://github.com/getredash/redash/wiki/Celery/925a3cd7cda0bebb435821f9f4559c3ae075cc78,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/manage.py#L3
queries,wiki,Celery.md,63,621,b0cc646b5e50594d23156eec3e2fa116335736b1,1400410782,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,925a3cd7cda0bebb435821f9f4559c3ae075cc78,1400398196,https://github.com/getredash/redash/wiki/Celery/925a3cd7cda0bebb435821f9f4559c3ae075cc78,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/tests/test_models.py#L185
scheduled_queries,wiki,Celery.md,0,2,b0cc646b5e50594d23156eec3e2fa116335736b1,1400410782,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,925a3cd7cda0bebb435821f9f4559c3ae075cc78,1400398196,https://github.com/getredash/redash/wiki/Celery/925a3cd7cda0bebb435821f9f4559c3ae075cc78,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/worker.py#L21
SQL,wiki,Terminology.md,1,45,e554c9bdd7a0df874d8961a11d2da07f3fba472e,1391526100,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,0288f4d9c4ef843736b1e1a258458651f3167eea,1391335281,https://github.com/getredash/redash/wiki/Terminology/0288f4d9c4ef843736b1e1a258458651f3167eea,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/query_runner/mssql_odbc.py#L66
UI,wiki,Terminology.md,1,31,e554c9bdd7a0df874d8961a11d2da07f3fba472e,1391526100,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,0288f4d9c4ef843736b1e1a258458651f3167eea,1391335281,https://github.com/getredash/redash/wiki/Terminology/0288f4d9c4ef843736b1e1a258458651f3167eea,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/viz-lib/src/visualizations/variables.less#L14
BY,wiki,Tips-And-Tricks.md,16,5,ef868dbb6e96a5590a4fd9e7b3dd2b15698af500,1421079461,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,5470b34a2f5b1d48a282b3d8a8d73d840c365ced,1420096948,https://github.com/getredash/redash/wiki/Tips-And-Tricks/5470b34a2f5b1d48a282b3d8a8d73d840c365ced,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/viz-lib/src/visualizations/choropleth/maps/countries.geo.json#L1
FROM,wiki,Tips-And-Tricks.md,15,97,ef868dbb6e96a5590a4fd9e7b3dd2b15698af500,1421079461,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,5470b34a2f5b1d48a282b3d8a8d73d840c365ced,1420096948,https://github.com/getredash/redash/wiki/Tips-And-Tricks/5470b34a2f5b1d48a282b3d8a8d73d840c365ced,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/tests/query_runner/test_query_results.py#L28
GROUP,wiki,Tips-And-Tricks.md,0,3,ef868dbb6e96a5590a4fd9e7b3dd2b15698af500,1421079461,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,5470b34a2f5b1d48a282b3d8a8d73d840c365ced,1420096948,https://github.com/getredash/redash/wiki/Tips-And-Tricks/5470b34a2f5b1d48a282b3d8a8d73d840c365ced,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/redash/version_check.py#L49
SELECT,wiki,Tips-And-Tricks.md,32,358,ef868dbb6e96a5590a4fd9e7b3dd2b15698af500,1421079461,cabe33394bf4ea4155c6d45e779298e43a0d9e4a,1654100118,5470b34a2f5b1d48a282b3d8a8d73d840c365ced,1420096948,https://github.com/getredash/redash/wiki/Tips-And-Tricks/5470b34a2f5b1d48a282b3d8a8d73d840c365ced,https://github.com/getredash/redash/blob/cabe33394bf4ea4155c6d45e779298e43a0d9e4a/tests/test_models.py#L479
