code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
.Err(),repo,README.md,359,357,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,25db55cdc06b2f3399dbc2408c8fad45ca6e7a56,1655020139,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,https://github.com/go-redis/redis/blob/0768a688c6881b4988857c9eaa2841a8690d3eec/README.md,https://github.com/go-redis/redis/blob/25db55cdc06b2f3399dbc2408c8fad45ca6e7a56/universal_test.go#L24
.Result(),repo,README.md,398,398,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,25db55cdc06b2f3399dbc2408c8fad45ca6e7a56,1655020139,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,https://github.com/go-redis/redis/blob/0768a688c6881b4988857c9eaa2841a8690d3eec/README.md,https://github.com/go-redis/redis/blob/25db55cdc06b2f3399dbc2408c8fad45ca6e7a56/tx_test.go#L97
API,repo,README.md,5,5,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,25db55cdc06b2f3399dbc2408c8fad45ca6e7a56,1655020139,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,https://github.com/go-redis/redis/blob/0768a688c6881b4988857c9eaa2841a8690d3eec/README.md,https://github.com/go-redis/redis/blob/25db55cdc06b2f3399dbc2408c8fad45ca6e7a56/pubsub.go#L360
ARGV,repo,README.md,7,7,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,25db55cdc06b2f3399dbc2408c8fad45ca6e7a56,1655020139,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,https://github.com/go-redis/redis/blob/0768a688c6881b4988857c9eaa2841a8690d3eec/README.md,https://github.com/go-redis/redis/blob/25db55cdc06b2f3399dbc2408c8fad45ca6e7a56/ring_test.go#L63
ASC,repo,README.md,7,7,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,25db55cdc06b2f3399dbc2408c8fad45ca6e7a56,1655020139,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,https://github.com/go-redis/redis/blob/0768a688c6881b4988857c9eaa2841a8690d3eec/README.md,https://github.com/go-redis/redis/blob/25db55cdc06b2f3399dbc2408c8fad45ca6e7a56/commands_test.go#L670
"Abs(filepath.Join(""testdata"", ""redis"", ""redis.conf"")",repo,README.md,1,1,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,25db55cdc06b2f3399dbc2408c8fad45ca6e7a56,1655020139,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,https://github.com/go-redis/redis/blob/0768a688c6881b4988857c9eaa2841a8690d3eec/README.md,https://github.com/go-redis/redis/blob/25db55cdc06b2f3399dbc2408c8fad45ca6e7a56/main_test.go#L287
"Abs(filepath.Join(""testdata"", ""redis"", ""src"", ""redis-server"")",repo,README.md,1,1,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,25db55cdc06b2f3399dbc2408c8fad45ca6e7a56,1655020139,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,https://github.com/go-redis/redis/blob/0768a688c6881b4988857c9eaa2841a8690d3eec/README.md,https://github.com/go-redis/redis/blob/25db55cdc06b2f3399dbc2408c8fad45ca6e7a56/main_test.go#L286
DB,repo,README.md,49,49,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,25db55cdc06b2f3399dbc2408c8fad45ca6e7a56,1655020139,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,https://github.com/go-redis/redis/blob/0768a688c6881b4988857c9eaa2841a8690d3eec/README.md,https://github.com/go-redis/redis/blob/25db55cdc06b2f3399dbc2408c8fad45ca6e7a56/universal.go#L19
EVAL,repo,README.md,3,3,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,25db55cdc06b2f3399dbc2408c8fad45ca6e7a56,1655020139,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,https://github.com/go-redis/redis/blob/0768a688c6881b4988857c9eaa2841a8690d3eec/README.md,https://github.com/go-redis/redis/blob/25db55cdc06b2f3399dbc2408c8fad45ca6e7a56/script.go#L58
ExampleClient(),repo,README.md,1,1,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,25db55cdc06b2f3399dbc2408c8fad45ca6e7a56,1655020139,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,https://github.com/go-redis/redis/blob/0768a688c6881b4988857c9eaa2841a8690d3eec/README.md,https://github.com/go-redis/redis/blob/25db55cdc06b2f3399dbc2408c8fad45ca6e7a56/example_test.go#L133
"Get(ctx, ""key"")",repo,README.md,59,59,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,25db55cdc06b2f3399dbc2408c8fad45ca6e7a56,1655020139,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,https://github.com/go-redis/redis/blob/0768a688c6881b4988857c9eaa2841a8690d3eec/README.md,https://github.com/go-redis/redis/blob/25db55cdc06b2f3399dbc2408c8fad45ca6e7a56/tx_test.go#L62
"Get(ctx, ""key2"")",repo,README.md,1,1,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,25db55cdc06b2f3399dbc2408c8fad45ca6e7a56,1655020139,0768a688c6881b4988857c9eaa2841a8690d3eec,1654356041,https://github.com/go-redis/redis/blob/0768a688c6881b4988857c9eaa2841a8690d3eec/README.md,https://github.com/go-redis/redis/blob/25db55cdc06b2f3399dbc2408c8fad45ca6e7a56/tx_test.go#L85
