code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
",",repo,README.md,6356,6356,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/README.md,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/sections/testingandquality/test-middlewares.md#L18
...m.values(),repo,README.md,16,16,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/README.md,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/README.russian.md#L313
.aws,repo,README.md,15,15,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/README.md,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/sections/examples/dockerfile/.dockerignore#L11
.dockerignore,repo,README.md,44,44,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/README.md,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/sections/docker/use-cache-for-shorter-build-time.md#L27
.env,repo,README.md,23,23,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/README.md,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/sections/security/avoid_publishing_secrets.russian.md#L22
.forEach(console.log),repo,README.md,16,16,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/README.md,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/README.russian.md#L313
.npmignore,repo,README.md,59,59,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/README.md,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/sections/security/avoid_publishing_secrets.russian.md#L4
.npmrc,repo,README.md,77,77,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/README.md,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/sections/production/lockdependencies.russian.md#L13
2(),repo,README.md,9,9,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/README.md,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/README.russian.md#L319
20A1:Injection,repo,README.md,63,63,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1655581424,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/README.md,https://github.com/goldbergyoni/nodebestpractices/blob/9517b17a0b2e35b117e679ee337e3ed5afa66f5c/README.russian.md#L750
