code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
.travis.yml,repo,README.md,1,1,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb,1515525370,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,https://github.com/google/web-starter-kit/blob/af4444c2ad8af26df08f6fb6dff44ecc09579aba/README.md,code_element is a file name
CONTRIBUTING,repo,README.md,1,1,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb,1515525370,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,https://github.com/google/web-starter-kit/blob/af4444c2ad8af26df08f6fb6dff44ecc09579aba/README.md,https://github.com/google/web-starter-kit/blob/e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb/.gitattributes#L2
CSS,repo,README.md,2,2,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb,1515525370,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,https://github.com/google/web-starter-kit/blob/af4444c2ad8af26df08f6fb6dff44ecc09579aba/README.md,https://github.com/google/web-starter-kit/blob/e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb/docs/mdl-sass.md#L3
FAQ,repo,README.md,2,2,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb,1515525370,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,https://github.com/google/web-starter-kit/blob/af4444c2ad8af26df08f6fb6dff44ecc09579aba/README.md,https://github.com/google/web-starter-kit/blob/e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb/app/index.html#L70
GoogleChrome,repo,README.md,4,4,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb,1515525370,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,https://github.com/google/web-starter-kit/blob/af4444c2ad8af26df08f6fb6dff44ecc09579aba/README.md,https://github.com/google/web-starter-kit/blob/e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb/docs/file-appendix.md#L48
HTML,repo,README.md,3,3,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb,1515525370,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,https://github.com/google/web-starter-kit/blob/af4444c2ad8af26df08f6fb6dff44ecc09579aba/README.md,https://github.com/google/web-starter-kit/blob/e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb/gulpfile.babel.js#L130
HTTP,repo,README.md,1,1,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb,1515525370,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,https://github.com/google/web-starter-kit/blob/af4444c2ad8af26df08f6fb6dff44ecc09579aba/README.md,https://github.com/google/web-starter-kit/blob/e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb/docs/commands.md#L41
IP,repo,README.md,2,2,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb,1515525370,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,https://github.com/google/web-starter-kit/blob/af4444c2ad8af26df08f6fb6dff44ecc09579aba/README.md,https://github.com/google/web-starter-kit/blob/e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb/docs/commands.md#L9
JavaScript,repo,README.md,9,9,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb,1515525370,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,https://github.com/google/web-starter-kit/blob/af4444c2ad8af26df08f6fb6dff44ecc09579aba/README.md,https://github.com/google/web-starter-kit/blob/e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb/gulpfile.babel.js#L22
MDL,repo,README.md,8,8,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb,1515525370,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,https://github.com/google/web-starter-kit/blob/af4444c2ad8af26df08f6fb6dff44ecc09579aba/README.md,https://github.com/google/web-starter-kit/blob/e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb/docs/mdl-sass.md#L27
PageSpeed,repo,README.md,3,3,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb,1515525370,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,https://github.com/google/web-starter-kit/blob/af4444c2ad8af26df08f6fb6dff44ecc09579aba/README.md,https://github.com/google/web-starter-kit/blob/e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb/gulpfile.babel.js#L206
WSK,repo,README.md,7,7,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb,1515525370,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,https://github.com/google/web-starter-kit/blob/af4444c2ad8af26df08f6fb6dff44ecc09579aba/README.md,https://github.com/google/web-starter-kit/blob/e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb/gulpfile.babel.js#L163
WebFundamentals,repo,README.md,1,1,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb,1515525370,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,https://github.com/google/web-starter-kit/blob/af4444c2ad8af26df08f6fb6dff44ecc09579aba/README.md,https://github.com/google/web-starter-kit/blob/e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb/CONTRIBUTING.md#L3
app,repo,README.md,79,79,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb,1515525370,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,https://github.com/google/web-starter-kit/blob/af4444c2ad8af26df08f6fb6dff44ecc09579aba/README.md,https://github.com/google/web-starter-kit/blob/e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb/gulpfile.babel.js#L42
basic.html,repo,README.md,1,1,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,e7e55e891ff6f00b223db5a5ef531e0ffaf84bbb,1515525370,af4444c2ad8af26df08f6fb6dff44ecc09579aba,1479170795,https://github.com/google/web-starter-kit/blob/af4444c2ad8af26df08f6fb6dff44ecc09579aba/README.md,code_element is a file name
