code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
6nhLw6hju2A,repo,README.md,2,2,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6,1652970538,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,https://github.com/hackiftekhar/IQKeyboardManager/blob/0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6/README.md,https://github.com/hackiftekhar/IQKeyboardManager/blob/f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6/Demo/Swift_Demo/ViewController/ViewController.swift#L18
@UIApplicationMain,repo,README.md,1,1,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6,1652970538,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,https://github.com/hackiftekhar/IQKeyboardManager/blob/0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6/README.md,https://github.com/hackiftekhar/IQKeyboardManager/blob/f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6/Demo/Swift_Demo/AppDelegate.swift#L12
AppDelegate,repo,README.md,24,24,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6,1652970538,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,https://github.com/hackiftekhar/IQKeyboardManager/blob/0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6/README.md,https://github.com/hackiftekhar/IQKeyboardManager/blob/f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6/Demo/Swift_Demo/AppDelegate.swift#L2
CocoaPods,repo,README.md,4,4,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6,1652970538,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,https://github.com/hackiftekhar/IQKeyboardManager/blob/0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6/README.md,https://github.com/hackiftekhar/IQKeyboardManager/blob/f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6/Demo.xcodeproj/project.pbxproj#L919
GitHub,repo,README.md,1,1,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6,1652970538,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,https://github.com/hackiftekhar/IQKeyboardManager/blob/0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6/README.md,https://github.com/hackiftekhar/IQKeyboardManager/blob/f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6/CONTRIBUTING.md#L25
IQKeyboardManager,repo,README.md,441,468,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6,1652970538,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,https://github.com/hackiftekhar/IQKeyboardManager/blob/0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6/README.md,https://github.com/hackiftekhar/IQKeyboardManager/blob/f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6/Podfile.lock#L3
IQKeyboardManager.framework,repo,README.md,9,9,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6,1652970538,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,https://github.com/hackiftekhar/IQKeyboardManager/blob/0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6/README.md,https://github.com/hackiftekhar/IQKeyboardManager/blob/f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6/IQKeyboardManager.xcodeproj/xcshareddata/xcschemes/IQKeyboardManager.xcscheme#L18
IQKeyboardManagerScreenshot,repo,README.md,14,14,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6,1652970538,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,https://github.com/hackiftekhar/IQKeyboardManager/blob/0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6/README.md,https://github.com/hackiftekhar/IQKeyboardManager/blob/f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6/IQKeyboardManagerSwift.podspec.json#L10
IQKeyboardManagerSwift,repo,README.md,59,59,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6,1652970538,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,https://github.com/hackiftekhar/IQKeyboardManager/blob/0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6/README.md,https://github.com/hackiftekhar/IQKeyboardManager/blob/f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6/Podfile.lock#L4
IQKeyboardManagerSwift.framework,repo,README.md,9,9,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6,1652970538,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,https://github.com/hackiftekhar/IQKeyboardManager/blob/0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6/README.md,https://github.com/hackiftekhar/IQKeyboardManager/blob/f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6/IQKeyboardManager.xcodeproj/xcshareddata/xcschemes/IQKeyboardManagerSwift.xcscheme#L18
IQKeyboardManger,repo,README.md,6,6,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6,1652970538,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,https://github.com/hackiftekhar/IQKeyboardManager/blob/0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6/README.md,https://github.com/hackiftekhar/IQKeyboardManager/blob/f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6/Demo/Swift_Demo/Resources/IQKeyboardManger-Swift-Bridging-Header.h#L2
MIT,repo,README.md,6,6,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6,1652970538,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,https://github.com/hackiftekhar/IQKeyboardManager/blob/0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6/README.md,https://github.com/hackiftekhar/IQKeyboardManager/blob/f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6/LICENSE.md#L1
Package.swift,repo,README.md,1,1,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,f0fad1d51f9710cbd0ac6d49121d8b7fddd5c7f6,1652970538,0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6,1571464641,https://github.com/hackiftekhar/IQKeyboardManager/blob/0fae8457b2037e7b1a99dbd3d2ea588bd4f0a2f6/README.md,code_element is a file name
