code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
3A,repo,README.md,10,10,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,6fa78d5b3413d32aca9e150d6934fc6323390329,1655656640,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,https://github.com/icsharpcode/ILSpy/blob/7019e1c02f678b167e950fb553169e1bb58b7010/README.md,https://github.com/icsharpcode/ILSpy/blob/6fa78d5b3413d32aca9e150d6934fc6323390329/ICSharpCode.Decompiler.Tests/TestCases/ILPretty/Unsafe.il#L5
AddIn,repo,README.md,76,84,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,6fa78d5b3413d32aca9e150d6934fc6323390329,1655656640,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,https://github.com/icsharpcode/ILSpy/blob/7019e1c02f678b167e950fb553169e1bb58b7010/README.md,https://github.com/icsharpcode/ILSpy/blob/6fa78d5b3413d32aca9e150d6934fc6323390329/ILSpy/Properties/AssemblyInfo.cs#L35
BAML,repo,README.md,1,1,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,6fa78d5b3413d32aca9e150d6934fc6323390329,1655656640,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,https://github.com/icsharpcode/ILSpy/blob/7019e1c02f678b167e950fb553169e1bb58b7010/README.md,https://github.com/icsharpcode/ILSpy/blob/6fa78d5b3413d32aca9e150d6934fc6323390329/ILSpy.BamlDecompiler/IHandlers.cs#L90
CLI,repo,README.md,9,9,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,6fa78d5b3413d32aca9e150d6934fc6323390329,1655656640,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,https://github.com/icsharpcode/ILSpy/blob/7019e1c02f678b167e950fb553169e1bb58b7010/README.md,https://github.com/icsharpcode/ILSpy/blob/6fa78d5b3413d32aca9e150d6934fc6323390329/ILSpy/Metadata/DataDirectoriesTreeNode.cs#L72
DEBUG,repo,README.md,80,80,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,6fa78d5b3413d32aca9e150d6934fc6323390329,1655656640,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,https://github.com/icsharpcode/ILSpy/blob/7019e1c02f678b167e950fb553169e1bb58b7010/README.md,https://github.com/icsharpcode/ILSpy/blob/6fa78d5b3413d32aca9e150d6934fc6323390329/SharpTreeView/FlatListTreeNode.cs#L60
ICSharpCode,repo,README.md,3830,3918,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,6fa78d5b3413d32aca9e150d6934fc6323390329,1655656640,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,https://github.com/icsharpcode/ILSpy/blob/7019e1c02f678b167e950fb553169e1bb58b7010/README.md,https://github.com/icsharpcode/ILSpy/blob/6fa78d5b3413d32aca9e150d6934fc6323390329/doc/third-party-notices.txt#L108
ILSpy,repo,README.md,1284,1440,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,6fa78d5b3413d32aca9e150d6934fc6323390329,1655656640,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,https://github.com/icsharpcode/ILSpy/blob/7019e1c02f678b167e950fb553169e1bb58b7010/README.md,https://github.com/icsharpcode/ILSpy/blob/6fa78d5b3413d32aca9e150d6934fc6323390329/releasebuild.bat#L12
ILSpyAboutPage,repo,README.md,4,4,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,6fa78d5b3413d32aca9e150d6934fc6323390329,1655656640,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,https://github.com/icsharpcode/ILSpy/blob/7019e1c02f678b167e950fb553169e1bb58b7010/README.md,https://github.com/icsharpcode/ILSpy/blob/6fa78d5b3413d32aca9e150d6934fc6323390329/doc/README.md#L7
ILSpyCmd,repo,README.md,11,13,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,6fa78d5b3413d32aca9e150d6934fc6323390329,1655656640,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,https://github.com/icsharpcode/ILSpy/blob/7019e1c02f678b167e950fb553169e1bb58b7010/README.md,https://github.com/icsharpcode/ILSpy/blob/6fa78d5b3413d32aca9e150d6934fc6323390329/doc/third-party-notices.txt#L108
MIT,repo,README.md,36,37,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,6fa78d5b3413d32aca9e150d6934fc6323390329,1655656640,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,https://github.com/icsharpcode/ILSpy/blob/7019e1c02f678b167e950fb553169e1bb58b7010/README.md,https://github.com/icsharpcode/ILSpy/blob/6fa78d5b3413d32aca9e150d6934fc6323390329/doc/third-party-notices.txt#L85
MSVC,repo,README.md,1,1,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,6fa78d5b3413d32aca9e150d6934fc6323390329,1655656640,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,https://github.com/icsharpcode/ILSpy/blob/7019e1c02f678b167e950fb553169e1bb58b7010/README.md,https://github.com/icsharpcode/ILSpy/blob/6fa78d5b3413d32aca9e150d6934fc6323390329/ILSpy/ILSpy.csproj#L130
NET,repo,README.md,180,179,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,6fa78d5b3413d32aca9e150d6934fc6323390329,1655656640,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,https://github.com/icsharpcode/ILSpy/blob/7019e1c02f678b167e950fb553169e1bb58b7010/README.md,https://github.com/icsharpcode/ILSpy/blob/6fa78d5b3413d32aca9e150d6934fc6323390329/doc/third-party-notices.txt#L297
NuGet,repo,README.md,21,25,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,6fa78d5b3413d32aca9e150d6934fc6323390329,1655656640,7019e1c02f678b167e950fb553169e1bb58b7010,1649581783,https://github.com/icsharpcode/ILSpy/blob/7019e1c02f678b167e950fb553169e1bb58b7010/README.md,https://github.com/icsharpcode/ILSpy/blob/6fa78d5b3413d32aca9e150d6934fc6323390329/packages.props#L4
