code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
000000000Z,repo,README.md,1,1,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,85e4e6317e0f9109bf6a9ed9fe813e13d8b11190,1655498026,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,https://github.com/influxdata/influxdb/blob/5ce164f8499b36535cde4710ee6e7234314d3f79/README.md,https://github.com/influxdata/influxdb/blob/85e4e6317e0f9109bf6a9ed9fe813e13d8b11190/influxql/v1tests/server_test.go#L2280
API,repo,README.md,218,216,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,85e4e6317e0f9109bf6a9ed9fe813e13d8b11190,1655498026,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,https://github.com/influxdata/influxdb/blob/5ce164f8499b36535cde4710ee6e7234314d3f79/README.md,https://github.com/influxdata/influxdb/blob/85e4e6317e0f9109bf6a9ed9fe813e13d8b11190/v1/authorization/service_password.go#L18
BooleanValues,repo,README.md,40,40,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,85e4e6317e0f9109bf6a9ed9fe813e13d8b11190,1655498026,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,https://github.com/influxdata/influxdb/blob/5ce164f8499b36535cde4710ee6e7234314d3f79/README.md,https://github.com/influxdata/influxdb/blob/85e4e6317e0f9109bf6a9ed9fe813e13d8b11190/tsdb/engine/tsm1/file_store.gen.go#L760
CI,repo,README.md,23,24,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,85e4e6317e0f9109bf6a9ed9fe813e13d8b11190,1655498026,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,https://github.com/influxdata/influxdb/blob/5ce164f8499b36535cde4710ee6e7234314d3f79/README.md,https://github.com/influxdata/influxdb/blob/85e4e6317e0f9109bf6a9ed9fe813e13d8b11190/tsdb/engine/tsm1/compact_test.go#L1009
CLI,repo,README.md,134,135,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,85e4e6317e0f9109bf6a9ed9fe813e13d8b11190,1655498026,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,https://github.com/influxdata/influxdb/blob/5ce164f8499b36535cde4710ee6e7234314d3f79/README.md,https://github.com/influxdata/influxdb/blob/85e4e6317e0f9109bf6a9ed9fe813e13d8b11190/scripts/ci/CHANGELOG_frozen.md#L56
CONTRIBUTING,repo,README.md,0,1,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,85e4e6317e0f9109bf6a9ed9fe813e13d8b11190,1655498026,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,https://github.com/influxdata/influxdb/blob/5ce164f8499b36535cde4710ee6e7234314d3f79/README.md,https://github.com/influxdata/influxdb/blob/85e4e6317e0f9109bf6a9ed9fe813e13d8b11190/scripts/ci/CHANGELOG_frozen.md#L56
CSV,repo,README.md,25,18,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,85e4e6317e0f9109bf6a9ed9fe813e13d8b11190,1655498026,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,https://github.com/influxdata/influxdb/blob/5ce164f8499b36535cde4710ee6e7234314d3f79/README.md,https://github.com/influxdata/influxdb/blob/85e4e6317e0f9109bf6a9ed9fe813e13d8b11190/tests/client.go#L98
CircleCI,repo,README.md,6,9,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,85e4e6317e0f9109bf6a9ed9fe813e13d8b11190,1655498026,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,https://github.com/influxdata/influxdb/blob/5ce164f8499b36535cde4710ee6e7234314d3f79/README.md,https://github.com/influxdata/influxdb/blob/85e4e6317e0f9109bf6a9ed9fe813e13d8b11190/scripts/ci/xcc-builds/README.md#L20
GitHub,repo,README.md,7,7,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,85e4e6317e0f9109bf6a9ed9fe813e13d8b11190,1655498026,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,https://github.com/influxdata/influxdb/blob/5ce164f8499b36535cde4710ee6e7234314d3f79/README.md,https://github.com/influxdata/influxdb/blob/85e4e6317e0f9109bf6a9ed9fe813e13d8b11190/telegraf/plugins/plugins.go#L524
InfluxDB,repo,README.md,179,180,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,85e4e6317e0f9109bf6a9ed9fe813e13d8b11190,1655498026,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,https://github.com/influxdata/influxdb/blob/5ce164f8499b36535cde4710ee6e7234314d3f79/README.md,https://github.com/influxdata/influxdb/blob/85e4e6317e0f9109bf6a9ed9fe813e13d8b11190/v1/services/precreator/README.md#L4
InfluxData,repo,README.md,8,8,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,85e4e6317e0f9109bf6a9ed9fe813e13d8b11190,1655498026,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,https://github.com/influxdata/influxdb/blob/5ce164f8499b36535cde4710ee6e7234314d3f79/README.md,https://github.com/influxdata/influxdb/blob/85e4e6317e0f9109bf6a9ed9fe813e13d8b11190/telegraf/plugins/plugins.go#L1354
LICENSE,repo,README.md,4,4,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,85e4e6317e0f9109bf6a9ed9fe813e13d8b11190,1655498026,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,https://github.com/influxdata/influxdb/blob/5ce164f8499b36535cde4710ee6e7234314d3f79/README.md,https://github.com/influxdata/influxdb/blob/85e4e6317e0f9109bf6a9ed9fe813e13d8b11190/pkg/mmap/mmap_unix.go#L5
MIT,repo,README.md,6,6,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,85e4e6317e0f9109bf6a9ed9fe813e13d8b11190,1655498026,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,https://github.com/influxdata/influxdb/blob/5ce164f8499b36535cde4710ee6e7234314d3f79/README.md,https://github.com/influxdata/influxdb/blob/85e4e6317e0f9109bf6a9ed9fe813e13d8b11190/pkger/internal/wordplay/wordplay.go#L443
PR,repo,README.md,7,7,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,85e4e6317e0f9109bf6a9ed9fe813e13d8b11190,1655498026,5ce164f8499b36535cde4710ee6e7234314d3f79,1638302540,https://github.com/influxdata/influxdb/blob/5ce164f8499b36535cde4710ee6e7234314d3f79/README.md,https://github.com/influxdata/influxdb/blob/85e4e6317e0f9109bf6a9ed9fe813e13d8b11190/scripts/ci/CHANGELOG_frozen.md#L32
