code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
ASCII,repo,README.md,5,5,8a707c5274149dd8e7a48a1ef8c990289e4d168c,1560027990,81dfb4814d06fcb9c4e1d859f4288544869dc5d0,1655301688,8a707c5274149dd8e7a48a1ef8c990289e4d168c,1560027990,https://github.com/isocpp/CppCoreGuidelines/blob/8a707c5274149dd8e7a48a1ef8c990289e4d168c/README.md,https://github.com/isocpp/CppCoreGuidelines/blob/81dfb4814d06fcb9c4e1d859f4288544869dc5d0/scripts/python/cpplint.py#L6458
CONTRIBUTING,repo,README.md,4,4,8a707c5274149dd8e7a48a1ef8c990289e4d168c,1560027990,81dfb4814d06fcb9c4e1d859f4288544869dc5d0,1655301688,8a707c5274149dd8e7a48a1ef8c990289e4d168c,1560027990,https://github.com/isocpp/CppCoreGuidelines/blob/8a707c5274149dd8e7a48a1ef8c990289e4d168c/README.md,https://github.com/isocpp/CppCoreGuidelines/blob/81dfb4814d06fcb9c4e1d859f4288544869dc5d0/CppCoreGuidelines.md#L21912
CppCoreGuidelines,repo,README.md,28,24,8a707c5274149dd8e7a48a1ef8c990289e4d168c,1560027990,81dfb4814d06fcb9c4e1d859f4288544869dc5d0,1655301688,8a707c5274149dd8e7a48a1ef8c990289e4d168c,1560027990,https://github.com/isocpp/CppCoreGuidelines/blob/8a707c5274149dd8e7a48a1ef8c990289e4d168c/README.md,https://github.com/isocpp/CppCoreGuidelines/blob/81dfb4814d06fcb9c4e1d859f4288544869dc5d0/scripts/nodejs/package.json#L4
GH,repo,README.md,3,3,8a707c5274149dd8e7a48a1ef8c990289e4d168c,1560027990,81dfb4814d06fcb9c4e1d859f4288544869dc5d0,1655301688,8a707c5274149dd8e7a48a1ef8c990289e4d168c,1560027990,https://github.com/isocpp/CppCoreGuidelines/blob/8a707c5274149dd8e7a48a1ef8c990289e4d168c/README.md,https://github.com/isocpp/CppCoreGuidelines/blob/81dfb4814d06fcb9c4e1d859f4288544869dc5d0/scripts/hunspell/en_US.aff#L300
GSL,repo,README.md,57,56,8a707c5274149dd8e7a48a1ef8c990289e4d168c,1560027990,81dfb4814d06fcb9c4e1d859f4288544869dc5d0,1655301688,8a707c5274149dd8e7a48a1ef8c990289e4d168c,1560027990,https://github.com/isocpp/CppCoreGuidelines/blob/8a707c5274149dd8e7a48a1ef8c990289e4d168c/README.md,https://github.com/isocpp/CppCoreGuidelines/blob/81dfb4814d06fcb9c4e1d859f4288544869dc5d0/scripts/hunspell/isocpp.dic#L222
LICENSE,repo,README.md,3,3,8a707c5274149dd8e7a48a1ef8c990289e4d168c,1560027990,81dfb4814d06fcb9c4e1d859f4288544869dc5d0,1655301688,8a707c5274149dd8e7a48a1ef8c990289e4d168c,1560027990,https://github.com/isocpp/CppCoreGuidelines/blob/8a707c5274149dd8e7a48a1ef8c990289e4d168c/README.md,https://github.com/isocpp/CppCoreGuidelines/blob/81dfb4814d06fcb9c4e1d859f4288544869dc5d0/CppCoreGuidelines.md#L14
!=,wiki,CppCoreGuidelines.md,109,110,2541e809b680684318cefd6414e666a9218584e0,1620622553,81dfb4814d06fcb9c4e1d859f4288544869dc5d0,1655301688,18a52ecbdf187164326e5be45c68c17372315c36,1618131670,https://github.com/isocpp/CppCoreGuidelines/wiki/CppCoreGuidelines/18a52ecbdf187164326e5be45c68c17372315c36,https://github.com/isocpp/CppCoreGuidelines/blob/81dfb4814d06fcb9c4e1d859f4288544869dc5d0/scripts/python/md-split.py#L95
!=0,wiki,CppCoreGuidelines.md,1,1,2541e809b680684318cefd6414e666a9218584e0,1620622553,81dfb4814d06fcb9c4e1d859f4288544869dc5d0,1655301688,18a52ecbdf187164326e5be45c68c17372315c36,1618131670,https://github.com/isocpp/CppCoreGuidelines/wiki/CppCoreGuidelines/18a52ecbdf187164326e5be45c68c17372315c36,https://github.com/isocpp/CppCoreGuidelines/blob/81dfb4814d06fcb9c4e1d859f4288544869dc5d0/CppCoreGuidelines.md#L13122
!=nullptr,wiki,CppCoreGuidelines.md,1,1,2541e809b680684318cefd6414e666a9218584e0,1620622553,81dfb4814d06fcb9c4e1d859f4288544869dc5d0,1655301688,18a52ecbdf187164326e5be45c68c17372315c36,1618131670,https://github.com/isocpp/CppCoreGuidelines/wiki/CppCoreGuidelines/18a52ecbdf187164326e5be45c68c17372315c36,https://github.com/isocpp/CppCoreGuidelines/blob/81dfb4814d06fcb9c4e1d859f4288544869dc5d0/CppCoreGuidelines.md#L13123
!s,wiki,CppCoreGuidelines.md,6,6,2541e809b680684318cefd6414e666a9218584e0,1620622553,81dfb4814d06fcb9c4e1d859f4288544869dc5d0,1655301688,18a52ecbdf187164326e5be45c68c17372315c36,1618131670,https://github.com/isocpp/CppCoreGuidelines/wiki/CppCoreGuidelines/18a52ecbdf187164326e5be45c68c17372315c36,https://github.com/isocpp/CppCoreGuidelines/blob/81dfb4814d06fcb9c4e1d859f4288544869dc5d0/docs/gsl-intro.md#L216
