code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
AI,repo,README.md,5,5,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/README.md,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/people.md#L49
CMU,repo,README.md,2,2,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/README.md,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/people.md#L10
EPFL,repo,README.md,1,1,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/README.md,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/people.md#L101
INRIA,repo,README.md,2,2,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/README.md,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/people.md#L99
MIT,repo,README.md,14,14,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/README.md,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/people.md#L11
NYU,repo,README.md,2,2,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/README.md,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/people.md#L23
UC,repo,README.md,6,6,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/README.md,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/people.md#L39
UCSD,repo,README.md,2,2,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/README.md,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/people.md#L38
UIUC,repo,README.md,3,3,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/README.md,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/people.md#L52
USC,repo,README.md,1,1,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/README.md,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/people.md#L44
UT,repo,README.md,1,1,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,9b82b1645aecdc9b895fc378d5209a9f6672bb15,1632856279,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/README.md,https://github.com/jbhuang0604/awesome-computer-vision/blob/9b82b1645aecdc9b895fc378d5209a9f6672bb15/people.md#L128
