code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
@jeromeetienne,repo,README.md,2,2,024318c67121bd57045186b83b42f10c6560a34a,1584271385,024318c67121bd57045186b83b42f10c6560a34a,1584271385,024318c67121bd57045186b83b42f10c6560a34a,1584271385,https://github.com/jeromeetienne/AR.js/blob/024318c67121bd57045186b83b42f10c6560a34a/README.md,https://github.com/jeromeetienne/AR.js/blob/024318c67121bd57045186b83b42f10c6560a34a/data/images/box.png#L388
AR,repo,README.md,279,279,024318c67121bd57045186b83b42f10c6560a34a,1584271385,024318c67121bd57045186b83b42f10c6560a34a,1584271385,024318c67121bd57045186b83b42f10c6560a34a,1584271385,https://github.com/jeromeetienne/AR.js/blob/024318c67121bd57045186b83b42f10c6560a34a/README.md,https://github.com/jeromeetienne/AR.js/blob/024318c67121bd57045186b83b42f10c6560a34a/three.js/vendor/jsartoolkit5/js/artoolkit.three.js#L6
LICENSE,repo,README.md,24,24,024318c67121bd57045186b83b42f10c6560a34a,1584271385,024318c67121bd57045186b83b42f10c6560a34a,1584271385,024318c67121bd57045186b83b42f10c6560a34a,1584271385,https://github.com/jeromeetienne/AR.js/blob/024318c67121bd57045186b83b42f10c6560a34a/README.md,https://github.com/jeromeetienne/AR.js/blob/024318c67121bd57045186b83b42f10c6560a34a/three.js/vendor/jsartoolkit5/LICENSE.txt#L1
jerome_etienne,repo,README.md,103,103,024318c67121bd57045186b83b42f10c6560a34a,1584271385,024318c67121bd57045186b83b42f10c6560a34a,1584271385,024318c67121bd57045186b83b42f10c6560a34a,1584271385,https://github.com/jeromeetienne/AR.js/blob/024318c67121bd57045186b83b42f10c6560a34a/README.md,https://github.com/jeromeetienne/AR.js/blob/024318c67121bd57045186b83b42f10c6560a34a/three.js/experiments/sketchfab/examples/viewer.html#L22
3D,wiki,About-this-project.md,266,23,ea430bbca0e1f08b571b37c23fcdfdc3ce079e57,1537555401,024318c67121bd57045186b83b42f10c6560a34a,1584271385,bb49f5de0a5018e5d42cabc8846aee8d1170215f,1531229798,https://github.com/jeromeetienne/AR.js/wiki/About-this-project/bb49f5de0a5018e5d42cabc8846aee8d1170215f,https://github.com/jeromeetienne/AR.js/blob/024318c67121bd57045186b83b42f10c6560a34a/three.js/vendor/jsartoolkit5/js/artoolkit.three.js#L10
AR,wiki,About-this-project.md,550,279,ea430bbca0e1f08b571b37c23fcdfdc3ce079e57,1537555401,024318c67121bd57045186b83b42f10c6560a34a,1584271385,bb49f5de0a5018e5d42cabc8846aee8d1170215f,1531229798,https://github.com/jeromeetienne/AR.js/wiki/About-this-project/bb49f5de0a5018e5d42cabc8846aee8d1170215f,https://github.com/jeromeetienne/AR.js/blob/024318c67121bd57045186b83b42f10c6560a34a/three.js/vendor/jsartoolkit5/js/artoolkit.three.js#L6
JavaScript,wiki,About-this-project.md,60,7,ea430bbca0e1f08b571b37c23fcdfdc3ce079e57,1537555401,024318c67121bd57045186b83b42f10c6560a34a,1584271385,bb49f5de0a5018e5d42cabc8846aee8d1170215f,1531229798,https://github.com/jeromeetienne/AR.js/wiki/About-this-project/bb49f5de0a5018e5d42cabc8846aee8d1170215f,https://github.com/jeromeetienne/AR.js/blob/024318c67121bd57045186b83b42f10c6560a34a/three.js/vendor/jsartoolkit5/build/artoolkit.debug.js#L2747
jerome_etienne,wiki,About-this-project.md,116,103,ea430bbca0e1f08b571b37c23fcdfdc3ce079e57,1537555401,024318c67121bd57045186b83b42f10c6560a34a,1584271385,bb49f5de0a5018e5d42cabc8846aee8d1170215f,1531229798,https://github.com/jeromeetienne/AR.js/wiki/About-this-project/bb49f5de0a5018e5d42cabc8846aee8d1170215f,https://github.com/jeromeetienne/AR.js/blob/024318c67121bd57045186b83b42f10c6560a34a/three.js/experiments/sketchfab/examples/viewer.html#L22
AR,wiki,Welcome!.md,580,279,a290ee15ac5ef54a84ee5b3c155d81dcc2d47def,1549268151,024318c67121bd57045186b83b42f10c6560a34a,1584271385,c50104b0ac5013f22c4b8fc29c87e814f041977b,1549008959,https://github.com/jeromeetienne/AR.js/wiki/Welcome!/c50104b0ac5013f22c4b8fc29c87e814f041977b,https://github.com/jeromeetienne/AR.js/blob/024318c67121bd57045186b83b42f10c6560a34a/three.js/vendor/jsartoolkit5/js/artoolkit.three.js#L6
README,wiki,Welcome!.md,12,5,a290ee15ac5ef54a84ee5b3c155d81dcc2d47def,1549268151,024318c67121bd57045186b83b42f10c6560a34a,1584271385,c50104b0ac5013f22c4b8fc29c87e814f041977b,1549008959,https://github.com/jeromeetienne/AR.js/wiki/Welcome!/c50104b0ac5013f22c4b8fc29c87e814f041977b,https://github.com/jeromeetienne/AR.js/blob/024318c67121bd57045186b83b42f10c6560a34a/three.js/experiments/show-gravity-raw.html#L38
