code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
@angular,repo,README.md,2,2,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/README.md,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/docs/_data/love.json#L456
@import,repo,README.md,243,243,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/README.md,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/test/ruby-sass/sass/override.scss#L4
API,repo,README.md,1,1,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/README.md,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/docs/_data/love.json#L3126
CDN,repo,README.md,3,3,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/README.md,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/docs/documentation/overview/start.html#L39
CSS,repo,README.md,252,252,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/README.md,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/package.json#L10
HTML,repo,README.md,73,73,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/README.md,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/docs/vendor/fontawesome-free-5.15.2-web/metadata/icons.yml#L10485
JS,repo,README.md,33,33,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/README.md,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/docs/vendor/fontawesome-free-5.15.2-web/metadata/icons.yml#L11058
JSON,repo,README.md,14,14,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/README.md,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/docs/vendor/js.cookie-2.1.4.min.js#L3
JavaScript,repo,README.md,35,35,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/README.md,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/docs/vendor/fontawesome-free-5.15.2-web/metadata/icons.yml#L11058
LICENSE,repo,README.md,3,3,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,644542a3c838b6569bbc1b13547b436b755c0714,1655546553,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/README.md,https://github.com/jgthms/bulma/blob/644542a3c838b6569bbc1b13547b436b755c0714/package.json#L53
