code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
CommonJS,repo,README.md,2,2,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/README.md,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/CHANGELOG.md#L164
GNU,repo,README.md,4,4,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/README.md,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/dist/scrollreveal.min.js#L5
GPL,repo,README.md,3,3,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/README.md,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/package.json#L74
JSBin,repo,README.md,1,1,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/README.md,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/.github/ISSUE_TEMPLATE.md#L5
JavaScript,repo,README.md,1,1,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/README.md,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/CHANGELOG.md#L310
LLC,repo,README.md,8,8,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/README.md,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/dist/scrollreveal.min.js#L3
ScrollReveal,repo,README.md,78,78,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/README.md,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/test/utils/logger.spec.js#L20
ScrollReveal(),repo,README.md,13,13,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/README.md,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/test/instance/constructor.spec.js#L8
reveal(),repo,README.md,15,15,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/README.md,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/src/instance/mount.js#L7
DOM,wiki,Advanced-(v3.x).md,14,12,dcb2ab56764b1934d3e896d66fc7cb0d52f845d2,1533528354,58490614db33031a6d1a3573bbe7718c2ef861b9,1637617019,1d2f804674a96e0ea27cc88b3afdca715e127cda,1533521691,https://github.com/jlmakes/scrollreveal/wiki/Advanced-(v3.x)/1d2f804674a96e0ea27cc88b3afdca715e127cda,https://github.com/jlmakes/scrollreveal/blob/58490614db33031a6d1a3573bbe7718c2ef861b9/test/timeout.spec.js#L1
