code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
AI,repo,README.md,14,14,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/meetups.md#L19
API,repo,README.md,1,1,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/scripts/requirements.txt#L7
DeepMind,repo,README.md,1,1,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/courses.md#L19
ElemStatLearn,repo,README.md,3,3,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/ml-curriculum.md#L20
III,repo,README.md,1,1,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/courses.md#L9
ISL,repo,README.md,2,2,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/books.md#L8
JavaScript,repo,README.md,1,1,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/books.md#L72
MIT,repo,README.md,3,3,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/courses.md#L11
ML,repo,README.md,7,7,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/ml-curriculum.md#L14
MachineLearning,repo,README.md,1,1,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/scripts/pull_R_packages.py#L15
MapReduce,repo,README.md,1,1,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/books.md#L15
NLP,repo,README.md,2,2,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/books.md#L88
NLTK,repo,README.md,1,1,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/books.md#L89
NumPy,repo,README.md,1,1,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/ml-curriculum.md#L15
PDF,repo,README.md,1,1,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/books.md#L10
SQL,repo,README.md,1,1,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,1653507092,d65701bef72a10a5c905340d6544fc0be0205261,1653487226,https://github.com/josephmisiti/awesome-machine-learning/blob/d65701bef72a10a5c905340d6544fc0be0205261/README.md,https://github.com/josephmisiti/awesome-machine-learning/blob/cccd6a01d0f8366d7beac2ab339d4f176c74f62b/books.md#L49
