code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
0xADADA,repo,README.md,2,2,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/README.md,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/engineering_blogs.opml#L365
@WoloxEngineering,repo,README.md,2,2,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/README.md,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/engineering_blogs.opml#L346
@elbrujohalcon,repo,README.md,2,2,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/README.md,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/engineering_blogs.opml#L402
AI,repo,README.md,2,2,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/README.md,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/engineering_blogs.opml#L110
AWS,repo,README.md,2,2,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/README.md,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/engineering_blogs.opml#L29
AdRoll,repo,README.md,2,2,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/README.md,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/engineering_blogs.opml#L11
AirPair,repo,README.md,2,2,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/README.md,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/engineering_blogs.opml#L15
BBC,repo,README.md,2,2,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/README.md,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/engineering_blogs.opml#L37
BenefitFocus,repo,README.md,2,2,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/README.md,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/engineering_blogs.opml#L39
BitTorrent,repo,README.md,2,2,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/README.md,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/engineering_blogs.opml#L43
BlaBlaCar,repo,README.md,2,2,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/README.md,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/engineering_blogs.opml#L44
BlackRock,repo,README.md,2,2,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,db6872c5e1348d215a32e2d469b1b8da5820cc8d,1625242603,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/README.md,https://github.com/kilimchoi/engineering-blogs/blob/db6872c5e1348d215a32e2d469b1b8da5820cc8d/engineering_blogs.opml#L45
