code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
#!/bin/sh,repo,README.md,95,95,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,f1bdda54cb87918f30bf11afa94dad0de149c324,1653104196,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,https://github.com/koalaman/shellcheck/blob/7b2092b3cd89c98067e31cd68d2738f8afa2b0ad/README.md,https://github.com/koalaman/shellcheck/blob/f1bdda54cb87918f30bf11afa94dad0de149c324/test/buildtest#L39
$HOME,repo,README.md,1,1,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,f1bdda54cb87918f30bf11afa94dad0de149c324,1653104196,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,https://github.com/koalaman/shellcheck/blob/7b2092b3cd89c98067e31cd68d2738f8afa2b0ad/README.md,https://github.com/koalaman/shellcheck/blob/f1bdda54cb87918f30bf11afa94dad0de149c324/src/ShellCheck/Analytics.hs#L1834
$PATH,repo,README.md,7,7,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,f1bdda54cb87918f30bf11afa94dad0de149c324,1653104196,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,https://github.com/koalaman/shellcheck/blob/7b2092b3cd89c98067e31cd68d2738f8afa2b0ad/README.md,https://github.com/koalaman/shellcheck/blob/f1bdda54cb87918f30bf11afa94dad0de149c324/src/ShellCheck/Analytics.hs#L1919
$PWD,repo,README.md,6,6,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,f1bdda54cb87918f30bf11afa94dad0de149c324,1653104196,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,https://github.com/koalaman/shellcheck/blob/7b2092b3cd89c98067e31cd68d2738f8afa2b0ad/README.md,https://github.com/koalaman/shellcheck/blob/f1bdda54cb87918f30bf11afa94dad0de149c324/src/ShellCheck/Checks/Commands.hs#L847
$RANDOM,repo,README.md,3,3,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,f1bdda54cb87918f30bf11afa94dad0de149c324,1653104196,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,https://github.com/koalaman/shellcheck/blob/7b2092b3cd89c98067e31cd68d2738f8afa2b0ad/README.md,https://github.com/koalaman/shellcheck/blob/f1bdda54cb87918f30bf11afa94dad0de149c324/src/ShellCheck/Checks/ShellSupport.hs#L100
$STEAMROOT,repo,README.md,1,1,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,f1bdda54cb87918f30bf11afa94dad0de149c324,1653104196,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,https://github.com/koalaman/shellcheck/blob/7b2092b3cd89c98067e31cd68d2738f8afa2b0ad/README.md,https://github.com/koalaman/shellcheck/blob/f1bdda54cb87918f30bf11afa94dad0de149c324/src/ShellCheck/Checks/Commands.hs#L1069
$bar,repo,README.md,37,37,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,f1bdda54cb87918f30bf11afa94dad0de149c324,1653104196,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,https://github.com/koalaman/shellcheck/blob/7b2092b3cd89c98067e31cd68d2738f8afa2b0ad/README.md,https://github.com/koalaman/shellcheck/blob/f1bdda54cb87918f30bf11afa94dad0de149c324/src/ShellCheck/Parser.hs#L727
$f,repo,README.md,19,19,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,f1bdda54cb87918f30bf11afa94dad0de149c324,1653104196,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,https://github.com/koalaman/shellcheck/blob/7b2092b3cd89c98067e31cd68d2738f8afa2b0ad/README.md,https://github.com/koalaman/shellcheck/blob/f1bdda54cb87918f30bf11afa94dad0de149c324/src/ShellCheck/Parser.hs#L2548
$file,repo,README.md,19,19,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,f1bdda54cb87918f30bf11afa94dad0de149c324,1653104196,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,https://github.com/koalaman/shellcheck/blob/7b2092b3cd89c98067e31cd68d2738f8afa2b0ad/README.md,https://github.com/koalaman/shellcheck/blob/f1bdda54cb87918f30bf11afa94dad0de149c324/striptests#L77
$foo,repo,README.md,104,104,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,f1bdda54cb87918f30bf11afa94dad0de149c324,1653104196,7b2092b3cd89c98067e31cd68d2738f8afa2b0ad,1634336992,https://github.com/koalaman/shellcheck/blob/7b2092b3cd89c98067e31cd68d2738f8afa2b0ad/README.md,https://github.com/koalaman/shellcheck/blob/f1bdda54cb87918f30bf11afa94dad0de149c324/src/ShellCheck/Parser.hs#L727
