code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
JavaScript,repo,README.md,3,3,e0029485ab4d97adea0cb34292afb6700309cf16,1603916665,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,e0029485ab4d97adea0cb34292afb6700309cf16,1603916665,https://github.com/lodash/lodash/blob/e0029485ab4d97adea0cb34292afb6700309cf16/README.md,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/template.js#L25
LICENSE,repo,README.md,1,1,e0029485ab4d97adea0cb34292afb6700309cf16,1603916665,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,e0029485ab4d97adea0cb34292afb6700309cf16,1603916665,https://github.com/lodash/lodash/blob/e0029485ab4d97adea0cb34292afb6700309cf16/README.md,code_element is a file name
MIT,repo,README.md,2,2,e0029485ab4d97adea0cb34292afb6700309cf16,1603916665,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,e0029485ab4d97adea0cb34292afb6700309cf16,1603916665,https://github.com/lodash/lodash/blob/e0029485ab4d97adea0cb34292afb6700309cf16/README.md,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/package.json#L4
_.assign,wiki,Build-Differences.md,1,1,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/utils.js#L664
_.before,wiki,Build-Differences.md,2,2,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/before.js#L8
_.chain,wiki,Build-Differences.md,1,1,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/lodash(...).next.js#L10
_.clone,wiki,Build-Differences.md,4,4,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/clone-methods.js#L85
_.create,wiki,Build-Differences.md,1,1,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/basename.js#L86
_.defaults,wiki,Build-Differences.md,1,1,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/partialRight.js#L7
_.each,wiki,Build-Differences.md,5,5,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/utils.js#L658
_.escape,wiki,Build-Differences.md,2,2,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/unescape.js#L25
_.every,wiki,Build-Differences.md,4,4,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/isEqual.js#L652
_.filter,wiki,Build-Differences.md,18,18,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/zipObject-methods.js#L36
_.find,wiki,Build-Differences.md,2,2,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/custom-_.iteratee-methods.js#L63
_.head,wiki,Build-Differences.md,1,1,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/flow-methods.test.js#L31
_.identity,wiki,Build-Differences.md,21,21,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/wrap.js#L26
_.indexOf,wiki,Build-Differences.md,0,7,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/indexOf.test.js#L9
_.isEqual,wiki,Build-Differences.md,1,1,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/basename.js#L126
_.iteratee,wiki,Build-Differences.md,62,62,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/iteratee.js#L11
_.last,wiki,Build-Differences.md,3,3,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/takeWhile.js#L52
_.map,wiki,Build-Differences.md,40,36,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/zipObject-methods.js#L36
_.matches,wiki,Build-Differences.md,17,17,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/takeWhile.js#L33
_.matchesProperty,wiki,Build-Differences.md,18,18,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/takeWhile.js#L37
_.negate,wiki,Build-Differences.md,3,3,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/negate.js#L7
_.noConflict,wiki,Build-Differences.md,1,1,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/noConflict.js#L27
_.once,wiki,Build-Differences.md,3,3,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/once.test.js#L7
_.reduce,wiki,Build-Differences.md,4,4,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/sortBy-methods.js#L62
_.slice,wiki,Build-Differences.md,1,1,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/slice.js#L18
_.some,wiki,Build-Differences.md,2,2,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/custom-_.iteratee-methods.js#L196
_.sortBy,wiki,Build-Differences.md,5,5,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/sortedIndex-methods.js#L46
_.tap,wiki,Build-Differences.md,1,1,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/tap.js#L8
_.toArray,wiki,Build-Differences.md,2,2,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/lodash(...).next.js#L33
_.uniqueId,wiki,Build-Differences.md,1,1,e2ae5b857c02a9d1219e41f7e32ce22f0b23ffee,1565842887,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,5118ed4a5406e96102988665a946b4de0631d915,1564405604,https://github.com/lodash/lodash/wiki/Build-Differences/5118ed4a5406e96102988665a946b4de0631d915,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/test/runInContext.js#L17
",",wiki,Changelog.md,17231,17231,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,03a027cb3bf66bbc224dc157ad7d83ddfc368ab8,1597404729,https://github.com/lodash/lodash/wiki/Changelog/03a027cb3bf66bbc224dc157ad7d83ddfc368ab8,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/zipWith.js#L14
-0,wiki,Changelog.md,115,115,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,2da024c3b4f9947a48517639de7560457cd4ec6c,1619198737,03a027cb3bf66bbc224dc157ad7d83ddfc368ab8,1597404729,https://github.com/lodash/lodash/wiki/Changelog/03a027cb3bf66bbc224dc157ad7d83ddfc368ab8,https://github.com/lodash/lodash/blob/2da024c3b4f9947a48517639de7560457cd4ec6c/toString.js#L8
