code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
.exe,repo,README.md,1,1,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/publish/winget.js#L68
AI,repo,README.md,12,12,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/tools/xmodel#L14
AlexeyAB,repo,README.md,18,18,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L1690
ApolloAuto,repo,README.md,24,24,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L4539
BigDL,repo,README.md,6,6,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/tools/bigdl#L14
CNTK,repo,README.md,120,127,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/tools/cntk#L14
ExermoteCoreML,repo,README.md,2,2,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L1145
ExermoteInference,repo,README.md,1,1,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L1145
ML,repo,README.md,86,85,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L21
ML.NET,repo,README.md,27,27,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L2553
MNN,repo,README.md,563,563,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/tools/mnn#L14
MXNet,repo,README.md,40,40,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L2811
MediaPipe,repo,README.md,14,14,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L2476
MindSpore,repo,README.md,5,5,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L2797
NN,repo,README.md,15,16,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L165
ONNX,repo,README.md,110,121,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L3220
OpenVINO,repo,README.md,78,79,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L3801
PaddlePaddle,repo,README.md,25,31,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/tools/paddle#L15
PyTorch,repo,README.md,69,72,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L4456
RKNN,repo,README.md,11,28,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/tools/rknn.fbs#L3
TNN,repo,README.md,13,15,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L6506
TensorFlow,repo,README.md,194,201,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L110
TorchScript,repo,README.md,76,83,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L4449
UFF,repo,README.md,8,9,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L6674
hair_segmentation,repo,README.md,5,5,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0,1655655869,a383e5713e87aea81e47519c0e3c6122e610976d,1646495000,https://github.com/lutzroeder/netron/blob/a383e5713e87aea81e47519c0e3c6122e610976d/README.md,https://github.com/lutzroeder/netron/blob/e3c7a42723eb189b6ac7e02ec7325dfdc2ee35b0/test/models.json#L6283
