code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
"""${record.title}""",repo,README.md,6,6,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/packages/react-admin/README.md#L93
2Bgithub,repo,README.md,4,4,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/packages/react-admin/README.md#L1
2Fmarmelab,repo,README.md,4,4,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/packages/react-admin/README.md#L1
2Freact,repo,README.md,4,4,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/packages/react-admin/README.md#L1
3A,repo,README.md,9,9,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/packages/react-admin/README.md#L187
3Aissue,repo,README.md,3,3,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/packages/react-admin/README.md#L187
3Aopen,repo,README.md,2,2,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/packages/react-admin/README.md#L187
<Resource>,repo,README.md,57,54,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/packages/react-admin/README.md#L70
@mui,repo,README.md,888,901,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/yarn.lock#L3428
API,repo,README.md,287,288,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/packages/react-admin/README.md#L19
BC,repo,README.md,62,64,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/packages/react-admin/README.md#L177
BookIcon,repo,README.md,16,16,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/packages/react-admin/README.md#L76
CRM,repo,README.md,10,10,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/examples/crm/src/dashboard/Welcome.tsx#L37
CodeSandbox,repo,README.md,14,15,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/packages/react-admin/README.md#L141
DataProviderList,repo,README.md,6,6,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/docs/navigation.html#L13
DataProviders,repo,README.md,14,14,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,7ff11e47ea1511f7494e85bbe94bf154a431f76e,1655475839,12a25abd2cc239dc869b05eed9cb183a4bf58805,1649934615,https://github.com/marmelab/react-admin/blob/12a25abd2cc239dc869b05eed9cb183a4bf58805/README.md,https://github.com/marmelab/react-admin/blob/7ff11e47ea1511f7494e85bbe94bf154a431f76e/packages/react-admin/README.md#L131
