code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
CONTRIBUTING,repo,README.md,15,15,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,05562e5a6005ff7bd355cb9696474ad5c6bf9968,1655210769,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,https://github.com/meteor/meteor/blob/472f703fd87dddefe2ebf353c5a7983ecf3198b3/README.md,https://github.com/meteor/meteor/blob/05562e5a6005ff7bd355cb9696474ad5c6bf9968/npm-packages/eslint-plugin-meteor/README.md#L68
CircleCI,repo,README.md,15,15,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,05562e5a6005ff7bd355cb9696474ad5c6bf9968,1655210769,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,https://github.com/meteor/meteor/blob/472f703fd87dddefe2ebf353c5a7983ecf3198b3/README.md,https://github.com/meteor/meteor/blob/05562e5a6005ff7bd355cb9696474ad5c6bf9968/tools/tool-testing/clients/puppeteer/index.js#L28
DEVELOPMENT,repo,README.md,12,12,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,05562e5a6005ff7bd355cb9696474ad5c6bf9968,1655210769,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,https://github.com/meteor/meteor/blob/472f703fd87dddefe2ebf353c5a7983ecf3198b3/README.md,https://github.com/meteor/meteor/blob/05562e5a6005ff7bd355cb9696474ad5c6bf9968/packages/non-core/coffeescript/README.md#L53
HTML,repo,README.md,248,248,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,05562e5a6005ff7bd355cb9696474ad5c6bf9968,1655210769,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,https://github.com/meteor/meteor/blob/472f703fd87dddefe2ebf353c5a7983ecf3198b3/README.md,https://github.com/meteor/meteor/blob/05562e5a6005ff7bd355cb9696474ad5c6bf9968/tools/tests/static-html.js#L35
JavaScript,repo,README.md,344,344,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,05562e5a6005ff7bd355cb9696474ad5c6bf9968,1655210769,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,https://github.com/meteor/meteor/blob/472f703fd87dddefe2ebf353c5a7983ecf3198b3/README.md,https://github.com/meteor/meteor/blob/05562e5a6005ff7bd355cb9696474ad5c6bf9968/tools/tests/old/cli-test.sh#L5
TravisCI,repo,README.md,1,1,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,05562e5a6005ff7bd355cb9696474ad5c6bf9968,1655210769,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,https://github.com/meteor/meteor/blob/472f703fd87dddefe2ebf353c5a7983ecf3198b3/README.md,https://github.com/meteor/meteor/blob/05562e5a6005ff7bd355cb9696474ad5c6bf9968/npm-packages/eslint-plugin-meteor/README.md#L3
enQtODA0NTU2Nzk5MTA3LWY5NGMxMWRjZDgzYWMyMTEyYTQ3MTcwZmU2YjM5MTY3MjJkZjQ0NWRjOGZlYmIxZjFlYTA5Mjg4OTk3ODRiOTc,repo,README.md,5,4,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,05562e5a6005ff7bd355cb9696474ad5c6bf9968,1655210769,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,https://github.com/meteor/meteor/blob/472f703fd87dddefe2ebf353c5a7983ecf3198b3/README.md,https://github.com/meteor/meteor/blob/05562e5a6005ff7bd355cb9696474ad5c6bf9968/npm-packages/eslint-plugin-meteor/README.md#L62
macOS,repo,README.md,10,10,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,05562e5a6005ff7bd355cb9696474ad5c6bf9968,1655210769,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,https://github.com/meteor/meteor/blob/472f703fd87dddefe2ebf353c5a7983ecf3198b3/README.md,https://github.com/meteor/meteor/blob/05562e5a6005ff7bd355cb9696474ad5c6bf9968/tools/utils/utils.js#L681
shared_invite,repo,README.md,5,4,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,05562e5a6005ff7bd355cb9696474ad5c6bf9968,1655210769,472f703fd87dddefe2ebf353c5a7983ecf3198b3,1640120630,https://github.com/meteor/meteor/blob/472f703fd87dddefe2ebf353c5a7983ecf3198b3/README.md,https://github.com/meteor/meteor/blob/05562e5a6005ff7bd355cb9696474ad5c6bf9968/npm-packages/eslint-plugin-meteor/README.md#L62
JSON,wiki,Accessing-Meteor-provided-build-machines-from-Windows.md,575,803,993b7750435d1f739b0cb491d656b9380c69368b,1427320567,05562e5a6005ff7bd355cb9696474ad5c6bf9968,1655210769,df342758213df402772e446f4ef503f86f2b3704,1427145356,https://github.com/meteor/meteor/wiki/Accessing-Meteor-provided-build-machines-from-Windows/df342758213df402772e446f4ef503f86f2b3704,https://github.com/meteor/meteor/blob/05562e5a6005ff7bd355cb9696474ad5c6bf9968/tools/utils/utils.js#L259
