code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
@microsoft,repo,README.md,123.0,120.0,62ff098348b342905ab615635c970cb33ac293d1,1641532007,37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9,1655615342,62ff098348b342905ab615635c970cb33ac293d1,1641532007,https://github.com/microsoft/react-native-windows/blob/62ff098348b342905ab615635c970cb33ac293d1/README.md,https://github.com/microsoft/react-native-windows/blob/37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9/packages/@office-iss/react-native-win32/CHANGELOG.md#L2741
API,repo,README.md,196.0,229.0,62ff098348b342905ab615635c970cb33ac293d1,1641532007,37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9,1655615342,62ff098348b342905ab615635c970cb33ac293d1,1641532007,https://github.com/microsoft/react-native-windows/blob/62ff098348b342905ab615635c970cb33ac293d1/README.md,https://github.com/microsoft/react-native-windows/blob/37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9/vnext/src/Libraries/Types/CoreEventTypes.windows.js#L87
CLI,repo,README.md,149.0,155.0,62ff098348b342905ab615635c970cb33ac293d1,1641532007,37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9,1655615342,62ff098348b342905ab615635c970cb33ac293d1,1641532007,https://github.com/microsoft/react-native-windows/blob/62ff098348b342905ab615635c970cb33ac293d1/README.md,https://github.com/microsoft/react-native-windows/blob/37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9/vnext/template/index.windows.bundle#L3
FAQ,repo,README.md,1.0,1.0,62ff098348b342905ab615635c970cb33ac293d1,1641532007,37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9,1655615342,62ff098348b342905ab615635c970cb33ac293d1,1641532007,https://github.com/microsoft/react-native-windows/blob/62ff098348b342905ab615635c970cb33ac293d1/README.md,https://github.com/microsoft/react-native-windows/blob/37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9/vnext/Mso/guid/msoGuid.h#L55
GitHub,repo,README.md,38.0,40.0,62ff098348b342905ab615635c970cb33ac293d1,1641532007,37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9,1655615342,62ff098348b342905ab615635c970cb33ac293d1,1641532007,https://github.com/microsoft/react-native-windows/blob/62ff098348b342905ab615635c970cb33ac293d1/README.md,https://github.com/microsoft/react-native-windows/blob/37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9/vnext/Scripts/Analyze-Crash.ps1#L101
JavaScript,repo,README.md,153.0,195.0,62ff098348b342905ab615635c970cb33ac293d1,1641532007,37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9,1655615342,62ff098348b342905ab615635c970cb33ac293d1,1641532007,https://github.com/microsoft/react-native-windows/blob/62ff098348b342905ab615635c970cb33ac293d1/README.md,https://github.com/microsoft/react-native-windows/blob/37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9/vnext/react-native.config.js#L30
LICENSE,repo,README.md,317.0,342.0,62ff098348b342905ab615635c970cb33ac293d1,1641532007,37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9,1655615342,62ff098348b342905ab615635c970cb33ac293d1,1641532007,https://github.com/microsoft/react-native-windows/blob/62ff098348b342905ab615635c970cb33ac293d1/README.md,https://github.com/microsoft/react-native-windows/blob/37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9/vnext/src/index.windows.js#L5
MIT,repo,README.md,1670.0,1754.0,62ff098348b342905ab615635c970cb33ac293d1,1641532007,37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9,1655615342,62ff098348b342905ab615635c970cb33ac293d1,1641532007,https://github.com/microsoft/react-native-windows/blob/62ff098348b342905ab615635c970cb33ac293d1/README.md,https://github.com/microsoft/react-native-windows/blob/37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9/vnext/stubs/sys/time.h#L2
PR,repo,README.md,70.0,71.0,62ff098348b342905ab615635c970cb33ac293d1,1641532007,37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9,1655615342,62ff098348b342905ab615635c970cb33ac293d1,1641532007,https://github.com/microsoft/react-native-windows/blob/62ff098348b342905ab615635c970cb33ac293d1/README.md,https://github.com/microsoft/react-native-windows/blob/37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9/vnext/proposals/readme.md#L24
RNTester,repo,README.md,108.0,109.0,62ff098348b342905ab615635c970cb33ac293d1,1641532007,37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9,1655615342,62ff098348b342905ab615635c970cb33ac293d1,1641532007,https://github.com/microsoft/react-native-windows/blob/62ff098348b342905ab615635c970cb33ac293d1/README.md,https://github.com/microsoft/react-native-windows/blob/37b2317e89bcdd97cf75c24bd5e40f33b51cd7b9/vnext/Microsoft.ReactNative.Cxx/README.md#L26
